,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
2,181536754,00 AJ0058,MacQuarrie Brook,2021-07-20,,,Total,1.0,mg/L
4,181536967,00 AJ0058,MacQuarrie Brook,2021-07-20,,,Total,1.7,mg/L
0,181536721,00 AJ0059,Meduxnekeag River below MacQuarrie Brook,2021-07-29,,,Total,0.4,mg/L
7,181537112,00 AJ0059,Meduxnekeag River below MacQuarrie Brook,2021-07-29,,,Total,0.6,mg/L
1,181536753,00 AJ0060,Marven's Brook,2021-07-12,,,Total,0.9,mg/L
6,181537028,00 AJ0060,Marven's Brook,2021-07-12,,,Total,1.1,mg/L
3,181536808,00 AJ0072,Meduxnekeag River below Red Bridge,2021-07-12,,,Total,0.5,mg/L
5,181536971,00 AJ0072,Meduxnekeag River below Red Bridge,2021-07-12,,,Total,0.6,mg/L
94,185810484,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2022-04-10,09:00:00,2022-04-10,Unfiltered,0.032,mg/L
121,191576307,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2022-04-10,10:00:00,2022-04-10,Unfiltered,0.032,mg/L
171,229397237,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2022-11-23,10:40:00,2022-11-23,Unfiltered,0.133,mg/L
180,230443155,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2022-11-23,11:02:00,2022-11-23,Unfiltered,0.132,mg/L
199,233348111,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2023-05-24,09:40:00,2023-05-24,Unfiltered,0.03,mg/L
201,233643431,E256314,HORSEFLY RIVER ABOVE QUESNEL LAKE- DISTRICT LOT 8272,2023-05-24,09:53:00,2023-05-24,Unfiltered,0.028,mg/L
158,227692747,E263503,SHUSWAP LAKE AT CITY OF SALMON ARM STP DISCHARGE,2022-05-19,12:15:00,2022-05-19,Unfiltered,0.06,mg/L
184,231133217,E263503,SHUSWAP LAKE AT CITY OF SALMON ARM STP DISCHARGE,2022-05-19,12:00:00,2022-05-19,Unfiltered,0.059,mg/L
166,228501127,E326954,SUMAS CANAL AT 40000 WELLS LINE ROAD ABBOTSFORD,2022-01-07,14:30:00,2022-01-07,Unfiltered,1.47,mg/L
200,233506953,E326954,SUMAS CANAL AT 40000 WELLS LINE ROAD ABBOTSFORD,2022-01-07,14:00:00,2022-01-07,Unfiltered,1.47,mg/L
