,Station_ID,Start,End,Num_Days
0,00 AJ0058,2021-07-20,2021-07-20,1
1,00 AJ0059,2021-07-29,2021-07-29,1
2,00 AJ0060,2021-07-12,2021-07-12,1
3,00 AJ0072,2021-07-12,2021-07-12,1
4,Adams Bottom,2015-09-08,2017-08-10,2
5,Adams Top,2015-09-08,2017-08-10,2
6,Anstruther Bottom,2017-07-27,2017-07-27,1
7,Anstruther Top,2017-07-27,2017-07-27,1
8,Big Cedar Bottom,2017-08-01,2017-08-01,1
9,Big Cedar Top,2017-08-01,2017-08-01,1
10,Bottle Bottom,2015-08-31,2017-08-09,2
11,Bottle Top,2015-08-31,2017-08-09,2
12,Buzzard Bottom,2015-09-01,2017-08-14,2
13,Buzzard Top,2015-09-01,2017-08-14,2
14,Chandos Bottom,2017-07-26,2017-07-26,1
15,Chandos Top,2017-07-26,2017-07-26,1
16,Cold Bottom,2015-08-31,2017-08-09,2
17,Cold Top,2015-08-31,2017-08-09,2
18,Compass Bottom,2015-09-02,2015-09-02,1
19,Compass Top,2015-09-02,2015-09-02,1
20,Crab Bottom,2015-08-19,2015-08-19,1
21,Crab Top,2015-08-19,2015-08-19,1
22,Dea01,2021-12-07,2022-03-16,3
23,Dil01,2021-12-10,2023-02-28,4
24,E206771,2022-05-19,2022-06-08,2
25,E206990,2021-12-22,2021-12-22,1
26,E206993,2022-01-05,2022-01-05,1
27,E207000,2022-01-05,2022-01-05,1
28,E207004,2021-12-22,2021-12-22,1
29,E207005,2022-01-07,2022-01-07,1
30,E228197,2022-01-07,2022-01-07,1
31,E256314,2021-10-24,2023-05-24,25
32,E263503,2022-05-19,2022-05-19,1
33,E263504,2022-05-19,2022-05-19,1
34,E322751,2021-01-20,2023-03-01,6
35,E322771,2021-01-20,2022-03-16,5
36,E322791,2021-01-21,2022-03-16,6
37,E322792,2021-01-21,2023-02-28,6
38,E326614,2021-12-21,2021-12-21,1
39,E326615,2021-12-21,2021-12-21,1
40,E326651,2022-01-07,2022-01-07,1
41,E326954,2022-01-07,2022-01-07,1
42,E326955,2022-01-07,2022-01-07,1
43,E327111,2022-01-07,2022-01-07,1
44,Eels Bottom,2017-07-27,2017-07-27,1
45,Eels Top,2017-07-27,2017-07-27,1
46,Elm Bottom,2015-08-25,2015-08-25,1
47,Elm Top,2015-08-25,2015-08-25,1
48,Jack Bottom,2017-07-26,2017-07-26,1
49,Jack Top,2017-07-26,2017-07-26,1
50,Kiw01,2021-12-07,2023-03-01,4
51,Little Turtle Bottom,2015-09-10,2017-08-10,2
52,Little Turtle Top,2015-09-10,2017-08-10,2
53,Long  Bottom,2015-09-03,2017-08-14,2
54,Long  Top,2015-09-03,2017-08-14,2
55,Loon Call Bottom,2015-08-19,2017-07-31,2
56,Loon Call Top,2015-08-19,2017-07-31,2
57,Loucks Bottom,2015-09-03,2017-08-15,2
58,Loucks Top,2015-09-03,2017-08-15,2
59,Mountain Bottom,2015-09-01,2015-09-01,1
60,Mountain Top,2015-09-01,2015-09-01,1
61,North Rathbun Bottom,2015-08-27,2017-08-31,2
62,North Rathbun Top,2015-08-27,2015-08-27,1
63,Raccoon Bottom,2017-08-01,2017-08-01,1
64,Raccoon Top,2017-08-01,2017-08-01,1
65,Sah01,2021-06-27,2022-03-16,4
66,Sawmill Bottom,2015-09-08,2017-08-17,2
67,Sawmill Top,2015-09-08,2017-08-17,2
68,Stoplog Bottom,2015-09-02,2017-08-15,2
69,Stoplog Top,2015-09-02,2017-08-15,2
70,Sucker Bottom,2015-08-31,2015-08-31,1
71,Sucker Top,2015-08-31,2015-08-31,1
72,Upper Stoney Bottom,2017-08-02,2017-08-02,1
73,Upper Stoney Top,2017-08-02,2017-08-02,1
74,Wolf Bottom,2015-08-18,2017-07-31,2
75,Wolf Top,2015-08-18,2017-07-31,2
