,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
0,181536721,00 AJ0059,Meduxnekeag River below MacQuarrie Brook,2021-07-29,,,Total,0.4,mg/L
1,181536753,00 AJ0060,Marven's Brook,2021-07-12,,,Total,0.9,mg/L
2,181536754,00 AJ0058,MacQuarrie Brook,2021-07-20,,,Total,1.0,mg/L
3,181536808,00 AJ0072,Meduxnekeag River below Red Bridge,2021-07-12,,,Total,0.5,mg/L
4,181536967,00 AJ0058,MacQuarrie Brook,2021-07-20,,,Total,1.7,mg/L
5,181536971,00 AJ0072,Meduxnekeag River below Red Bridge,2021-07-12,,,Total,0.6,mg/L
6,181537028,00 AJ0060,Marven's Brook,2021-07-12,,,Total,1.1,mg/L
7,181537112,00 AJ0059,Meduxnekeag River below MacQuarrie Brook,2021-07-29,,,Total,0.6,mg/L
8,182458571,Buzzard Top,Buzzard Lake,2015-09-01,,,"Filtered, lab",56.9,ug/L
9,182458624,Adams Top,Adams Lake,2015-09-08,,,"Filtered, lab",27.718,ug/L
10,182458704,Compass Bottom,Compass Lake,2015-09-02,,,"Filtered, lab",16.601,ug/L
11,182458733,Sucker Bottom,Sucker Lake,2015-08-31,,,"Filtered, lab",176.618,ug/L
12,182458759,Buzzard Top,Buzzard Lake,2017-08-14,,,"Filtered, lab",18.09421,ug/L
13,182458793,Loucks Top,Loucks Lake,2017-08-15,,,"Filtered, lab",17.76019,ug/L
14,182458817,Elm Top,Elm Lake,2015-08-25,,,"Filtered, lab",32.949,ug/L
15,182458822,Big Cedar Bottom,Big Cedar Lake,2017-08-01,,,"Filtered, lab",100.2922,ug/L
16,182458835,Little Turtle Top,Little Turtle Lake,2017-08-10,,,"Filtered, lab",20.5196,ug/L
17,182458906,Wolf Top,Wolf Lake,2017-07-31,,,"Filtered, lab",27.20958,ug/L
18,182458948,Sawmill Bottom,Sawmill Lake,2015-09-08,,,"Filtered, lab",17.037,ug/L
19,182459064,North Rathbun Bottom,Rathbun Lake,2015-08-27,,,"Filtered, lab",496.262,ug/L
20,182459072,Jack Top,Jack Lake,2017-07-26,,,"Filtered, lab",28.97053,ug/L
21,182459074,Long  Top,Long  Lake,2015-09-03,,,"Filtered, lab",36.292,ug/L
