,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
52305,227497933,0123981,KOKSILAH RIVER AT HWY #1,2008-10-20,12:10:00,2008-10-20,Unfiltered,0.1,mg/L
51420,226229214,0123981,KOKSILAH RIVER AT HWY #1,2008-10-20,12:10:00,2008-10-20,Filtered,0.06,mg/L
51918,226959528,0123981,KOKSILAH RIVER AT HWY #1,2008-10-27,12:50:00,2008-10-27,Unfiltered,0.07,mg/L
53355,229015401,0123981,KOKSILAH RIVER AT HWY #1,2008-10-27,12:50:00,2008-10-27,Filtered,0.06,mg/L
54240,230299512,0123981,KOKSILAH RIVER AT HWY #1,2008-11-03,12:10:00,2008-11-03,Unfiltered,0.12,mg/L
55959,232626534,0123981,KOKSILAH RIVER AT HWY #1,2008-11-03,12:10:00,2008-11-03,Filtered,0.11,mg/L
52693,228112111,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:10:00,2008-11-12,Filtered,0.11,mg/L
54745,230966673,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Filtered,0.13,mg/L
54745,230966673,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Filtered,0.13,mg/L
55910,232549466,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Unfiltered,0.09,mg/L
55910,232549466,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Unfiltered,0.09,mg/L
56530,233368159,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:10:00,2008-11-12,Unfiltered,0.11,mg/L
21036,186737523,0124785,MC-M2,1983-10-27,11:00:00,1983-10-27,Unfiltered,0.01,mg/L
26413,187601391,0124785,MC-M2,1983-10-27,15:15:00,1983-10-27,Unfiltered,0.04,mg/L
14421,185668728,0130080,BUTTLE LK #8 @ GOLD R BRDG.WESTMIN (PE-06858),1983-06-29,14:20:00,1983-06-29,Unfiltered,0.05,mg/L
17704,186201741,0130080,BUTTLE LK #8 @ GOLD R BRDG.WESTMIN (PE-06858),1983-06-29,14:30:00,1983-06-29,Unfiltered,0.03,mg/L
8109,184607846,0130081,BUTTLE LK #1 1 KM N OF THELWOOD CR,1983-08-22,00:00:00,1983-08-22,Unfiltered,0.13,mg/L
15656,185867545,0130081,BUTTLE LK #1 1 KM N OF THELWOOD CR,1983-08-22,00:00:00,1983-08-22,Unfiltered,0.03,mg/L
10513,185021826,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-04-16,00:00:00,1981-04-16,Unfiltered,0.01,mg/L
13852,185574228,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-04-16,00:00:00,1981-04-16,Unfiltered,0.04,mg/L
47157,191017331,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-05-13,09:00:00,1981-05-13,Unfiltered,0.02,mg/L
19029,186411597,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-05-13,09:00:00,1981-05-13,Unfiltered,0.02,mg/L
21225,186765422,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-08-12,00:00:00,1981-08-12,Unfiltered,0.07,mg/L
43339,190404673,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-08-12,00:00:00,1981-08-12,Unfiltered,0.02,mg/L
36878,189341856,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-09-08,00:00:00,1981-09-08,Unfiltered,0.03,mg/L
19917,186566626,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-09-08,00:00:00,1981-09-08,Unfiltered,0.06,mg/L
14218,185633509,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-10-21,00:00:00,1981-10-21,Unfiltered,0.06,mg/L
31350,188424474,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-10-21,00:00:00,1981-10-21,Unfiltered,0.03,mg/L
4766,184066345,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-11-18,00:00:00,1981-11-18,Unfiltered,0.03,mg/L
30599,188300283,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-11-18,00:00:00,1981-11-18,Unfiltered,0.13,mg/L
30125,188219178,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1984-05-01,13:00:00,1984-05-01,Unfiltered,0.18,mg/L
36367,189261311,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1984-05-01,13:00:00,1984-05-01,Unfiltered,0.07,mg/L
10901,185086487,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:20:00,1983-04-26,Unfiltered,0.09,mg/L
26978,187695539,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:30:00,1983-04-26,Unfiltered,0.09,mg/L
26978,187695539,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:30:00,1983-04-26,Unfiltered,0.09,mg/L
