,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
0,164571364,Site6,Kirkpatrick Crescent Outfall,2014-12-01,,,,82.0,ug/L
1,164571391,Site6,Kirkpatrick Crescent Outfall,2014-01-23,,,,72.0,ug/L
2,164571443,Site6,Kirkpatrick Crescent Outfall,2022-01-25,,,,715.0,ug/L
3,164571486,Site6,Kirkpatrick Crescent Outfall,2016-11-03,,,,92.0,ug/L
4,164571562,Site6,Kirkpatrick Crescent Outfall,2016-03-23,,,,243.0,ug/L
5,164571963,Site6,Kirkpatrick Crescent Outfall,2021-10-07,,,,314.0,ug/L
6,164572013,Site6,Kirkpatrick Crescent Outfall,2012-07-23,,,,132.0,ug/L
7,164572119,Site6,Kirkpatrick Crescent Outfall,2015-01-26,,,,84.0,ug/L
8,164572193,Site6,Kirkpatrick Crescent Outfall,2019-01-29,,,,5400.0,ug/L
9,164572295,Site6,Kirkpatrick Crescent Outfall,2013-04-17,,,,21.0,ug/L
10,164572467,Site6,Kirkpatrick Crescent Outfall,2017-07-19,,,,304.0,ug/L
11,164572605,Site6,Kirkpatrick Crescent Outfall,2006-04-28,,,,950.0,ug/L
13,164572694,Site6,Kirkpatrick Crescent Outfall,2017-12-05,,,,36.0,ug/L
14,164572772,Site6,Kirkpatrick Crescent Outfall,2009-08-10,,,,652.0,ug/L
15,164572847,Site6,Kirkpatrick Crescent Outfall,2006-05-17,,,,51800.0,ug/L
16,164572862,Site6,Kirkpatrick Crescent Outfall,2005-07-05,,,,994.0,ug/L
17,164572940,Site6,Kirkpatrick Crescent Outfall,2017-01-24,,,,11.0,ug/L
18,164573058,Site6,Kirkpatrick Crescent Outfall,2011-01-12,,,,66.0,ug/L
19,164573073,Site6,Kirkpatrick Crescent Outfall,2021-04-19,,,,30.0,ug/L
20,164573166,Site6,Kirkpatrick Crescent Outfall,2013-12-05,,,,125.0,ug/L
