,Station_ID,Start,End,Num_Days
0,04-572,2019-07-31,2019-07-31,1
1,04-573,2019-08-10,2019-08-10,1
2,04-574,2019-08-09,2019-08-09,1
3,04-577,2019-08-05,2019-08-05,1
4,04-578,2019-08-03,2019-08-03,1
5,04-579,2019-08-07,2019-08-07,1
6,04-580,2019-07-30,2019-07-30,1
7,04-582,2019-08-06,2019-08-06,1
8,04-583,2019-08-02,2019-08-02,1
9,04-609,2019-07-30,2019-07-30,1
10,04-611,2019-07-25,2019-07-25,1
11,04-612,2019-07-27,2019-07-27,1
12,04-613,2019-07-28,2019-07-28,1
13,04-614,2019-07-29,2019-07-29,1
14,04-615,2019-08-01,2019-08-01,1
15,04-617,2019-08-03,2019-08-03,1
16,04-618,2019-08-07,2019-08-07,1
17,04-619,2019-08-05,2019-08-05,1
18,04-620,2019-08-08,2019-08-08,1
19,04-621,2019-08-09,2019-08-09,1
20,04-622,2019-08-11,2019-08-11,1
21,04-623,2019-08-12,2019-08-12,1
22,04-624,2019-08-13,2019-08-13,1
23,06-036,2017-08-10,2017-08-10,1
24,06-066,2017-08-12,2017-08-12,1
25,06-071,2017-08-13,2017-08-13,1
26,06-080,2017-08-15,2017-08-15,1
27,06-083,2017-08-19,2017-08-19,1
28,06-085,2017-08-18,2017-08-18,1
29,06-095,2017-08-24,2017-08-24,1
30,06-096,2017-08-25,2017-08-25,1
31,06-100,2017-08-21,2017-08-21,1
32,06-101,2017-08-16,2017-08-16,1
33,06-102,2017-08-17,2017-08-17,1
34,06-103,2017-08-22,2017-08-22,1
35,06-104,2017-08-20,2017-08-20,1
36,06-124,2017-07-11,2017-07-11,1
37,06-125,2017-07-12,2017-07-12,1
38,06-126,2017-08-25,2017-08-25,1
39,06-127,2017-08-26,2017-08-26,1
40,06-129,2017-08-24,2017-08-24,1
41,06-130,2017-07-13,2017-07-13,1
42,06-131,2017-07-15,2017-07-15,1
43,06-132,2017-07-16,2017-07-16,1
44,06-133,2017-07-17,2017-07-17,1
45,06-136,2017-08-28,2017-08-28,1
46,06-137,2017-08-29,2017-08-29,1
47,06-139,2017-08-30,2017-08-30,1
48,06-140,2017-08-22,2017-08-22,1
49,06-141,2017-08-18,2017-08-18,1
50,06-142,2017-08-31,2017-08-31,1
51,06-146,2017-09-01,2017-09-01,1
52,06-156,2017-09-06,2017-09-06,1
53,06-158,2017-08-21,2017-08-21,1
54,06-159,2017-09-08,2017-09-08,1
55,06-161,2017-09-05,2017-09-05,1
56,06-165,2017-08-19,2017-08-19,1
57,06-167,2017-08-31,2017-08-31,1
58,06-171,2017-08-17,2017-08-17,1
59,06-174,2017-09-02,2017-09-02,1
60,06-176,2017-08-30,2017-08-30,1
61,06-196,2017-08-28,2017-08-28,1
62,06-198,2017-08-14,2017-08-14,1
63,06-199,2017-08-15,2017-08-15,1
64,06-200,2017-08-13,2017-08-13,1
65,06-217,2017-08-12,2017-08-12,1
66,06-220,2017-08-10,2017-08-10,1
67,06-221,2017-08-11,2017-08-11,1
68,06-253,2018-08-07,2018-08-07,1
69,06-254,2018-08-08,2018-08-08,1
70,06-255,2018-08-10,2018-08-10,1
71,06-259,2018-08-14,2018-08-14,1
72,06-260,2018-08-17,2018-08-17,1
73,06-262,2018-08-18,2018-08-18,1
74,06-263,2018-08-19,2018-08-19,1
75,06-265,2018-08-21,2018-08-21,1
76,06-266,2018-08-24,2018-08-24,1
77,06-268,2018-08-28,2018-08-28,1
78,06-271,2018-07-01,2018-07-01,1
79,06-273,2018-07-03,2018-07-03,1
80,06-274,2018-07-05,2018-07-05,1
81,06-275,2018-07-06,2018-07-06,1
82,06-289,2018-07-24,2018-07-24,1
83,06-293,2018-07-28,2018-07-28,1
84,06-294,2018-07-29,2018-07-29,1
85,06-295,2018-07-30,2018-07-30,1
86,06-303,2018-08-10,2018-08-10,1
87,06-304,2018-08-14,2018-08-14,1
88,06-306,2018-08-12,2018-08-12,1
89,06-307,2018-08-11,2018-08-11,1
90,06-308,2018-08-16,2018-08-16,1
91,06-309,2018-08-21,2018-08-21,1
92,06-310,2018-08-19,2018-08-19,1
93,06-311,2018-08-13,2018-08-13,1
94,06-312,2018-08-23,2018-08-23,1
95,06-313,2018-08-24,2018-08-24,1
96,06-314,2018-08-26,2018-08-26,1
97,06-315,2018-08-28,2018-08-28,1
98,07-001,2017-07-22,2017-07-22,1
99,07-002,2017-07-21,2017-07-21,1
100,07-004,2017-07-27,2017-07-27,1
101,07-005,2017-07-23,2017-07-23,1
102,07-006,2017-07-24,2017-07-24,1
103,07-007,2017-07-29,2017-07-29,1
104,07-008,2017-07-28,2017-07-28,1
105,07-009,2017-08-13,2017-08-13,1
106,07-010,2017-08-11,2017-08-11,1
107,07-011,2017-08-15,2017-08-15,1
108,07-013,2017-08-14,2017-08-14,1
109,07-014,2017-08-10,2017-08-10,1
110,07-015,2017-08-18,2017-08-18,1
111,07-016,2017-07-30,2017-07-30,1
112,07-019,2017-08-17,2017-08-17,1
113,07-020,2017-07-17,2017-07-17,1
114,07-021,2017-07-31,2017-07-31,1
115,07-022,2017-08-09,2017-08-09,1
116,07-023,2017-08-19,2017-08-19,1
117,07-024,2017-08-20,2017-08-20,1
118,07-025,2017-08-21,2017-08-21,1
119,07-029,2017-08-05,2017-08-05,1
120,07-030,2017-08-04,2017-08-04,1
121,07-031,2017-08-25,2017-08-25,1
122,07-032,2017-08-24,2017-08-24,1
123,07-033,2017-08-02,2017-08-02,1
124,07-035,2017-07-23,2017-07-23,1
125,07-040,2017-08-27,2017-08-27,1
126,07-047,2017-08-29,2017-08-29,1
127,07-049,2017-07-17,2017-07-17,1
128,07-051,2017-07-16,2017-07-16,1
129,07-052,2017-08-30,2017-08-30,1
130,07-055,2017-07-15,2017-07-15,1
131,07-057,2017-07-14,2017-07-14,1
132,07-222,2018-06-30,2018-06-30,1
133,07-223,2018-07-01,2018-07-01,1
134,07-224,2018-07-02,2018-07-02,1
135,07-225,2018-07-03,2018-07-03,1
136,07-228,2018-07-20,2018-07-20,1
137,07-229,2018-07-23,2018-07-23,1
138,07-230,2018-07-15,2018-07-15,1
139,07-232,2018-07-07,2018-07-07,1
140,07-234,2018-07-09,2018-07-09,1
141,07-235,2018-07-21,2018-07-21,1
142,07-236,2018-07-16,2018-07-16,1
143,07-237,2018-07-22,2018-07-22,1
144,07-239,2018-07-24,2018-07-24,1
145,07-240,2018-07-12,2018-07-12,1
146,07-241,2018-07-10,2018-07-10,1
147,07-242,2018-07-13,2018-07-13,1
148,07-243,2018-07-14,2018-07-14,1
149,07-244,2018-07-26,2018-07-26,1
150,07-245,2018-07-27,2018-07-27,1
151,07-246,2018-07-28,2018-07-28,1
152,07-247,2018-07-30,2018-07-30,1
153,07-248,2018-07-29,2018-07-29,1
154,07-249,2018-07-31,2018-07-31,1
155,07-250,2018-08-02,2018-08-02,1
156,07-251,2018-08-03,2018-08-03,1
157,07-252,2018-08-04,2018-08-04,1
158,08-097,2017-08-26,2017-08-26,1
159,08-118,2017-08-20,2017-08-20,1
160,08-120,2017-08-21,2017-08-21,1
161,08-134,2017-09-11,2017-09-11,1
162,08-135,2017-09-12,2017-09-12,1
163,08-138,2017-09-13,2017-09-13,1
164,08-143,2017-09-10,2017-09-10,1
165,08-144,2017-07-15,2017-07-15,1
166,08-145,2017-07-21,2017-07-21,1
167,08-147,2017-09-09,2017-09-09,1
168,08-148,2017-07-17,2017-07-17,1
169,08-149,2017-07-14,2017-07-14,1
170,08-150,2017-07-20,2017-07-20,1
171,08-151,2017-07-16,2017-07-16,1
172,08-152,2017-07-18,2017-07-18,1
173,08-153,2017-09-02,2017-09-02,1
174,08-154,2017-09-03,2017-09-03,1
175,08-155,2017-07-22,2017-07-22,1
176,08-157,2017-07-23,2017-07-23,1
177,08-160,2017-07-25,2017-07-25,1
178,08-162,2017-09-08,2017-09-08,1
179,08-163,2017-07-27,2017-07-27,1
180,08-164,2017-07-29,2017-07-29,1
181,08-166,2017-07-28,2017-07-28,1
182,08-168,2017-09-06,2017-09-06,1
183,08-169,2017-07-30,2017-07-30,1
184,08-170,2017-09-05,2017-09-05,1
185,08-172,2017-08-19,2017-08-19,1
186,08-177,2017-09-04,2017-09-04,1
187,08-179,2017-08-01,2017-08-01,1
188,08-180,2017-08-03,2017-08-03,1
189,08-181,2017-08-26,2017-08-26,1
190,08-182,2017-08-24,2017-08-24,1
191,08-183,2017-08-04,2017-08-04,1
192,08-184,2017-08-05,2017-08-05,1
193,08-185,2017-08-25,2017-08-25,1
194,08-186,2017-08-20,2017-08-20,1
195,08-187,2017-07-24,2017-07-24,1
196,08-188,2017-08-07,2017-08-07,1
197,08-189,2017-08-11,2017-08-11,1
198,08-190,2017-08-21,2017-08-21,1
199,08-191,2017-08-22,2017-08-22,1
200,08-192,2017-08-08,2017-08-08,1
201,08-193,2017-08-12,2017-08-12,1
202,08-194,2017-07-20,2017-07-20,1
203,08-195,2017-07-27,2017-07-27,1
204,08-197,2017-07-25,2017-07-25,1
