,Station_ID,unique_ind,dist_along,geometry,dist_from
0,1006000102,1270680.0,186.62687762771142,POINT (-94834.46097778667 988601.2487011926),0.5418867997230963
563,1006000202,1287392.0,2168.457011837889,POINT (-89628.92408019761 986338.4289282772),5.137624151946267
1127,1006700102,1275899.0,918.3115385047412,POINT (-120244.8742655412 999658.3955119316),3.9377430206987425
1673,1010800102,1242347.0,462.62841370847275,POINT (-319099.12265705114 959132.834423317),2.1904484966529947
2824,3005300102,105552.0,1860.1018949584038,POINT (388955.42202358256 529264.6441998192),0.21974416977240047
3207,3005700702,537920.0,396.62470031773506,POINT (421746.34635059745 493100.7719279352),1.0205882883891313
3626,3005700902,1123395.0,773.9208744803951,POINT (397812.24109661666 520646.66621838097),0.8033311295789429
3991,3005701002,598036.0,4801.774438288319,POINT (415738.7913978089 510315.57481938135),1.128435828403643
4407,3005702102,1109258.0,1519.8293665926863,POINT (406505.40461331443 508087.4809226584),1.0986775310538877
4806,3005702402,1099711.0,578.222091584771,POINT (424322.6007203239 479422.3994440628),0.9906263725235651
5241,3005702502,1180684.0,295.08662473134444,POINT (404600.60680499714 527294.5425382385),2.893372792023283
5733,3005703202,731403.0,9.289195991224162,POINT (427848.5585043891 489065.08875697834),0.22387099034340882
6079,4001300782,649709.0,644.5435080242955,POINT (227097.89730754137 275379.8181538291),63.80658602025952
6481,4001302502,168998.0,187.09422016582084,POINT (330358.32892517 395969.41983958875),1.8332284841640705
6841,4001302702,318946.0,94.7507505903542,POINT (317901.1206732642 358253.991551108),2.071340024599309
7220,4001302902,739474.0,3.3201183478544616,POINT (308789.6075277154 343145.4949227745),0.08535431171790403
7506,4001303802,971065.0,693.2344264723855,POINT (352835.1364474983 372135.3354700127),0.7335579013530198
7868,4001304102,932255.0,1786.0267434155082,POINT (334346.73405695695 358031.3402368551),0.7050169867922484
8116,4001304402,1339704.0,10.678808759130822,POINT (314174.2691846241 404646.95469915046),2.391825691500091
8458,4001304502,360323.0,87.20419374074935,POINT (318642.67978468875 380800.6558294999),2.054696784520408
8820,4001304702,683848.0,522.4963802663092,POINT (299636.59575676674 344992.5950920642),2.8023159726129254
9126,4001305202,754751.0,92.34675407267544,POINT (330003.2039683379 351411.46063082793),2.2943073180468754
9433,4001305502,1571893.0,405.5540910814377,POINT (344843.01479580597 389996.4350558506),0.967351095700387
9721,4001306402,963211.0,67.85091061047424,POINT (325608.9282590667 384324.39448862185),5.40698741844494
10099,4001306602,854001.0,1674.0013116283023,POINT (333924.610025191 383219.81396417884),0.9800722347698947
10405,4001306902,1180430.0,735.1924416078215,POINT (349229.7413041741 360322.8063659916),0.6719834932947
10728,4001307202,1194028.0,110.59397955992007,POINT (356103.9836650878 363731.9426572346),0.025377409062996317
10997,4001308002,1571831.0,15.727847068037859,POINT (358580.7385759005 380568.22565033194),0.4447839503497786
11282,4002700183,859695.0,584.8087039488199,POINT (220342.957583712 302086.87867921474),4.545951489258331
11773,6001400102,2635022.0,2212.0055491184435,POINT (481407.6821906941 390153.78066910314),3.1841819423008233
12299,6001700102,2635672.0,83.18101897801249,POINT (477125.385720845 388026.9889668409),157.9061745522316
13876,6001700202,2636417.0,306.8159867751857,POINT (477989.9639363643 383384.11479709565),2.4259725450337766
14384,6001700402,2635677.0,906.8881289975327,POINT (479033.3325907439 380426.20334792655),1.8707144035219525
14865,6001700702,2636950.0,355.7981482270283,POINT (477230.85105251876 378158.303368173),3.970331701361708
15369,6001700902,2641768.0,278.01057289508117,POINT (481247.16372552706 382272.6509274994),0.476971656710493
15914,6006000202,2676116.0,1291.0257139112218,POINT (428122.95971387305 409500.9588414193),8.624221871532617
16037,6006000702,2678555.0,1621.6552733542464,POINT (437414.6586129574 406881.7015128046),5.7385890015925405
16119,6006000802,2678627.0,10.451896838918033,POINT (426762.10487831733 410494.29424143594),2.356272823521184
16242,6006000902,2675741.0,2611.026988254465,POINT (423973.00280775037 411551.88804449077),3.204883098770779
16365,6006001002,2676294.0,181.84711046848068,POINT (420534.62302004214 407540.0148671177),4.500594333802021
16488,6006001102,2676993.0,2329.4788110199506,POINT (420144.9839161276 407996.6931183888),0.9923203097099472
16611,6006001202,2678262.0,19.067445791683156,POINT (417438.4543763733 406600.1489746287),4.46515488808864
16734,6006001302,2679116.0,239.20918462445982,POINT (415012.64340195 405793.15247436933),0.8461731426803254
16857,6006001402,2675799.0,583.810104971105,POINT (413773.5503517514 403267.25535872625),0.19928202695528033
16980,6006001502,2678865.0,919.1294729776852,POINT (411868.4483525829 403181.3248069999),3.311212800977436
17103,6006300102,2676224.0,4675.199719764919,POINT (441242.1426603628 412594.66967296327),0.7384556123679362
17226,6006800102,767297.0,11.14294082724141,POINT (445175.1585304988 421246.631184138),0.7504667230545038
17667,6007600302,741210.0,438.7934618062038,POINT (424138.9153124261 434534.64252594626),1.9888624195988207
18153,6007600402,677764.0,23.531862108281057,POINT (423328.12020707276 434373.90425591427),0.9052671393016306
18630,6007600502,436875.0,66.03725040957504,POINT (410661.25512255717 431259.4607126945),0.8200933191321688
19125,6007600602,526561.0,11.186012323266523,POINT (404870.4331681289 462958.9581882788),1.021757216010926
19854,6007600802,249904.0,619.7973325536909,POINT (411610.0992679657 431518.2501908993),0.19912250506832863
20303,6007601002,169385.0,720.020090005147,POINT (417320.1020765964 442736.5181390166),0.8729114740966836
20761,6007601302,265630.0,43.042566932749864,POINT (418134.67079739756 436508.33610934386),3.6630902017212033
21228,6007601502,939769.0,14.647537971639146,POINT (408277.40672075073 448874.0472487016),0.5999453703018492
21689,6007601602,1194131.0,759.3645746320151,POINT (433483.915317022 436571.51249397977),0.5452779302310806
22155,6007601702,2302555.0,41.711610788897865,POINT (434488.7584172979 432496.9351009118),1.7917504106547448
22602,6007601802,890315.0,347.42852662321366,POINT (406557.8920447011 456999.30517652346),0.8258332033373414
23048,6007601902,689269.0,0.9445014360048343,POINT (403010.2250082416 464811.92807339766),0.8729297075686817
23776,6007602202,1642577.0,1454.5866534736,POINT (421765.37353672343 433238.9314481779),1.0071954433364447
24222,6007602302,1000266.0,5.027776307367816,POINT (405046.4430911636 460558.9434682034),0.47058400122848904
25391,6007602402,1190367.0,289.723854234154,POINT (405815.2461290935 462139.1917291412),0.903955204526098
26119,6007604902,2573423.0,401.5893001816897,POINT (446146.6694972443 425659.07023426454),0.1877337818412726
26572,6008000502,2501830.0,456.34606088972924,POINT (450326.8320301339 429827.3158245945),1.3184210161396142
27026,6008301902,2573311.0,1146.655908908738,POINT (454123.75338007923 437448.24340245937),8.873025653594876
27803,6008310202,2573297.0,719.7454242394605,POINT (455424.24745328777 435951.5383034502),10.325082284244012
28203,6008501402,2499178.0,22.08526945687741,POINT (464388.17096747446 442544.3137546183),6.25097003553996
28959,6008501802,2573375.0,1769.9326486344291,POINT (465330.5212128906 439135.10732424486),1.5662731616453731
29414,6018000402,586820.0,6.322227932605486,POINT (672325.4002796153 530001.0580870003),0.2317544144480824
29774,6018000502,1113313.0,297.34848575287873,POINT (672819.1838175213 532769.9886354198),1.9758647781597625
30171,6018300202,348631.0,6.5830774403890855,POINT (681638.3658764267 530608.108577037),0.021445970648072077
30568,8002100202,1163140.0,27.747281756640866,POINT (265385.9403645448 372732.7625227811),2.919342545079565
30780,8002200702,809751.0,7.838978408913049,POINT (288195.79107860924 400607.42308938067),3.3177001923522758
30956,8002201002,848409.0,294.34484222164457,POINT (295935.988035483 372883.35568874783),0.9641753009309716
31168,8002201602,250266.0,7.7954201111929144,POINT (289699.81061000313 393209.5585245738),3.367498268431537
31362,8002201802,475355.0,18.970681883681976,POINT (268474.77811125526 377914.5815425466),0.0029224109007613755
31556,8002201902,273792.0,1365.3505815119424,POINT (261864.8516263202 371652.9828054614),3.380292076529298
31786,8004000802,868638.0,2.9393428927189653,POINT (281961.0340407278 414288.16341640375),1.647497898750603
31980,8004000902,1339643.0,10.801091255691079,POINT (295133.5865245543 414332.84542710165),3.377539535497312
32156,8005600102,291103.0,69.71845930660191,POINT (271634.031283063 436697.79215359886),0.02630269255256473
32385,8005600202,774215.0,1190.6574284823946,POINT (292593.5465226786 437406.36673087516),4.427975439472816
32615,8005600302,418453.0,915.3920884301909,POINT (299272.0280334883 454452.0659073154),9.47831016768343
32845,8005600902,1339551.0,474.731490040248,POINT (327080.3595365827 437274.82672365854),3.8285100235004883
33076,8005601302,1339586.0,1210.8171680097428,POINT (331672.0007377725 437184.7771721769),4.303945892991151
33287,8005602002,466883.0,486.0177831778835,POINT (322061.0550763236 432717.7837733831),4.315134157687907
33517,8005602602,894492.0,25.532542598284856,POINT (319099.1808859136 435375.3743367937),3.318888231696521
33748,8005603502,659470.0,1176.4891292949414,POINT (314965.16497195297 444333.2062238006),0.48694132579250854
33977,8007600102,820788.0,2575.9134094074607,POINT (270504.7632579296 450772.33340438275),5.348401458461222
34208,8007600202,1146353.0,100.12367595510467,POINT (285486.9242207758 460552.8411400855),1.4334069233748465
34456,8012303082,691209.0,643.3779687288209,POINT (297973.2811770548 518064.1696721778),0.011029959752733394
34785,9000910102,2676603.0,1682.2813780706433,POINT (426160.2533716571 395871.91738787503),0.925880417144407
34908,11000100383,2636204.0,742.8281762129675,POINT (490547.7150674248 371475.783973277),7.2151964008169704
35507,12000200402,908935.0,12.367820134470586,POINT (688001.2414526987 530928.1219166985),0.702008265896454
35903,12000200502,851490.0,10.333994534180698,POINT (690119.2194656025 535685.9389497027),1.0103733483860022
36280,12000200802,1019761.0,0.024176589182250387,POINT (688510.5135822842 533929.7200186369),1.019813277601841
36636,12000400102,335548.0,6.531018843961295,POINT (693128.7273956651 529604.3265528878),0.28753313322607704
36992,12000400202,1141834.0,14.7425524945162,POINT (694961.4060179037 536603.6732052264),1.7984062753461432
37396,12001700102,834787.0,691.0077736137431,POINT (716563.8416938768 543444.9664365887),1.5536855011818829
37815,12001700402,268888.0,2197.8744343048033,POINT (714216.3195080027 547081.6140461245),2.3332162596092605
38254,12003100102,1191848.0,11.402290959915504,POINT (742615.1220009241 569523.6145187438),0.761454728967339
38675,12003300102,1014578.0,7.6077502874539125,POINT (747902.3066617473 576275.8558927611),0.8369549047903778
39113,12003400102,793408.0,7.712951550172657,POINT (750803.9809898713 577601.6508148458),1.024237622497819
39551,12007300302,436656.0,200.08828960512648,POINT (829923.3611276068 653486.2557600867),0.13870361922332272
39917,12007300802,428822.0,1179.38772342671,POINT (815096.6268077794 647185.8976907091),2.0980592127822693
40338,12007301102,119361.0,7.197089179338723,POINT (817338.308584555 652133.856095948),0.6056994491101851
40722,12007301502,2255408.0,7.033729319126325,POINT (822869.6892213343 647267.6372583772),0.9383231604926578
41069,12008000102,782980.0,836.0063423586855,POINT (834231.3879497617 668901.5401041798),2.8579927787218233
41467,12008600102,97563.0,766.3353511463741,POINT (824912.7347295134 672492.2816974184),0.592959248765203
41885,12008600202,20643.0,173.50908486379436,POINT (823480.6997075095 673513.3727762903),1.371129315433415
42287,12008600302,1144960.0,1.9813643320489602,POINT (823008.684564592 672101.4574086106),0.039046400428741274
42685,12008600402,207748.0,6.537458291021996,POINT (822391.1090867609 670412.298782127),0.45223531665913225
43084,14001200302,1928920.0,833.7271551178914,POINT (144068.34859895415 713669.3789082774),40.537583226614764
43143,14002800102,1942500.0,246.60269118081192,POINT (243879.6910566816 719724.0099259652),0.6868146042135334
43529,14002803883,1946708.0,1418.1414359091088,POINT (228538.97057107065 712263.9937698736),6.907153538123481
43912,16010900102,2660296.0,39.62464515179841,POINT (353100.3680274379 315492.26658853097),4.348186318644598
43925,16012400302,2648922.0,2577.3676431135605,POINT (380552.13504936267 311080.7201877835),8.935666885437525
43938,16015900902,2648311.0,3598.7003477662006,POINT (401755.30514143733 335900.7500006771),4.389377820452716
43951,16016400102,2643597.0,194.10126419579584,POINT (413139.7577816914 338077.79217555),1.0080961974524532
43964,16017000282,2648811.0,12.181561896976435,POINT (419951.9823203646 340170.23164259543),3.394575504146868
43977,16018400902,2515882.0,664.1693892896791,POINT (384417.78784479504 379671.92095873546),2.821356726306995
44305,16018401002,2529602.0,1686.044620934916,POINT (387005.04942200676 389759.1586255981),2.241465661651246
44633,16018401202,2521660.0,432.82155415609725,POINT (382545.00223348266 401724.6191138768),7.43305111683552
