,Ind,Station_ID,ActivityStartDate,ActivityEndDate
0,185810484,221475,2022-04-10,2022-04-10
1,191576307,221475,2022-04-10,2022-04-10
2,229397237,221475,2022-11-23,2022-11-23
3,230443155,221475,2022-11-23,2022-11-23
4,233348111,221475,2023-05-24,2023-05-24
5,233643431,221475,2023-05-24,2023-05-24
6,227692747,224351,2022-05-19,2022-05-19
7,231133217,224351,2022-05-19,2022-05-19
8,181536754,233985,2021-07-20,
9,181536967,233985,2021-07-20,
10,181536753,233986,2021-07-12,
11,181537028,233986,2021-07-12,
12,181536721,233987,2021-07-29,
13,181537112,233987,2021-07-29,
14,181536808,233988,2021-07-12,
15,181536971,233988,2021-07-12,
16,228501127,451008,2022-01-07,2022-01-07
17,233506953,451008,2022-01-07,2022-01-07
