,Station_ID,Start,End,Num_Days
0,217721,2022-01-05,2022-01-05,1
1,218567,2022-01-07,2022-01-07,1
2,218860,2021-12-21,2021-12-21,1
3,218897,2021-01-20,2023-03-01,6
4,219127,2022-01-07,2022-01-07,1
5,219212,2021-12-21,2021-12-21,1
6,219409,2021-12-22,2021-12-22,1
7,219446,2022-05-19,2022-05-19,1
8,220338,2021-01-20,2022-03-16,5
9,220543,2021-01-21,2022-03-16,6
10,221475,2021-10-24,2023-05-24,25
11,221888,2021-12-22,2021-12-22,1
12,222010,2022-01-07,2022-01-07,1
13,222127,2021-01-21,2023-02-28,6
14,222758,2022-05-19,2022-06-08,2
15,223029,2022-01-05,2022-01-05,1
16,224351,2022-05-19,2022-05-19,1
17,233985,2021-07-20,2021-07-20,1
18,233986,2021-07-12,2021-07-12,1
19,233987,2021-07-29,2021-07-29,1
20,233988,2021-07-12,2021-07-12,1
21,266148,2015-08-18,2017-07-31,2
22,266149,2017-08-01,2017-08-01,1
23,266150,2017-07-26,2017-07-26,1
24,266151,2017-08-01,2017-08-01,1
25,266152,2015-09-01,2017-08-14,2
26,266155,2015-09-08,2017-08-17,2
27,266156,2017-08-02,2017-08-02,1
28,266157,2015-09-01,2017-08-14,2
29,266159,2015-08-18,2017-07-31,2
30,266160,2015-09-03,2017-08-15,2
31,266161,2015-09-03,2017-08-15,2
32,266162,2015-09-01,2015-09-01,1
33,266166,2015-09-02,2017-08-15,2
34,266167,2015-08-25,2015-08-25,1
35,266169,2015-08-31,2015-08-31,1
36,266170,2015-08-27,2015-08-27,1
37,266171,2015-08-19,2015-08-19,1
38,266172,2017-07-26,2017-07-26,1
39,266173,2015-08-27,2017-08-31,2
40,266174,2017-07-27,2017-07-27,1
41,266176,2017-08-02,2017-08-02,1
42,266177,2017-07-26,2017-07-26,1
43,266178,2015-08-19,2017-07-31,2
44,266180,2017-07-27,2017-07-27,1
45,266182,2015-08-19,2015-08-19,1
46,266183,2015-09-10,2017-08-10,2
47,266184,2015-08-31,2017-08-09,2
48,266185,2015-08-19,2017-07-31,2
49,266187,2015-08-31,2017-08-09,2
50,266190,2015-09-10,2017-08-10,2
51,266191,2015-08-25,2015-08-25,1
52,266193,2015-09-08,2017-08-10,2
53,266194,2015-08-31,2017-08-09,2
54,266195,2015-08-31,2015-08-31,1
55,266197,2015-09-03,2017-08-14,2
56,266198,2015-09-02,2017-08-15,2
57,266200,2015-09-08,2017-08-10,2
58,266202,2017-07-26,2017-07-26,1
59,266203,2017-08-01,2017-08-01,1
60,266204,2015-09-08,2017-08-17,2
61,266205,2015-08-31,2017-08-09,2
62,266206,2015-09-02,2015-09-02,1
63,266207,2015-09-02,2015-09-02,1
64,266209,2017-07-27,2017-07-27,1
65,266210,2017-08-01,2017-08-01,1
66,266211,2017-07-27,2017-07-27,1
67,266215,2015-09-03,2017-08-14,2
68,266217,2015-09-01,2015-09-01,1
69,438105,2021-12-07,2023-03-01,4
70,438106,2021-06-27,2022-03-16,4
71,446292,2021-12-07,2022-03-16,3
72,446300,2021-12-10,2023-02-28,4
73,448988,2022-01-07,2022-01-07,1
74,451008,2022-01-07,2022-01-07,1
75,452824,2022-01-07,2022-01-07,1
