,Station_ID,Start,End,Num_Days
0,00 AJ0056,2018-07-16,2020-10-05,6
1,00 AJ0058,2018-07-16,2021-07-20,7
2,00 AJ0059,2018-07-16,2021-07-29,7
3,00 AJ0060,2018-07-16,2021-07-12,6
4,00 AJ0072,2021-07-12,2021-07-12,1
5,00BR01AP0007,1999-07-15,1999-07-15,1
6,00BR01AP0008,1999-07-15,2015-08-17,4
7,00BR01AP0021,1998-07-06,2002-10-30,20
8,00BR01AP0224,1998-07-07,2008-09-22,5
9,00BR01AP0233,1999-07-15,2015-09-23,9
10,00BR01BT0021,2003-06-24,2021-09-23,8
11,00BR01BT0022,2003-07-23,2022-08-22,17
12,00BR01BT0023,2003-09-04,2004-08-23,3
13,00BR01BT0024,2003-06-24,2022-08-22,20
14,00BR01BT0025,2003-06-24,2022-08-22,17
15,00BR01BT0026,2003-06-24,2022-08-22,9
16,01000000101,1995-05-16,1995-10-17,6
17,01000000201,1995-05-16,1995-10-17,5
18,01000000301,1995-05-16,1995-09-13,5
19,01000000401,1995-05-16,1995-10-17,6
20,01000000501,1995-06-20,1995-09-13,4
21,01000000601,1995-06-20,1995-09-13,4
22,01000000701,1995-06-20,1995-09-13,4
23,01000001001,1995-06-20,1995-09-13,3
24,01000001101,1995-06-20,1995-09-13,4
25,01000001201,1995-05-16,1995-09-13,5
26,01000900102,2003-04-30,2005-11-02,15
27,01002900102,1981-04-27,2005-11-02,39
28,01002900202,1981-04-27,1982-04-06,7
29,01002900302,1988-07-13,1990-08-14,18
30,01002900402,1988-07-12,1990-08-14,17
31,01002900502,1982-07-21,1988-03-27,38
32,01002900602,1982-07-21,1988-03-27,33
33,01002900702,1988-09-13,1988-09-13,1
34,01002900802,1988-09-13,1988-09-13,1
35,01002900902,1988-09-13,1990-03-31,5
36,01005700202,1989-01-25,1996-01-31,64
37,01006000102,1984-05-01,2011-07-29,532
38,01006000202,1984-05-02,2011-10-08,573
39,01006000302,1988-07-26,1996-01-31,73
40,01006000402,1988-07-26,1996-01-31,71
41,01006000502,1988-07-26,1996-01-31,73
42,01006000602,1988-07-26,1996-01-31,73
43,01006000702,1988-07-26,1994-08-23,48
44,01006000802,1988-07-26,1995-10-25,73
45,01006001002,1988-07-26,1996-01-31,72
46,01006001202,1988-07-26,1995-09-27,65
47,01006700102,1984-05-02,2011-07-29,443
48,01007400202,1988-07-25,1996-01-30,66
49,01007800102,1988-08-22,1995-03-27,63
50,01007800202,1988-08-22,1995-03-27,64
51,01007800302,1988-08-22,1995-03-27,66
52,01009000202,1988-07-25,1994-10-24,66
53,01010400102,1988-08-22,1995-10-16,42
54,01010400202,1988-08-22,2020-11-20,73
55,01010500102,1988-08-22,2020-11-20,111
56,01010600202,1988-08-22,2020-10-15,84
57,01010700202,1988-08-22,2020-11-20,96
58,01010700302,1988-08-22,1995-10-16,37
59,01010700402,2017-04-27,2019-11-01,17
60,01010800102,1984-04-30,2020-10-15,559
61,01010800202,1988-08-24,1996-01-09,74
62,01010800302,1988-09-12,1995-10-17,43
63,01010800402,1988-08-24,1996-01-09,75
64,01010800502,1988-09-12,1996-01-09,73
65,01010800602,2009-04-29,2019-11-01,36
66,01010900102,1988-08-24,1996-01-09,75
67,01010900202,1988-08-24,1996-01-09,75
68,01011000102,1988-08-24,1996-01-09,74
