,Station_ID,Start,End,Num_Days
0,89,2015-10-02,2017-10-02,3
1,90,2017-09-30,2017-09-30,1
2,91,2016-10-02,2017-10-03,2
3,95,2017-10-01,2017-10-01,1
4,98,2017-10-01,2017-10-01,1
5,102,2015-10-02,2017-10-02,3
6,103,2016-10-02,2016-10-02,1
7,105,2016-10-03,2016-10-03,1
8,147,2014-09-07,2014-09-07,1
9,148,2014-09-08,2014-09-08,1
10,152,2014-09-08,2014-09-08,1
11,153,2015-08-10,2015-08-10,1
12,155,2014-09-08,2014-09-08,1
13,157,2014-09-07,2014-09-07,1
14,163,2014-09-08,2014-09-08,1
15,167,2014-09-07,2014-09-07,1
16,169,2014-09-07,2014-09-07,1
17,171,2014-09-08,2014-09-08,1
18,216,2019-05-22,2019-06-18,2
19,217,2018-05-24,2018-06-21,2
20,218,2019-05-22,2019-06-18,2
21,219,2019-05-20,2019-06-17,2
22,220,2017-06-18,2017-06-18,1
23,221,2018-06-20,2018-06-20,1
24,222,2019-05-20,2019-06-18,2
25,223,2018-06-20,2018-06-20,1
26,224,2019-05-20,2019-06-17,2
27,225,2019-05-22,2019-06-18,2
28,226,2018-06-22,2018-06-22,1
29,227,2017-06-18,2017-06-18,1
30,228,2019-05-20,2019-06-17,2
31,229,2018-05-25,2018-06-20,2
32,230,2019-05-22,2019-06-19,2
33,231,2019-05-22,2019-06-18,2
34,232,2019-05-20,2019-06-17,2
35,233,2018-06-20,2018-06-20,1
36,234,2018-05-25,2018-06-20,2
37,235,2019-05-20,2019-06-19,2
38,236,2018-05-24,2018-06-20,2
39,237,2018-05-24,2018-06-21,2
40,238,2018-06-22,2018-06-22,1
41,239,2019-05-22,2019-06-18,2
42,240,2019-05-20,2019-06-19,2
43,241,2017-06-18,2017-06-18,1
44,242,2017-06-17,2017-06-17,1
45,243,2018-06-22,2018-06-22,1
46,244,2019-05-22,2019-06-19,2
47,245,2018-05-25,2018-06-20,2
48,246,2018-06-21,2018-06-21,1
49,247,2018-05-25,2018-06-20,2
50,248,2019-05-20,2019-06-18,2
51,249,2018-06-22,2018-06-22,1
52,250,2017-06-18,2017-06-18,1
53,251,2019-05-20,2019-06-19,2
54,252,2018-06-22,2018-06-22,1
55,253,2019-05-22,2019-06-18,2
56,254,2017-06-18,2017-06-18,1
57,255,2019-05-20,2019-06-19,2
58,256,2017-06-17,2017-06-17,1
59,257,2018-05-24,2018-06-21,2
60,258,2017-06-16,2017-06-16,1
61,259,2018-06-22,2018-06-22,1
62,260,2017-06-18,2017-06-18,1
63,261,2018-06-20,2018-06-20,1
64,262,2019-05-22,2019-06-19,2
65,263,2018-06-20,2018-06-20,1
66,264,2019-05-20,2019-06-17,2
67,265,2019-05-22,2019-06-18,2
68,266,2019-05-20,2019-06-19,2
69,267,2019-05-20,2019-06-18,2
70,268,2017-06-16,2017-06-16,1
71,269,2019-05-20,2019-06-19,2
72,270,2017-06-18,2017-06-18,1
73,271,2018-06-21,2018-06-21,1
74,272,2019-05-20,2019-06-19,2
75,273,2019-05-20,2019-06-18,2
76,274,2018-06-21,2018-06-21,1
77,275,2017-06-17,2017-06-17,1
78,277,2019-05-20,2019-06-17,2
79,278,2017-06-17,2017-06-17,1
80,279,2019-05-22,2019-06-19,2
81,280,2019-05-22,2019-06-19,2
82,281,2018-05-24,2018-06-20,2
83,282,2019-05-20,2019-06-17,2
84,283,2018-05-24,2018-06-21,2
