,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
48813,181536945,00 AJ0058,MacQuarrie Brook,2021-07-20,,,Dissolved,1.72,mg/L
48815,181537020,00 AJ0059,Meduxnekeag River below MacQuarrie Brook,2021-07-29,,,Dissolved,0.4,mg/L
48814,181536977,00 AJ0060,Marven's Brook,2021-07-12,,,Dissolved,1.12,mg/L
48816,181537098,00 AJ0072,Meduxnekeag River below Red Bridge,2021-07-12,,,Dissolved,0.41,mg/L
51094,182434288,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1998-07-06,,,Unspecified,0.0,mg/L
50811,182417791,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1998-07-27,,,Unspecified,0.0,mg/L
51039,182431045,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1998-08-31,,,Unspecified,0.0,mg/L
51229,182443254,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-06-14,,,Unspecified,0.06,mg/L
50929,182424764,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-07-12,,,Unspecified,0.09,mg/L
51161,182438695,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-07-12,,,Unspecified,0.09,mg/L
51122,182436032,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-07-12,,,Unspecified,0.09,mg/L
51225,182442882,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-09-20,,,Unspecified,0.11,mg/L
51146,182437999,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",1999-10-25,,,Unspecified,0.05,mg/L
51228,182443177,00BR01AP0021,"Hammond River Above French Village Bridge, Route 860",2001-10-29,,,Unspecified,0.05,mg/L
51206,182441929,00BR01AP0224,Mill Brook Upstream Site At Saddleback Rd Crossing,1998-07-07,,,Unspecified,0.0,mg/L
51135,182437223,00BR01AP0224,Mill Brook Upstream Site At Saddleback Rd Crossing,1998-07-27,,,Unspecified,0.03,mg/L
51143,182437930,00BR01AP0224,Mill Brook Upstream Site At Saddleback Rd Crossing,1998-08-31,,,Unspecified,0.04,mg/L
51222,182442720,00BR01AP0233,Hanford Brook Below Porter Brook,2010-06-29,,,Unspecified,0.05,mg/L
273129,313189774,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
273302,313259296,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
273359,313279913,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
272934,313118597,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
272927,313116324,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
273223,313230738,00BR01BT0021,Bear Creek,2003-10-22,11:20:00,,Unspecified,0.62,mg/L
14254,157695614,00BR01BT0021,Bear Creek,2003-10-22,,,Unspecified,0.62,mg/L
14216,157613199,00BR01BT0021,Bear Creek,2004-07-26,,,Unspecified,0.05,mg/L
273299,313258301,00BR01BT0021,Bear Creek,2004-08-23,10:00:00,,Unspecified,0.25,mg/L
273090,313172961,00BR01BT0021,Bear Creek,2004-08-23,10:00:00,,Unspecified,0.25,mg/L
14241,157675055,00BR01BT0021,Bear Creek,2004-08-23,00:00:00,,Unspecified,0.25,mg/L
273512,313350630,00BR01BT0021,Bear Creek,2004-08-23,10:00:00,,Unspecified,0.25,mg/L
273232,313235309,00BR01BT0021,Bear Creek,2007-06-26,09:21:00,,Unspecified,0.12,mg/L
273028,313154034,00BR01BT0021,Bear Creek,2007-06-26,09:21:00,,Unspecified,0.12,mg/L
273315,313262877,00BR01BT0021,Bear Creek,2007-07-31,10:35:00,,Unspecified,0.0,mg/L
273381,313290893,00BR01BT0021,Bear Creek,2007-07-31,10:35:00,,Unspecified,0.0,mg/L
273008,313145126,00BR01BT0021,Bear Creek,2007-08-22,10:45:00,,Unspecified,0.08,mg/L
273492,313339329,00BR01BT0021,Bear Creek,2007-08-22,10:45:00,,Unspecified,0.08,mg/L
273337,313273373,00BR01BT0021,Bear Creek,2007-10-02,10:15:00,,Unspecified,0.0,mg/L
273234,313235817,00BR01BT0021,Bear Creek,2007-10-02,10:15:00,,Unspecified,0.0,mg/L
273168,313204585,00BR01BT0021,Bear Creek,2007-10-23,11:15:00,,Unspecified,0.04,mg/L
273049,313160143,00BR01BT0021,Bear Creek,2007-10-23,11:15:00,,Unspecified,0.04,mg/L
273535,313362364,00BR01BT0021,Bear Creek,2008-05-13,11:09:00,,Unspecified,0.0,mg/L
272935,313118631,00BR01BT0021,Bear Creek,2008-05-13,11:09:00,,Unspecified,0.0,mg/L
273507,313349977,00BR01BT0021,Bear Creek,2008-06-03,11:15:00,,Unspecified,0.0,mg/L
273024,313152263,00BR01BT0021,Bear Creek,2008-06-03,11:15:00,,Unspecified,0.0,mg/L
273107,313179516,00BR01BT0021,Bear Creek,2008-07-08,11:06:00,,Unspecified,0.0,mg/L
273150,313197043,00BR01BT0021,Bear Creek,2008-07-08,11:06:00,,Unspecified,0.0,mg/L
14279,157743666,00BR01BT0021,Bear Creek,2019-06-25,12:48:00,2019-06-25,Unfiltered,3.08,mg/L
273117,313181990,00BR01BT0021,Bear Creek,2019-08-21,12:09:00,2019-08-21,Unfiltered,0.17,mg/L
14295,157786671,00BR01BT0021,Bear Creek,2019-09-24,12:24:00,2019-09-24,Unfiltered,0.4,mg/L
273073,313167410,00BR01BT0021,Bear Creek,2020-10-19,12:10:00,,Unfiltered,4.47,mg/L
273538,313363505,00BR01BT0021,Bear Creek,2021-10-20,12:10:00,2021-10-20,Unfiltered,0.137,mg/L
273113,313180401,00BR01BT0021,Bear Creek,2022-10-20,12:31:00,2022-10-20,Unfiltered,0.115,mg/L
273328,313269781,00BR01BT0022,Aboujagane River,2003-07-23,11:15:00,,Unspecified,0.11,mg/L
273325,313268281,00BR01BT0022,Aboujagane River,2003-07-23,,,Unspecified,0.07,mg/L
273490,313339153,00BR01BT0022,Aboujagane River,2003-07-23,00:00:00,,Unspecified,0.012,mg/L
273288,313255723,00BR01BT0022,Aboujagane River,2003-07-23,11:25:00,,Unspecified,0.07,mg/L
273408,313304687,00BR01BT0022,Aboujagane River,2003-07-23,,,Unspecified,0.012,mg/L
273244,313240166,00BR01BT0022,Aboujagane River,2003-07-23,11:15:00,,Unspecified,0.11,mg/L
273511,313350340,00BR01BT0022,Aboujagane River,2003-07-23,00:00:00,,Unspecified,0.07,mg/L
273177,313206176,00BR01BT0022,Aboujagane River,2003-07-23,11:25:00,,Unspecified,0.07,mg/L
273017,313150745,00BR01BT0022,Aboujagane River,2003-07-23,11:25:00,,Unspecified,0.012,mg/L
273468,313328713,00BR01BT0022,Aboujagane River,2003-07-23,11:25:00,,Unspecified,0.012,mg/L
273039,313157323,00BR01BT0022,Aboujagane River,2003-07-23,11:15:00,,Unspecified,0.11,mg/L
273057,313162906,00BR01BT0022,Aboujagane River,2003-07-23,11:25:00,,Unspecified,0.012,mg/L
273084,313170800,00BR01BT0022,Aboujagane River,2003-10-22,,,Unspecified,0.45,mg/L
273121,313184878,00BR01BT0022,Aboujagane River,2003-10-22,11:50:00,,Unspecified,0.45,mg/L
273031,313154683,00BR01BT0022,Aboujagane River,2003-10-22,11:50:00,,Unspecified,0.45,mg/L
272996,313141400,00BR01BT0022,Aboujagane River,2003-10-22,00:00:00,,Unspecified,0.45,mg/L
273395,313297180,00BR01BT0022,Aboujagane River,2004-07-26,,,Unspecified,0.05,mg/L
273463,313326681,00BR01BT0022,Aboujagane River,2004-08-23,,,Unspecified,0.07,mg/L
273042,313157650,00BR01BT0022,Aboujagane River,2004-09-15,,,Unspecified,0.05,mg/L
272918,313113294,00BR01BT0022,Aboujagane River,2004-09-15,00:00:00,,Unspecified,0.05,mg/L
273016,313149897,00BR01BT0022,Aboujagane River,2004-09-15,10:00:00,,Unspecified,0.07,mg/L
273440,313318099,00BR01BT0022,Aboujagane River,2004-09-15,10:00:00,,Unspecified,0.07,mg/L
273239,313238444,00BR01BT0022,Aboujagane River,2007-07-02,09:05:00,,Unspecified,0.09,mg/L
273369,313287496,00BR01BT0022,Aboujagane River,2007-07-02,09:05:00,,Unspecified,0.09,mg/L
273262,313246955,00BR01BT0022,Aboujagane River,2007-08-22,10:15:00,,Unspecified,0.25,mg/L
273026,313153622,00BR01BT0022,Aboujagane River,2007-08-22,10:15:00,,Unspecified,0.25,mg/L
273054,313162232,00BR01BT0022,Aboujagane River,2007-10-02,10:30:00,,Unspecified,0.27,mg/L
273489,313339041,00BR01BT0022,Aboujagane River,2007-10-02,10:30:00,,Unspecified,0.27,mg/L
273534,313361817,00BR01BT0022,Aboujagane River,2007-10-23,10:00:00,,Unspecified,0.08,mg/L
273139,313194171,00BR01BT0022,Aboujagane River,2007-10-23,10:00:00,,Unspecified,0.08,mg/L
272990,313138613,00BR01BT0022,Aboujagane River,2008-05-13,11:00:00,,Unspecified,0.0,mg/L
273411,313306383,00BR01BT0022,Aboujagane River,2008-05-13,11:00:00,,Unspecified,0.0,mg/L
273480,313335239,00BR01BT0022,Aboujagane River,2008-06-03,11:15:00,,Unspecified,0.05,mg/L
273367,313285685,00BR01BT0022,Aboujagane River,2008-06-03,11:15:00,,Unspecified,0.05,mg/L
273106,313179175,00BR01BT0022,Aboujagane River,2008-07-08,11:30:00,,Unspecified,0.09,mg/L
273092,313173114,00BR01BT0022,Aboujagane River,2008-07-08,11:30:00,,Unspecified,0.09,mg/L
273089,313172008,00BR01BT0022,Aboujagane River,2019-06-25,13:05:00,2019-06-25,Unfiltered,3.17,mg/L
272950,313125010,00BR01BT0022,Aboujagane River,2019-07-25,12:25:00,2019-07-25,Unfiltered,1.01,mg/L
272980,313136291,00BR01BT0022,Aboujagane River,2019-08-21,12:25:00,2019-08-21,Unfiltered,0.27,mg/L
273386,313293936,00BR01BT0022,Aboujagane River,2019-09-24,12:39:00,2019-09-24,Unfiltered,0.49,mg/L
273185,313211298,00BR01BT0022,Aboujagane River,2019-10-22,12:17:00,2019-10-22,Unfiltered,0.99,mg/L
273158,313200734,00BR01BT0022,Aboujagane River,2020-10-19,12:25:00,,Unfiltered,2.39,mg/L
272960,313128678,00BR01BT0022,Aboujagane River,2021-10-20,12:37:00,2021-10-20,Unfiltered,0.341,mg/L
273258,313246180,00BR01BT0022,Aboujagane River,2022-10-20,12:42:00,2022-10-20,Unfiltered,0.332,mg/L
273295,313257544,00BR01BT0023,Kinnear River,2003-10-22,12:25:00,,Unspecified,0.13,mg/L
273297,313257892,00BR01BT0023,Kinnear River,2003-10-22,00:00:00,,Unspecified,0.13,mg/L
