,Station_ID,Start,End,Num_Days
0,00 AJ0056,2018-07-16,2020-10-05,6
1,00 AJ0058,2018-07-16,2021-07-20,7
2,00 AJ0059,2018-07-16,2021-07-29,7
3,00 AJ0060,2018-07-16,2021-07-12,6
4,00 AJ0072,2021-07-12,2021-07-12,1
5,00BR01AP0007,1999-07-15,1999-07-15,1
6,00BR01AP0008,1999-07-15,2015-08-17,4
7,00BR01AP0021,1998-07-06,2002-10-30,20
8,00BR01AP0224,1998-07-07,2008-09-22,5
9,00BR01AP0233,1999-07-15,2015-09-23,9
10,00BR01BT0021,2003-10-22,2022-10-20,22
11,00BR01BT0022,2003-07-23,2022-10-20,28
12,00BR01BT0023,2003-10-22,2022-10-20,19
13,00BR01BT0024,2003-06-24,2022-10-20,35
14,00BR01BT0025,2003-06-24,2022-10-20,28
15,00BR01BT0026,2003-06-24,2022-10-20,23
16,00BR01BT0027,2008-06-02,2019-10-22,7
17,00BR01BT0028,2008-06-02,2022-10-20,22
18,00BR01BT0029,2008-06-02,2022-10-20,22
19,00BR01BT0030,2019-06-25,2022-10-20,16
20,00BR01BT0031,2021-06-16,2022-10-20,10
21,01000000101,1968-08-12,1978-05-22,54
22,01000000201,1968-08-12,1978-05-22,80
23,01000000301,1969-07-03,1978-05-22,50
24,01000000401,1969-07-03,1978-05-22,50
25,01000000501,1969-07-03,1978-05-22,52
26,01000000601,1972-10-26,1978-05-22,31
27,01000000701,1977-05-27,1978-05-23,4
28,01000000801,1977-08-08,1977-09-12,2
29,01000001001,1978-05-22,1981-06-15,2
30,01000001101,1978-05-22,1984-07-09,2
31,01000001201,1985-09-16,1986-10-14,8
32,01000001301,1985-09-17,1986-10-27,5
33,01000001401,1985-09-17,1986-10-27,6
34,01000001501,1985-09-17,1986-10-27,6
35,01000001601,1985-09-18,1986-10-30,6
36,01000001701,1985-10-17,1986-06-25,2
37,01000001801,1985-10-17,1986-10-30,3
38,01000001901,1986-09-30,1986-10-29,2
39,01000002001,1986-09-30,1986-10-29,2
40,01000100102,1972-10-09,1973-06-03,12
41,01000900102,1972-10-09,1981-01-31,82
42,01001200102,1973-07-08,1981-01-31,66
43,01002700102,1973-10-15,1975-06-03,32
44,01002900102,1969-04-08,1984-02-21,89
45,01002900202,1969-04-08,1982-04-06,78
46,01002900302,1969-04-08,1979-12-02,61
47,01002900402,1969-04-08,1979-12-02,53
48,01002900502,1973-02-08,1979-12-02,61
49,01005700102,1973-06-06,1985-10-29,70
50,01005700202,1986-04-29,1988-11-23,27
51,01006000102,1973-06-06,1988-07-11,468
52,01006000202,1973-07-18,1994-10-24,500
53,01006000302,1976-05-18,1988-06-28,128
54,01006000402,1976-05-18,1988-06-28,127
55,01006000502,1976-05-18,1988-06-28,127
56,01006000602,1977-01-17,1988-06-28,124
57,01006000702,1977-04-26,1988-06-28,119
58,01006000802,1980-01-29,1988-06-28,101
59,01006000902,1983-01-25,1984-09-25,21
60,01006001002,1983-01-24,1988-06-28,64
61,01006001102,1983-01-24,1984-09-25,21
62,01006001202,1984-10-29,1988-06-28,41
63,01006700102,1973-06-06,1988-07-11,352
64,01006800102,1980-06-23,1984-09-24,49
65,01007000102,1973-06-06,1975-06-03,38
66,01007300102,1973-06-06,1975-06-03,37
67,01007400102,1974-04-16,1987-08-24,15
