,Station_ID,Start,End,Num_Days
0,0120403,1975-12-03,1975-12-03,1
1,0120405,1975-12-03,1975-12-03,1
2,0120800,1975-04-21,1977-11-01,4
3,0120802,1975-08-12,2014-07-29,13
4,0120808,2008-08-10,2008-11-11,8
5,0122700,1975-03-26,1979-05-24,2
6,0122710,1976-07-15,1978-06-08,6
7,0123981,1975-04-21,2008-11-12,14
8,0124784,1983-02-15,1983-06-29,3
9,0124785,1983-02-15,1984-12-11,15
10,0125580,1977-09-28,2008-11-11,16
11,0125582,2008-08-10,2008-11-11,7
12,0125900,1984-06-20,1984-08-23,2
13,0125902,1980-07-10,1984-02-20,4
14,0125903,1980-07-10,1995-01-23,10
15,0125904,1980-10-02,1981-05-25,2
16,0125980,1977-09-28,1981-09-15,6
17,0125981,1980-05-13,1982-05-11,4
18,0126401,1978-09-25,1978-09-25,1
19,0126402,1979-07-31,2007-11-18,18
20,0126403,1979-07-31,1984-05-28,6
21,0127215,1975-03-26,1979-05-24,2
22,0127216,1975-03-26,1979-05-24,2
23,0127581,2005-07-05,2006-09-10,10
24,0127620,1977-09-28,2009-05-28,11
25,0127621,1980-05-13,2009-09-02,6
26,0130080,1983-05-17,1983-10-27,5
27,0130081,1983-06-01,1984-12-11,12
28,0130082,1981-04-16,1984-12-11,21
29,0130083,1983-04-26,1983-07-19,2
30,0130084,1983-06-01,1984-12-11,12
31,0130088,1981-04-16,1984-12-12,17
32,0130090,1981-04-16,1984-12-11,21
33,0130142,1983-07-19,1983-07-19,1
34,0130143,1981-04-16,1984-12-12,11
35,0130261,2011-02-17,2013-09-06,2
36,0130355,2005-03-15,2015-02-24,17
37,0131140,1975-03-26,1977-11-01,4
38,0140124,2005-07-06,2006-09-10,10
39,0153000,1975-09-29,1976-01-15,4
40,0153001,1975-12-15,1975-12-15,1
41,0153017,1975-09-29,1976-01-15,4
42,0153018,1975-09-29,1976-01-15,4
43,0200001,1969-06-16,1979-04-09,82
44,0200002,1968-10-02,1978-09-06,15
45,0200003,1968-08-06,2023-04-24,209
46,0200012,1968-08-08,1984-11-14,120
