,Station_ID,P_Start,P_End,Num_Days
0,214907,2005-06-22,2005-06-22,1
1,214907,2005-07-05,2005-07-05,1
2,214907,2005-08-16,2005-08-17,2
3,214907,2005-09-21,2005-09-21,1
4,214907,2005-10-27,2005-10-27,1
5,214907,2005-12-09,2005-12-09,1
6,214907,2005-12-22,2005-12-22,1
7,214907,2006-02-17,2006-02-17,1
8,214907,2006-03-08,2006-03-08,1
9,214907,2006-04-28,2006-04-28,1
10,214907,2006-05-17,2006-05-17,1
11,214907,2006-06-09,2006-06-09,1
12,214907,2006-06-22,2006-06-22,1
13,214907,2006-07-19,2006-07-19,1
14,214907,2006-08-10,2006-08-10,1
15,214907,2006-09-20,2006-09-20,1
16,214907,2006-10-25,2006-10-25,1
17,214907,2006-12-04,2006-12-04,1
18,214907,2007-01-10,2007-01-10,1
19,214907,2007-02-06,2007-02-06,1
20,214907,2007-03-20,2007-03-20,1
21,214907,2007-04-17,2007-04-17,1
22,214907,2007-05-22,2007-05-22,1
23,214907,2007-07-04,2007-07-04,1
24,214907,2007-08-02,2007-08-02,1
25,214907,2007-08-27,2007-08-27,1
26,214907,2007-10-04,2007-10-04,1
27,214907,2007-10-25,2007-10-25,1
28,214907,2007-11-27,2007-11-27,1
29,214907,2007-12-18,2007-12-18,1
30,214907,2008-01-17,2008-01-17,1
31,214907,2008-02-12,2008-02-12,1
32,214907,2008-03-11,2008-03-11,1
33,214907,2008-04-08,2008-04-08,1
34,214907,2008-05-13,2008-05-13,1
35,214907,2008-07-09,2008-07-09,1
36,214907,2008-08-07,2008-08-07,1
37,214907,2008-10-07,2008-10-07,1
38,214907,2008-10-28,2008-10-28,1
39,214907,2008-11-13,2008-11-13,1
40,214907,2008-12-02,2008-12-02,1
41,214907,2009-01-08,2009-01-08,1
42,214907,2009-02-17,2009-02-17,1
43,214907,2009-03-10,2009-03-10,1
44,214907,2009-04-07,2009-04-07,1
45,214907,2009-05-08,2009-05-08,1
46,214907,2009-06-09,2009-06-09,1
47,214907,2009-07-14,2009-07-14,1
48,214907,2009-08-10,2009-08-10,1
49,214907,2009-09-24,2009-09-24,1
50,214907,2009-10-21,2009-10-21,1
51,214907,2009-11-18,2009-11-18,1
52,214907,2009-12-14,2009-12-14,1
53,214907,2010-01-15,2010-01-15,1
54,214907,2010-02-05,2010-02-05,1
55,214907,2010-03-12,2010-03-12,1
56,214907,2010-04-16,2010-04-16,1
57,214907,2010-05-07,2010-05-07,1
58,214907,2010-08-12,2010-08-12,1
59,214907,2010-09-13,2010-09-13,1
60,214907,2010-10-15,2010-10-15,1
61,214907,2010-11-16,2010-11-16,1
62,214907,2010-12-16,2010-12-16,1
63,214907,2011-01-12,2011-01-12,1
64,214907,2011-02-16,2011-02-16,1
65,214907,2011-03-08,2011-03-08,1
66,214907,2011-04-15,2011-04-15,1
67,214907,2011-05-31,2011-05-31,1
68,214907,2011-06-28,2011-06-28,1
69,214907,2011-07-25,2011-07-25,1
70,214907,2011-08-16,2011-08-16,1
71,214907,2011-09-30,2011-09-30,1
72,214907,2011-10-28,2011-10-28,1
73,214907,2011-11-18,2011-11-18,1
74,214907,2011-12-16,2011-12-16,1
75,214907,2012-01-10,2012-01-10,1
76,214907,2012-02-15,2012-02-15,1
77,214907,2012-03-06,2012-03-06,1
78,214907,2012-04-17,2012-04-17,1
79,214907,2012-05-24,2012-05-24,1
80,214907,2012-06-12,2012-06-12,1
81,214907,2012-07-23,2012-07-23,1
82,214907,2012-09-21,2012-09-21,1
83,214907,2012-10-09,2012-10-09,1
84,214907,2012-11-08,2012-11-08,1
85,214907,2012-12-07,2012-12-07,1
86,214907,2013-01-23,2013-01-23,1
87,214907,2013-02-27,2013-02-27,1
88,214907,2013-03-20,2013-03-20,1
89,214907,2013-04-17,2013-04-17,1
90,214907,2013-05-31,2013-05-31,1
91,214907,2013-06-28,2013-06-28,1
92,214907,2013-07-17,2013-07-17,1
93,214907,2013-08-27,2013-08-27,1
94,214907,2013-09-17,2013-09-17,1
95,214907,2013-10-23,2013-10-23,1
96,214907,2013-11-15,2013-11-15,1
97,214907,2013-12-05,2013-12-05,1
98,214907,2014-01-23,2014-01-23,1
99,214907,2014-02-21,2014-02-21,1
100,214907,2014-03-20,2014-03-20,1
101,214907,2014-04-25,2014-04-25,1
102,214907,2014-05-29,2014-05-29,1
103,214907,2014-06-20,2014-06-20,1
104,214907,2014-07-24,2014-07-24,1
105,214907,2014-08-29,2014-08-29,1
106,214907,2014-09-22,2014-09-22,1
107,214907,2014-10-17,2014-10-17,1
108,214907,2014-11-10,2014-11-10,1
109,214907,2014-12-01,2014-12-01,1
110,214907,2015-01-26,2015-01-26,1
111,214907,2015-02-20,2015-02-20,1
112,214907,2015-03-25,2015-03-25,1
113,214907,2015-04-30,2015-04-30,1
114,214907,2015-05-29,2015-05-29,1
115,214907,2015-06-24,2015-06-24,1
116,214907,2015-07-21,2015-07-21,1
117,214907,2015-08-18,2015-08-18,1
118,214907,2015-09-11,2015-09-11,1
119,214907,2015-10-08,2015-10-08,1
120,214907,2015-11-06,2015-11-06,1
121,214907,2015-12-02,2015-12-02,1
122,214907,2016-01-26,2016-01-26,1
123,214907,2016-02-25,2016-02-25,1
124,214907,2016-03-23,2016-03-23,1
125,214907,2016-04-13,2016-04-13,1
126,214907,2016-06-16,2016-06-16,1
127,214907,2016-07-20,2016-07-20,1
128,214907,2016-08-31,2016-08-31,1
129,214907,2016-09-16,2016-09-16,1
130,214907,2016-11-03,2016-11-03,1
131,214907,2017-01-24,2017-01-24,1
132,214907,2017-02-22,2017-02-22,1
133,214907,2017-03-15,2017-03-15,1
134,214907,2017-05-04,2017-05-04,1
135,214907,2017-06-09,2017-06-09,1
136,214907,2017-07-19,2017-07-19,1
137,214907,2017-08-15,2017-08-15,1
138,214907,2017-09-28,2017-09-28,1
139,214907,2017-10-18,2017-10-18,1
140,214907,2017-11-10,2017-11-10,1
141,214907,2017-12-05,2017-12-05,1
142,214907,2018-04-20,2018-04-20,1
143,214907,2018-05-28,2018-05-28,1
144,214907,2018-06-20,2018-06-20,1
145,214907,2018-07-20,2018-07-20,1
146,214907,2018-08-24,2018-08-24,1
147,214907,2018-09-20,2018-09-20,1
148,214907,2018-10-17,2018-10-17,1
149,214907,2018-11-16,2018-11-16,1
150,214907,2018-12-07,2018-12-07,1
151,214907,2019-01-29,2019-01-29,1
152,214907,2019-02-28,2019-02-28,1
153,214907,2019-04-16,2019-04-16,1
154,214907,2019-05-07,2019-05-07,1
155,214907,2019-06-06,2019-06-06,1
156,214907,2019-07-09,2019-07-09,1
157,214907,2019-10-11,2019-10-11,1
158,214907,2019-11-07,2019-11-07,1
159,214907,2019-12-05,2019-12-05,1
160,214907,2020-01-23,2020-01-23,1
161,214907,2020-02-20,2020-02-20,1
162,214907,2020-03-19,2020-03-19,1
163,214907,2020-04-23,2020-04-23,1
164,214907,2020-05-21,2020-05-21,1
165,214907,2020-06-11,2020-06-11,1
166,214907,2020-07-15,2020-07-15,1
167,214907,2020-08-13,2020-08-13,1
168,214907,2020-09-22,2020-09-22,1
169,214907,2020-10-08,2020-10-08,1
170,214907,2020-11-03,2020-11-03,1
171,214907,2021-02-22,2021-02-22,1
172,214907,2021-03-26,2021-03-26,1
173,214907,2021-04-19,2021-04-19,1
174,214907,2021-05-12,2021-05-12,1
175,214907,2021-06-08,2021-06-08,1
176,214907,2021-07-08,2021-07-08,1
177,214907,2021-08-04,2021-08-04,1
178,214907,2021-09-07,2021-09-07,1
179,214907,2021-10-07,2021-10-07,1
180,214907,2021-11-05,2021-11-05,1
181,214907,2021-12-10,2021-12-10,1
182,214907,2022-01-25,2022-01-25,1
183,214907,2022-02-15,2022-02-15,1
184,214907,2022-03-25,2022-03-25,1
185,214907,2022-05-26,2022-05-26,1
