,Station_ID,Start,End,Num_Days
0,214907,2005-06-22,2022-12-14,194
1,460196,2017-08-03,2017-08-03,1
2,460197,2018-07-24,2018-07-24,1
3,460198,2019-07-06,2019-07-06,1
4,460199,2018-07-15,2018-07-15,1
5,460200,2019-07-15,2019-07-15,1
6,460201,2018-07-09,2018-07-09,1
7,460202,2018-08-06,2018-08-06,1
8,460203,2019-08-02,2019-08-02,1
9,460204,2018-07-01,2018-07-01,1
10,460205,2018-08-10,2018-08-10,1
11,460206,2017-08-26,2017-08-26,1
12,460207,2019-08-10,2019-08-10,1
13,460208,2019-07-12,2019-07-12,1
14,460209,2018-08-20,2018-08-20,1
15,460210,2018-07-14,2018-07-14,1
16,460211,2018-07-22,2018-07-22,1
17,460212,2018-08-20,2018-08-20,1
18,460213,2018-07-26,2018-07-26,1
19,460214,2019-08-23,2019-08-23,1
20,460215,2017-08-13,2017-08-13,1
21,460216,2019-08-01,2019-08-01,1
22,460217,2017-07-14,2017-07-14,1
23,460218,2018-07-04,2018-07-04,1
24,460219,2019-07-12,2019-07-12,1
25,460220,2017-09-08,2017-09-08,1
26,460221,2018-08-23,2018-08-23,1
27,460222,2019-08-03,2019-08-03,1
28,460223,2017-08-10,2017-08-10,1
29,460224,2018-07-10,2018-07-10,1
30,460225,2018-08-19,2018-08-19,1
31,460226,2019-08-03,2019-08-03,1
32,460227,2018-07-13,2018-07-13,1
33,460228,2017-09-09,2017-09-09,1
34,460229,2019-08-06,2019-08-06,1
35,460230,2019-07-20,2019-07-20,1
36,460231,2018-07-12,2018-07-12,1
37,460232,2018-07-05,2018-07-05,1
38,460233,2018-07-12,2018-07-12,1
39,460234,2017-08-12,2017-08-12,1
40,460235,2018-08-23,2018-08-23,1
41,460236,2019-08-01,2019-08-01,1
42,460237,2018-08-30,2018-08-30,1
43,460238,2018-07-21,2018-07-21,1
44,460239,2019-08-10,2019-08-10,1
45,460240,2018-07-02,2018-07-02,1
46,460241,2019-08-03,2019-08-03,1
47,460242,2019-07-28,2019-07-28,1
48,460243,2017-08-28,2017-08-28,1
49,460244,2018-08-25,2018-08-25,1
50,460245,2019-07-20,2019-07-20,1
51,460246,2019-07-02,2019-07-02,1
52,460247,2017-09-02,2017-09-02,1
53,460248,2018-08-23,2018-08-23,1
54,460249,2019-07-23,2019-07-23,1
55,460250,2019-08-02,2019-08-02,1
56,460251,2017-08-25,2017-08-25,1
57,460252,2018-07-31,2018-07-31,1
58,460253,2017-07-29,2017-07-29,1
59,460254,2017-08-12,2017-08-12,1
60,460255,2017-08-05,2017-08-05,1
61,460256,2017-08-02,2017-08-02,1
62,460257,2018-07-30,2018-07-30,1
63,460258,2019-07-03,2019-07-03,1
64,460259,2018-08-29,2018-08-29,1
65,460260,2018-07-28,2018-07-28,1
66,460261,2017-07-14,2017-07-14,1
67,460262,2018-07-02,2018-07-02,1
68,460263,2017-08-28,2017-08-28,1
69,460264,2017-08-31,2017-08-31,1
70,460265,2018-07-05,2018-07-05,1
71,460266,2019-07-25,2019-07-25,1
72,460267,2019-07-30,2019-07-30,1
73,460268,2017-07-21,2017-07-21,1
74,460269,2017-08-27,2017-08-27,1
75,460270,2019-08-04,2019-08-04,1
76,460271,2017-08-13,2017-08-13,1
77,460272,2019-07-13,2019-07-13,1
78,460273,2017-09-10,2017-09-10,1
79,460274,2019-08-05,2019-08-05,1
80,460275,2018-08-06,2018-08-06,1
81,460276,2018-08-02,2018-08-02,1
82,460277,2019-07-07,2019-07-07,1
83,460278,2018-08-18,2018-08-18,1
84,460279,2018-08-17,2018-08-17,1
85,460280,2017-08-25,2017-08-25,1
86,460281,2018-07-30,2018-07-30,1
87,460282,2017-08-30,2017-08-30,1
88,460283,2017-08-15,2017-08-15,1
89,460284,2019-07-04,2019-07-04,1
90,460285,2017-08-11,2017-08-11,1
91,460286,2018-07-23,2018-07-23,1
92,460287,2019-08-19,2019-08-19,1
93,460288,2019-07-20,2019-07-20,1
94,460289,2018-07-13,2018-07-13,1
95,460290,2019-08-22,2019-08-22,1
96,460291,2019-07-18,2019-07-18,1
97,460292,2019-07-13,2019-07-13,1
98,460294,2017-08-18,2017-08-18,1
99,460295,2017-08-04,2017-08-04,1
100,460296,2019-07-07,2019-07-07,1
101,460297,2019-08-16,2019-08-16,1
102,460298,2018-07-29,2018-07-29,1
103,460299,2017-07-22,2017-07-22,1
104,460300,2017-07-16,2017-07-16,1
105,460301,2019-08-18,2019-08-18,1
106,460302,2017-08-11,2017-08-11,1
107,460303,2019-07-09,2019-07-09,1
108,460304,2018-07-20,2018-07-20,1
109,460305,2019-08-12,2019-08-12,1
110,460306,2019-07-23,2019-07-23,1
111,460307,2018-07-26,2018-07-26,1
112,460308,2017-07-17,2017-07-17,1
113,460309,2019-07-21,2019-07-21,1
114,460310,2017-08-06,2017-08-06,1
115,460311,2018-08-18,2018-08-18,1
116,460312,2017-07-11,2017-07-11,1
117,460314,2017-09-11,2017-09-11,1
118,460315,2019-08-13,2019-08-13,1
119,460316,2017-07-15,2017-07-15,1
120,460317,2017-08-30,2017-08-30,1
121,460318,2018-07-02,2018-07-02,1
122,460319,2019-06-30,2019-06-30,1
123,460320,2017-08-26,2017-08-26,1
124,460321,2018-08-10,2018-08-10,1
125,460322,2017-08-12,2017-08-12,1
126,460323,2017-08-20,2017-08-20,1
127,460324,2018-07-22,2018-07-22,1
128,460325,2019-07-15,2019-07-15,1
129,460326,2019-08-24,2019-08-24,1
130,460327,2019-08-09,2019-08-09,1
131,460328,2018-08-12,2018-08-12,1
132,460329,2018-07-02,2018-07-02,1
133,460330,2019-07-17,2019-07-17,1
134,460331,2019-07-26,2019-07-26,1
135,460332,2017-09-06,2017-09-06,1
136,460333,2017-08-19,2017-08-19,1
137,460334,2017-09-04,2017-09-04,1
138,460335,2017-08-19,2017-08-19,1
139,460336,2019-08-11,2019-08-11,1
140,460337,2018-08-23,2018-08-23,1
141,460338,2019-07-24,2019-07-24,1
142,460339,2019-08-02,2019-08-02,1
143,460340,2019-07-12,2019-07-12,1
144,460341,2017-08-14,2017-08-14,1
145,460342,2018-08-13,2018-08-13,1
146,460343,2017-08-20,2017-08-20,1
147,460344,2018-07-12,2018-07-12,1
148,460345,2018-07-28,2018-07-28,1
149,460346,2018-08-14,2018-08-14,1
150,460347,2018-08-24,2018-08-24,1
151,460348,2018-07-17,2018-07-17,1
152,460349,2019-07-23,2019-07-23,1
153,460350,2019-07-28,2019-07-28,1
154,460351,2018-07-07,2018-07-07,1
155,460352,2017-08-06,2017-08-06,1
156,460353,2018-08-21,2018-08-21,1
157,460354,2019-07-12,2019-07-12,1
158,460355,2018-08-03,2018-08-03,1
159,460356,2018-07-07,2018-07-07,1
160,460357,2019-08-07,2019-08-07,1
161,460358,2019-07-25,2019-07-25,1
162,460359,2019-08-20,2019-08-20,1
163,460360,2019-07-22,2019-07-22,1
164,460361,2017-07-10,2017-07-10,1
165,460362,2017-07-27,2017-07-27,1
166,460363,2018-08-16,2018-08-16,1
167,460364,2017-07-20,2017-07-20,1
168,460365,2019-07-18,2019-07-18,1
169,460366,2019-08-06,2019-08-06,1
170,460367,2017-07-25,2017-07-25,1
171,460368,2019-08-24,2019-08-24,1
172,460369,2017-08-21,2017-08-21,1
173,460370,2017-07-17,2017-07-17,1
174,460371,2019-08-16,2019-08-16,1
175,460372,2017-07-11,2017-07-11,1
176,460373,2019-07-13,2019-07-13,1
177,460374,2018-07-20,2018-07-20,1
178,460375,2017-08-28,2017-08-28,1
179,460376,2019-07-21,2019-07-21,1
180,460377,2017-08-29,2017-08-29,1
181,460378,2019-07-01,2019-07-01,1
182,460379,2018-08-09,2018-08-09,1
183,460380,2019-07-26,2019-07-26,1
184,460382,2019-08-13,2019-08-13,1
185,460383,2019-08-09,2019-08-09,1
186,460384,2018-08-14,2018-08-14,1
187,460385,2017-08-15,2017-08-15,1
188,460386,2018-07-22,2018-07-22,1
189,460387,2017-07-28,2017-07-28,1
190,460388,2019-07-09,2019-07-09,1
191,460389,2019-08-06,2019-08-06,1
192,460390,2017-07-30,2017-07-30,1
193,460391,2018-07-20,2018-07-20,1
194,460392,2018-08-26,2018-08-26,1
195,460393,2018-07-07,2018-07-07,1
196,460394,2018-08-21,2018-08-21,1
197,460395,2019-07-06,2019-07-06,1
198,460396,2019-08-23,2019-08-23,1
199,460397,2019-07-03,2019-07-03,1
200,460398,2018-07-06,2018-07-06,1
201,460400,2019-08-09,2019-08-09,1
202,460401,2019-07-29,2019-07-29,1
203,460402,2018-08-24,2018-08-24,1
204,460403,2017-07-25,2017-07-25,1
205,460404,2017-07-30,2017-07-30,1
206,460405,2017-07-31,2017-07-31,1
207,460406,2018-07-17,2018-07-17,1
208,460407,2018-07-10,2018-07-10,1
209,460408,2019-08-12,2019-08-12,1
210,460409,2017-08-30,2017-08-30,1
211,460410,2017-07-24,2017-07-24,1
212,460411,2018-08-04,2018-08-04,1
213,460412,2017-08-26,2017-08-26,1
214,460413,2017-08-04,2017-08-04,1
215,460414,2018-07-31,2018-07-31,1
216,460415,2018-07-29,2018-07-29,1
217,460416,2019-07-01,2019-07-01,1
218,460417,2017-08-14,2017-08-14,1
219,460418,2017-08-16,2017-08-16,1
220,460419,2019-07-15,2019-07-15,1
221,460420,2017-07-27,2017-07-27,1
222,460421,2018-08-14,2018-08-14,1
223,460422,2017-08-03,2017-08-03,1
224,460423,2019-07-13,2019-07-13,1
225,460424,2017-07-24,2017-07-24,1
226,460425,2018-08-03,2018-08-03,1
227,460426,2018-08-18,2018-08-18,1
228,460427,2017-07-30,2017-07-30,1
229,460428,2018-07-23,2018-07-23,1
230,460429,2019-07-16,2019-07-16,1
231,460430,2017-07-17,2017-07-17,1
232,460431,2019-08-02,2019-08-02,1
233,460432,2017-07-11,2017-07-11,1
234,460433,2019-08-12,2019-08-12,1
235,460434,2017-08-08,2017-08-08,1
236,460435,2019-08-13,2019-08-13,1
237,460436,2017-07-14,2017-07-14,1
238,460437,2017-08-29,2017-08-29,1
239,460438,2018-07-24,2018-07-24,1
240,460439,2019-08-19,2019-08-19,1
241,460440,2017-08-14,2017-08-14,1
242,460441,2019-07-31,2019-07-31,1
243,460442,2019-07-14,2019-07-14,1
244,460443,2017-08-18,2017-08-18,1
245,460444,2017-07-12,2017-07-12,1
246,460445,2019-08-19,2019-08-19,1
247,460446,2018-07-07,2018-07-07,1
248,460447,2019-08-17,2019-08-17,1
249,460448,2018-07-10,2018-07-10,1
250,460449,2018-07-27,2018-07-27,1
251,460450,2018-08-08,2018-08-08,1
252,460451,2017-07-31,2017-07-31,1
253,460452,2018-07-08,2018-07-08,1
254,460453,2019-07-04,2019-07-04,1
255,460454,2017-07-18,2017-07-18,1
256,460455,2017-07-27,2017-07-27,1
257,460456,2019-07-05,2019-07-05,1
258,460457,2018-07-08,2018-07-08,1
259,460458,2017-08-07,2017-08-07,1
260,460459,2017-08-11,2017-08-11,1
261,460460,2017-08-21,2017-08-21,1
262,460461,2019-08-11,2019-08-11,1
263,460462,2017-08-26,2017-08-26,1
264,460463,2018-08-28,2018-08-28,1
265,460464,2019-08-03,2019-08-03,1
266,460465,2017-07-21,2017-07-21,1
267,460466,2019-08-12,2019-08-12,1
268,460467,2018-08-11,2018-08-11,1
269,460468,2019-08-13,2019-08-13,1
270,460469,2018-07-24,2018-07-24,1
271,460470,2019-08-26,2019-08-26,1
272,460471,2018-08-21,2018-08-21,1
273,460472,2019-08-21,2019-08-21,1
274,460473,2018-07-09,2018-07-09,1
275,460474,2017-07-20,2017-07-20,1
276,460475,2017-07-20,2017-07-20,1
277,460476,2018-08-02,2018-08-02,1
278,460477,2017-08-24,2017-08-24,1
279,460478,2019-08-01,2019-08-01,1
280,460479,2019-08-01,2019-08-01,1
281,460480,2019-07-22,2019-07-22,1
282,460481,2017-08-03,2017-08-03,1
283,460482,2017-08-12,2017-08-12,1
284,460483,2017-08-01,2017-08-01,1
285,460484,2018-07-16,2018-07-16,1
286,460485,2018-08-03,2018-08-03,1
287,460486,2017-08-15,2017-08-15,1
288,460487,2018-08-12,2018-08-12,1
289,460488,2019-08-04,2019-08-04,1
290,460489,2018-08-24,2018-08-24,1
291,460490,2017-07-24,2017-07-24,1
292,460491,2019-08-09,2019-08-09,1
293,460492,2017-07-17,2017-07-17,1
294,460493,2017-07-22,2017-07-22,1
295,460494,2018-07-16,2018-07-16,1
296,460495,2017-09-13,2017-09-13,1
297,460496,2018-07-10,2018-07-10,1
298,460497,2018-07-22,2018-07-22,1
299,460498,2017-07-20,2017-07-20,1
300,460499,2018-07-23,2018-07-23,1
301,460500,2017-07-10,2017-07-10,1
302,460501,2019-07-02,2019-07-02,1
303,460502,2019-07-21,2019-07-21,1
304,460503,2017-08-31,2017-08-31,1
305,460504,2018-07-26,2018-07-26,1
306,460505,2018-07-29,2018-07-29,1
307,460506,2019-08-18,2019-08-18,1
308,460507,2017-07-28,2017-07-28,1
309,460508,2018-07-03,2018-07-03,1
310,460509,2018-07-05,2018-07-05,1
311,460510,2019-07-04,2019-07-04,1
312,460511,2018-08-05,2018-08-05,1
