,Station_ID,Start,End,Num_Days
0,00BR01BT0021,2019-06-25,2022-10-20,8
1,00BR01BT0022,2019-06-25,2022-10-20,7
2,00BR01BT0023,2019-06-25,2022-10-20,8
3,00BR01BT0024,2019-06-25,2022-10-20,8
4,00BR01BT0025,2019-06-25,2022-10-20,8
5,00BR01BT0026,2019-06-25,2022-10-20,8
6,00BR01BT0027,2019-06-25,2019-09-24,4
7,00BR01BT0028,2019-06-25,2022-10-20,18
8,00BR01BT0029,2019-06-25,2022-10-20,18
9,00BR01BT0030,2019-06-25,2022-10-20,20
10,00BR01BT0031,2021-06-16,2022-10-20,10
11,01000000101,1968-08-12,1995-10-17,158
12,01000000201,1968-08-12,1995-10-17,185
13,01000000301,1969-07-03,1995-09-13,151
14,01000000401,1969-07-03,1995-10-17,154
15,01000000501,1969-07-03,1995-09-13,151
16,01000000601,1972-10-26,1995-09-13,131
17,01000000701,1977-05-27,1995-09-13,100
18,01000000801,1977-08-08,1977-09-12,2
19,01000001001,1978-05-22,1995-09-13,91
20,01000001101,1978-05-22,1995-09-13,99
21,01000001201,1985-09-16,1995-09-13,57
22,01000001301,1985-09-17,1986-10-27,6
23,01000001401,1985-09-17,1986-10-27,6
24,01000001501,1985-09-17,1986-10-27,6
25,01000001601,1985-09-18,1986-10-30,6
26,01000001701,1985-10-17,1986-06-25,2
27,01000001801,1985-10-17,1986-10-30,3
28,01000001901,1986-09-30,1986-10-29,2
29,01000002001,1986-09-30,1986-10-29,2
30,01000100102,1972-10-09,1973-06-03,12
31,01000900102,1972-10-09,1988-03-27,106
32,01001200102,1973-07-08,1988-03-27,92
33,01001400102,1985-07-27,1988-03-27,15
34,01002700102,1973-10-15,1975-06-03,30
35,01002900102,1969-04-08,1990-08-14,147
36,01002900202,1970-06-12,1982-05-25,79
37,01002900302,1969-04-08,1979-12-02,59
38,01002900402,1969-04-08,1979-12-02,52
39,01002900502,1973-02-08,1990-05-05,121
40,01002900602,1982-07-21,1990-08-14,56
41,01002900702,1987-09-30,1990-08-14,25
42,01002900802,1987-10-01,1990-08-14,17
43,01002900902,1988-09-13,1990-08-14,8
44,01005700102,1973-06-06,1994-09-27,243
45,01005700202,1986-04-29,1996-01-31,90
46,01006000102,1973-06-06,2011-09-16,1002
47,01006000202,1973-07-18,2011-09-16,896
48,01006000302,1977-02-21,1996-01-31,198
49,01006000402,1977-02-21,1996-01-31,196
50,01006000502,1977-02-21,1996-01-31,197
51,01006000602,1977-02-21,1996-01-31,197
52,01006000702,1977-04-26,1994-08-23,164
53,01006000802,1980-01-29,1995-10-25,171
54,01006000902,1983-01-25,1984-09-25,20
55,01006001002,1983-01-24,1996-01-31,136
56,01006001102,1983-01-24,1984-09-25,20
57,01006001202,1984-10-29,1995-09-27,106
58,01006700102,1973-06-06,2011-09-16,967
59,01006800102,1980-06-23,1984-09-24,49
60,01007000102,1973-06-06,1975-06-03,38
61,01007300102,1973-06-06,1975-06-03,36
62,01007400102,1974-10-22,1987-08-24,16
63,01007400202,1988-04-25,1996-01-30,72
64,01007500102,1973-06-06,1975-06-03,37
65,01007500202,1973-07-18,1978-12-05,66
66,01007800102,1988-08-22,1995-03-27,63
67,01007800202,1988-08-22,1995-03-27,64
68,01007800302,1988-08-22,1995-03-27,66
69,01008000102,1973-07-18,1975-06-04,34
70,01008100102,1973-06-06,1975-06-04,34
71,01008600102,1973-06-06,1975-06-04,35
72,01008800102,1973-06-06,1975-06-04,35
73,01009000102,1969-09-25,1984-09-24,142
74,01009000202,1973-06-06,1994-10-24,246
75,01009200102,1973-06-06,1994-10-24,247
76,01009400102,1973-06-06,1975-06-04,37
77,01009500102,1973-06-06,1975-06-04,37
78,01010000102,1973-06-06,1977-01-11,36
79,01010300102,1973-06-06,1975-06-04,36
80,01010400102,1966-08-31,1995-10-16,259
81,01010400202,1968-08-13,2020-11-20,254
82,01010500102,1966-07-22,2020-11-20,282
83,01010600102,1966-07-22,1983-03-14,191
84,01010600202,1972-11-14,2020-10-15,234
85,01010700102,1966-07-22,1982-07-20,172
86,01010700202,1968-08-12,2020-11-20,251
87,01010700302,1983-05-17,1995-10-16,79
88,01010700402,2017-04-27,2019-08-16,14
89,01010800102,1967-04-25,2020-10-15,1201
90,01010800202,1967-04-25,1996-01-09,298
91,01010800302,1968-08-12,1995-10-17,163
92,01010800402,1978-05-22,1996-01-09,191
93,01010800502,1968-08-12,1996-01-09,283
94,01010800602,2008-09-29,2020-10-15,69
95,01010900102,1967-04-25,1996-01-09,263
96,01010900202,1968-08-12,1996-01-09,273
97,01011000102,1968-08-12,1996-01-09,277
98,01011500102,1973-06-05,1975-06-02,36
99,01011600102,1973-06-05,1975-06-02,37
100,01011700102,1973-06-05,1978-12-06,66
101,0120403,1975-12-03,1989-10-25,5
102,0120405,1975-12-03,1989-10-25,2
103,0120420,2005-03-03,2008-03-26,22
104,0120780,2010-09-16,2010-09-16,1
105,0120800,1974-02-13,1983-09-26,19
106,0120802,1972-08-07,2010-09-07,44
107,0120808,1989-05-04,2010-09-08,39
108,0120811,1992-08-10,1992-08-10,1
109,0120812,1991-08-06,1991-08-06,1
110,0120813,1992-08-10,1992-08-10,1
111,0122380,1989-05-10,2005-05-30,15
112,0122384,1985-03-07,1990-08-22,14
