,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
3657,157813292,00BR01BT0021,Bear Creek,2019-06-25,12:48:00,2019-06-25,Unfiltered,0.06,mg/L
3654,157784953,00BR01BT0021,Bear Creek,2019-07-25,12:06:00,2019-07-25,Unfiltered,0.03,mg/L
163527,313234176,00BR01BT0021,Bear Creek,2019-08-21,12:09:00,2019-08-21,Unfiltered,0.3,mg/L
3648,157745669,00BR01BT0021,Bear Creek,2019-09-24,12:24:00,2019-09-24,Unfiltered,0.16,mg/L
3637,157683370,00BR01BT0021,Bear Creek,2019-10-22,12:03:00,2019-10-22,Unfiltered,0.1,mg/L
163508,313188307,00BR01BT0022,Aboujagane River,2019-06-25,13:05:00,2019-06-25,Unfiltered,0.09,mg/L
163532,313240673,00BR01BT0022,Aboujagane River,2019-07-25,12:25:00,2019-07-25,Unfiltered,0.07,mg/L
163590,313355850,00BR01BT0022,Aboujagane River,2019-08-21,12:25:00,2019-08-21,Unfiltered,0.28,mg/L
163558,313287764,00BR01BT0022,Aboujagane River,2019-09-24,12:39:00,2019-09-24,Unfiltered,0.3,mg/L
163566,313300903,00BR01BT0023,Kinnear River,2019-06-25,12:29:00,2019-06-25,Unfiltered,0.16,mg/L
163571,313313367,00BR01BT0023,Kinnear River,2019-07-25,11:48:00,2019-07-25,Unfiltered,0.03,mg/L
163588,313351930,00BR01BT0023,Kinnear River,2019-08-21,11:37:00,2019-08-21,Unfiltered,0.17,mg/L
163528,313236235,00BR01BT0023,Kinnear River,2019-09-24,12:06:00,2019-09-24,Unfiltered,0.73,mg/L
163543,313268630,00BR01BT0023,Kinnear River,2019-10-22,11:48:00,2019-10-22,Unfiltered,0.03,mg/L
163515,313198548,00BR01BT0024,Kouchibouguac River,2019-06-25,12:11:00,2019-06-25,Unfiltered,0.23,mg/L
163596,313364311,00BR01BT0024,Kouchibouguac River,2019-07-25,11:21:00,2019-07-25,Unfiltered,0.44,mg/L
163580,313331016,00BR01BT0024,Kouchibouguac River,2019-08-21,11:21:00,2019-08-21,Unfiltered,0.17,mg/L
163587,313350116,00BR01BT0024,Kouchibouguac River,2019-09-24,11:50:00,2019-09-24,Unfiltered,0.23,mg/L
163573,313315384,00BR01BT0024,Kouchibouguac River,2019-10-22,11:38:00,2019-10-22,Unfiltered,0.1,mg/L
3658,157817463,00BR01BT0025,Tedish River,2019-06-25,11:19:00,2019-06-25,Unfiltered,0.29,mg/L
3650,157753136,00BR01BT0025,Tedish River,2019-07-25,10:43:00,2019-07-25,Unfiltered,0.13,mg/L
3645,157729300,00BR01BT0025,Tedish River,2019-08-21,11:10:00,2019-08-21,Unfiltered,0.24,mg/L
163595,313363111,00BR01BT0025,Tedish River,2019-09-24,11:26:00,2019-09-24,Unfiltered,0.12,mg/L
3643,157709237,00BR01BT0025,Tedish River,2019-10-22,10:57:00,2019-10-22,Unfiltered,0.02,mg/L
3630,157612082,00BR01BT0026,Copp Brook,2019-06-25,09:01:00,2019-06-25,Unfiltered,0.22,mg/L
3659,157819215,00BR01BT0026,Copp Brook,2019-07-25,08:50:00,2019-07-25,Unfiltered,0.09,mg/L
3641,157694447,00BR01BT0026,Copp Brook,2019-08-21,09:27:00,2019-08-21,Unfiltered,0.17,mg/L
163578,313326066,00BR01BT0026,Copp Brook,2019-09-24,09:47:00,2019-09-24,Unfiltered,0.13,mg/L
3652,157775645,00BR01BT0026,Copp Brook,2019-10-22,09:34:00,2019-10-22,Unfiltered,0.02,mg/L
3656,157801832,00BR01BT0027,Niles Lake,2019-06-25,09:26:00,2019-06-25,Unfiltered,0.05,mg/L
3647,157740806,00BR01BT0027,Niles Lake,2019-07-25,09:13:00,2019-07-25,Unfiltered,0.1,mg/L
3649,157747904,00BR01BT0027,Niles Lake,2019-08-21,10:00:00,2019-08-21,Unfiltered,0.41,mg/L
163575,313318204,00BR01BT0027,Niles Lake,2019-09-24,10:21:00,2019-09-24,Unfiltered,0.46,mg/L
3635,157670607,00BR01BT0028,Square Lake,2019-06-25,10:15:00,2019-06-25,Unfiltered,0.17,mg/L
3653,157777857,00BR01BT0028,Square Lake,2019-07-25,09:46:00,2019-07-25,Unfiltered,0.11,mg/L
3644,157715060,00BR01BT0028,Square Lake,2019-08-21,10:25:00,2019-08-21,Unfiltered,0.18,mg/L
163563,313294679,00BR01BT0028,Square Lake,2019-09-24,10:38:00,2019-09-24,Unfiltered,0.1,mg/L
163557,313286522,00BR01BT0029,Poucette lake,2019-06-25,10:58:00,2019-06-25,Unfiltered,0.07,mg/L
163579,313330211,00BR01BT0029,Poucette lake,2019-07-25,10:13:00,2019-07-25,Unfiltered,0.1,mg/L
163539,313262023,00BR01BT0029,Poucette lake,2019-08-21,10:51:00,2019-08-21,Unfiltered,0.23,mg/L
163577,313325842,00BR01BT0029,Poucette lake,2019-09-24,11:03:00,2019-09-24,Unfiltered,0.09,mg/L
163599,313371374,00BR01BT0029,Poucette lake,2019-10-22,10:37:00,2019-10-22,Unfiltered,0.02,mg/L
163542,313267860,00BR01BT0030,Aboujagane Lake,2019-06-25,13:41:00,2019-06-25,Unfiltered,0.12,mg/L
163524,313227284,00BR01BT0030,Aboujagane Lake,2019-07-25,12:42:00,2019-07-25,Unfiltered,0.2,mg/L
163553,313283825,00BR01BT0030,Aboujagane Lake,2019-08-21,12:44:00,2019-08-21,Unfiltered,0.38,mg/L
163555,313285690,00BR01BT0030,Aboujagane Lake,2019-09-24,12:55:00,2019-09-24,Unfiltered,0.15,mg/L
163495,313164025,00BR01BT0030,Aboujagane Lake,2019-10-22,12:33:00,2019-10-22,Unfiltered,0.06,mg/L
222020,321251958,01000000101,Lake Superior: Inside Eastern Gap Thunder Bay,1978-10-23,01:01:00,,Filtered,0.001,mg/L
254617,322116366,01000001001,Lake Superior: 2.5 Kilometers East Of Mckellar Island,1988-08-24,01:01:00,,Filtered,0.001,mg/L
319138,323830439,01002900102,Michipicoten River: Highway 17 South Of Wawa,1988-03-27,01:02:00,,Filtered,0.0015,mg/L
399191,325934882,01002900502,Magpie River: At Bridge Downstream From Mission Falls,1988-03-27,01:02:00,,Filtered,0.0035,mg/L
267815,322465009,01002900602,Magpie River: Upstream Of Wawa Lagoons,1988-03-27,01:02:00,,Filtered,0.0025,mg/L
236315,321632895,01006000102,Pic River: At Highway 17,1976-09-21,01:02:00,,Filtered,0.002,mg/L
305224,323458702,01006000102,Pic River: At Highway 17,1980-04-28,01:02:00,,Filtered,0.03,mg/L
182971,320219387,01006000102,Pic River: At Highway 17,1980-04-29,01:02:00,,Filtered,0.04,mg/L
214729,321059441,01006000102,Pic River: At Highway 17,1980-05-05,01:02:00,,Filtered,0.03,mg/L
196945,320587435,01006000102,Pic River: At Highway 17,1981-05-05,01:02:00,,Filtered,0.02,mg/L
365658,325059516,01006000102,Pic River: At Highway 17,1981-09-28,01:02:00,,Filtered,0.002,mg/L
182456,320206645,01006000102,Pic River: At Highway 17,1981-10-26,01:02:00,,Filtered,0.005,mg/L
268439,322480741,01006000102,Pic River: At Highway 17,1983-09-27,01:02:00,,Filtered,0.007,mg/L
242330,321789924,01006000102,Pic River: At Highway 17,1984-05-01,01:02:00,,Filtered,0.02,mg/L
295688,323206964,01006000102,Pic River: At Highway 17,1985-06-24,01:02:00,,Filtered,0.009,mg/L
368230,325125697,01006000102,Pic River: At Highway 17,1986-05-08,01:02:00,,Filtered,0.01,mg/L
200576,320686851,01006000102,Pic River: At Highway 17,1986-07-29,01:02:00,,Filtered,0.001,mg/L
174517,319997628,01006000102,Pic River: At Highway 17,1988-05-25,01:02:00,,Filtered,0.01,mg/L
206639,320844058,01006000102,Pic River: At Highway 17,1988-06-28,01:02:00,,Filtered,0.01,mg/L
275344,322666175,01006000102,Pic River: At Highway 17,1988-07-26,01:02:00,,Filtered,0.004,mg/L
275163,322661466,01006000102,Pic River: At Highway 17,1989-05-09,01:02:00,,Filtered,0.03,mg/L
314951,323719678,01006000102,Pic River: At Highway 17,1989-05-09,01:02:00,,Filtered,0.04,mg/L
359192,324884692,01006000102,Pic River: At Highway 17,1989-07-17,01:02:00,,Filtered,0.001,mg/L
394057,325801290,01006000102,Pic River: At Highway 17,1990-05-01,01:02:00,,Filtered,0.01,mg/L
379691,325424575,01006000102,Pic River: At Highway 17,1991-05-01,01:02:00,,Filtered,0.04,mg/L
223230,321283224,01006000102,Pic River: At Highway 17,1992-05-06,01:02:00,,Filtered,0.02,mg/L
164630,319737335,01006000102,Pic River: At Highway 17,1992-05-27,01:02:00,,Filtered,0.01,mg/L
226136,321361940,01006000102,Pic River: At Highway 17,1994-06-29,01:02:00,,Filtered,0.007,mg/L
136842,209788373,01006000202,"Black River: Highway 17,  W Of Hemlo",1980-04-28,01:02:00,,Filtered,0.009,mg/L
340904,324406997,01006000202,"Black River: Highway 17,  W Of Hemlo",1980-04-29,01:02:00,,Filtered,0.009,mg/L
237197,321656079,01006000202,"Black River: Highway 17,  W Of Hemlo",1980-05-05,01:02:00,,Filtered,0.008,mg/L
