,Station_ID,Start,End,Num_Days
0,157,2014-09-07,2014-09-07,1
1,1237,2010-04-01,2023-10-03,65
2,1244,2009-05-01,2023-10-04,69
3,1248,2014-07-16,2023-10-02,50
4,1251,2009-05-01,2023-10-03,75
5,1256,2009-05-01,2023-10-02,60
6,1258,2009-05-01,2023-10-03,78
7,1265,2009-05-01,2023-10-02,87
8,1266,2009-05-01,2023-10-02,74
9,1272,2009-06-01,2023-10-03,72
10,1277,2009-05-01,2023-10-02,77
11,1278,2009-05-01,2023-10-02,75
12,1286,2009-05-01,2023-10-04,64
13,2409,2000-01-11,2019-07-22,236
14,2410,2000-01-13,2019-07-30,658
15,2411,2003-04-15,2019-07-09,146
16,2412,2000-09-06,2018-09-05,18
17,2413,2000-05-25,2019-07-24,134
18,2414,2000-03-07,2019-07-22,224
19,2516,2014-07-18,2014-08-20,5
20,2584,1983-08-30,1983-08-30,1
21,2586,1983-08-23,1983-08-23,1
22,2588,1983-06-20,1983-06-20,1
23,2589,2007-10-02,2007-10-02,1
24,2592,2002-09-16,2002-09-16,1
25,2593,1984-06-19,1984-06-19,1
26,2594,1984-08-01,1984-08-01,1
27,2596,1984-06-11,1984-06-11,1
28,2599,1989-05-29,1989-05-29,1
29,2601,1988-07-27,1988-07-27,1
30,2602,1983-09-15,1983-09-15,1
31,2605,2009-09-09,2009-09-09,1
32,2606,1983-08-17,1983-08-17,1
33,2607,1990-08-23,1990-08-23,1
34,2608,1989-05-31,1989-05-31,1
35,2609,2003-08-14,2003-08-14,1
36,2610,1989-05-29,1989-05-29,1
37,2611,1985-08-14,1985-08-14,1
38,2613,1989-08-24,1989-08-24,1
39,2619,2016-08-18,2016-08-18,1
40,2623,1984-08-15,1984-08-16,2
41,2624,1989-06-05,1989-06-05,1
42,2626,1984-06-19,1984-06-19,1
43,2628,1995-09-17,1995-09-17,1
44,2629,1982-06-29,1995-09-17,2
45,2630,1988-07-28,1988-07-28,1
46,2633,1983-08-04,1983-08-04,1
47,2634,1989-08-07,1989-08-07,1
48,2635,1985-07-10,1985-07-10,1
49,2637,2007-07-25,2007-07-25,1
50,2638,1989-08-03,1989-08-03,1
51,2640,1983-08-11,1984-12-07,2
52,2641,1984-08-28,1985-09-16,4
53,2642,1982-07-14,1982-07-14,1
54,2643,1984-07-20,2007-11-22,2
55,2644,1984-07-23,1984-07-23,1
56,2645,1984-07-18,1984-07-18,1
57,2647,1996-08-22,1996-08-22,1
58,2651,1982-07-15,1982-07-15,1
59,2653,1988-08-25,1989-06-07,2
60,2655,2000-08-29,2000-08-29,1
61,2656,1988-08-05,1988-08-05,1
62,2657,1983-09-14,1983-09-14,1
