,Station_ID,P_Start,P_End,Num_Days
0,16713,2018-03-13,2018-03-13,1
1,17325,2018-04-24,2018-04-24,1
2,17325,2018-04-26,2018-04-26,1
3,17325,2018-04-30,2018-04-30,1
4,17325,2018-05-02,2018-05-02,1
5,17325,2018-05-07,2018-05-07,1
6,17325,2018-05-30,2018-05-30,1
7,17325,2018-07-04,2018-07-04,1
8,17326,2018-04-24,2018-04-24,1
9,17326,2018-04-26,2018-04-26,1
10,17326,2018-04-30,2018-04-30,1
11,17326,2018-05-02,2018-05-02,1
12,17326,2018-05-07,2018-05-07,1
13,17326,2018-05-30,2018-05-30,1
14,17326,2018-06-21,2018-06-21,1
15,17326,2018-07-04,2018-07-04,1
16,17327,2018-04-24,2018-04-24,1
17,17327,2018-04-26,2018-04-26,1
18,17327,2018-04-30,2018-04-30,1
19,17327,2018-05-02,2018-05-02,1
20,17327,2018-05-07,2018-05-07,1
21,17327,2018-05-30,2018-05-30,1
22,17327,2018-07-04,2018-07-04,1
23,17328,2018-06-21,2018-06-21,1
24,17328,2018-08-16,2018-08-16,1
25,17328,2018-09-27,2018-09-27,1
26,17329,2018-04-24,2018-04-24,1
27,17329,2018-04-26,2018-04-26,1
28,17329,2018-04-30,2018-04-30,1
29,17329,2018-05-02,2018-05-02,1
30,17329,2018-05-07,2018-05-07,1
31,17329,2018-05-30,2018-05-30,1
32,17329,2018-07-04,2018-07-04,1
33,17330,2018-06-21,2018-06-21,1
34,17330,2018-08-16,2018-08-16,1
35,17330,2018-09-27,2018-09-27,1
36,17331,2018-06-21,2018-06-21,1
37,17331,2018-08-16,2018-08-16,1
38,17331,2018-09-27,2018-09-27,1
39,17332,2018-04-24,2018-04-24,1
40,17332,2018-04-26,2018-04-26,1
41,17332,2018-04-30,2018-04-30,1
42,17332,2018-05-02,2018-05-02,1
43,17332,2018-05-07,2018-05-07,1
44,17332,2018-05-30,2018-05-30,1
45,17332,2018-07-04,2018-07-04,1
46,17333,2018-04-24,2018-04-24,1
47,17333,2018-04-26,2018-04-26,1
48,17333,2018-04-30,2018-04-30,1
49,17333,2018-05-02,2018-05-02,1
50,17333,2018-05-07,2018-05-07,1
51,17333,2018-05-30,2018-05-30,1
52,48370,2011-01-11,2011-01-11,1
53,48370,2012-04-13,2012-04-13,1
54,48370,2012-07-10,2012-07-10,1
55,48370,2012-10-09,2012-10-09,1
56,48370,2013-04-29,2013-04-29,1
57,48370,2018-10-10,2018-10-10,1
58,48370,2019-01-23,2019-01-23,1
59,48370,2019-05-14,2019-05-14,1
60,48370,2019-07-15,2019-07-15,1
61,48370,2019-10-01,2019-10-01,1
62,48371,2011-01-12,2011-01-12,1
63,48372,2011-01-11,2011-01-11,1
64,48372,2012-04-11,2012-04-11,1
65,48372,2012-07-10,2012-07-10,1
66,48372,2013-04-29,2013-04-29,1
67,48372,2018-10-09,2018-10-09,1
68,48372,2019-01-22,2019-01-22,1
69,48372,2019-05-14,2019-05-14,1
70,48372,2019-07-15,2019-07-15,1
71,48372,2019-10-01,2019-10-01,1
72,48374,2011-10-11,2011-10-11,1
73,48374,2012-01-09,2012-01-09,1
74,48376,2011-01-12,2011-01-12,1
75,48381,2011-01-11,2011-01-11,1
76,48381,2012-07-10,2012-07-10,1
77,48381,2013-04-29,2013-04-29,1
78,48381,2018-10-09,2018-10-09,1
79,48381,2019-01-22,2019-01-22,1
80,48381,2019-05-14,2019-05-14,1
81,48381,2019-07-15,2019-07-15,1
82,48381,2019-10-01,2019-10-01,1
83,48383,2011-01-12,2011-01-12,1
84,48383,2011-10-12,2011-10-12,1
85,48387,2011-10-11,2011-10-11,1
