,Station_ID,Start,End,Num_Days
0,FLD,2011-10-11,2011-10-11,1
1,FR,2011-01-11,2019-10-01,8
2,GC,2011-01-12,2011-01-12,1
3,IR,2011-01-11,2019-10-01,9
4,L-K1,2018-06-21,2018-09-27,3
5,L-K2,2018-06-21,2018-09-27,3
6,L-K3,2018-06-21,2018-09-27,3
7,NC,2011-01-12,2011-10-12,2
8,S-K1,2018-04-24,2018-07-04,7
9,S-K2,2018-04-24,2018-07-04,7
10,S-K3,2018-04-24,2018-05-30,6
11,S-K4,2018-04-24,2018-07-04,7
12,S-K5,2018-04-24,2018-07-04,7
13,S-K6,2018-04-24,2018-07-04,8
14,S3,2018-03-13,2018-03-13,1
15,WBC,2011-10-11,2012-01-09,2
16,WaC,2011-01-12,2011-01-12,1
17,WiC,2011-01-11,2019-10-01,10
