,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
0,158496763,S3,Shoal Lake 3,2018-03-13,10:50:00,,Unfiltered,0.016,mg/L
5,163611073,NC,Netley Creek,2011-01-12,,,Unfiltered,0.0508,mg/L
7,163611955,IR,Icelandic River,2019-10-01,,,Unfiltered,0.0071,mg/L
9,163612352,WaC,Wavey Creek,2011-01-12,,,Unfiltered,0.0232,mg/L
10,163612410,FR,Fisher River,2018-10-09,,,Unfiltered,0.0125,mg/L
12,163614490,IR,Icelandic River,2018-10-09,,,Unfiltered,0.0093,mg/L
14,163618411,NC,Netley Creek,2011-10-12,,,Unfiltered,0.119,mg/L
18,163620860,FR,Fisher River,2019-05-14,,,Unfiltered,0.0278,mg/L
19,163621168,FR,Fisher River,2012-07-10,,,Unfiltered,0.028,mg/L
20,163621631,IR,Icelandic River,2011-01-11,,,Unfiltered,0.0176,mg/L
21,163622233,WiC,Willow Creek,2018-10-10,,,Unfiltered,0.0209,mg/L
22,163622398,FR,Fisher River,2013-04-29,,,Unfiltered,0.072,mg/L
23,163622626,FLD,Fish Lake Drain,2011-10-11,,,Unfiltered,0.015,mg/L
24,163623183,IR,Icelandic River,2019-01-22,,,Unfiltered,0.0095,mg/L
25,163624425,WiC,Willow Creek,2013-04-29,,,Unfiltered,0.047,mg/L
26,163624743,WiC,Willow Creek,2019-05-14,,,Unfiltered,0.0366,mg/L
28,163626261,IR,Icelandic River,2012-04-11,,,Unfiltered,0.016,mg/L
29,163627686,FR,Fisher River,2019-10-01,,,Unfiltered,0.0069,mg/L
30,163627726,WiC,Willow Creek,2019-07-15,,,Unfiltered,0.0097,mg/L
31,163628775,WiC,Willow Creek,2012-10-09,,,Unfiltered,0.022,mg/L
32,163630020,WiC,Willow Creek,2019-01-23,,,Unfiltered,0.14,mg/L
35,163632354,WiC,Willow Creek,2011-01-11,,,Unfiltered,0.0402,mg/L
37,163633375,IR,Icelandic River,2012-07-10,,,Unfiltered,0.017,mg/L
38,163634415,IR,Icelandic River,2013-04-29,,,Unfiltered,0.042,mg/L
39,163636258,FR,Fisher River,2011-01-11,,,Unfiltered,0.0208,mg/L
40,163636596,GC,Grassmere Creek,2011-01-12,,,Unfiltered,0.0276,mg/L
41,163637194,WiC,Willow Creek,2019-10-01,,,Unfiltered,0.0114,mg/L
42,163639190,FR,Fisher River,2019-07-15,,,Unfiltered,0.0136,mg/L
44,163641831,IR,Icelandic River,2019-07-15,,,Unfiltered,0.0194,mg/L
45,163641849,WBC,Washow Bay Creek,2011-10-11,,,Unfiltered,0.056,mg/L
46,163641898,WiC,Willow Creek,2012-07-10,,,Unfiltered,0.035,mg/L
47,163643631,WBC,Washow Bay Creek,2012-01-09,,,Unfiltered,0.022,mg/L
48,163643947,FR,Fisher River,2019-01-22,,,Unfiltered,0.0186,mg/L
51,163646011,IR,Icelandic River,2019-05-14,,,Unfiltered,0.0271,mg/L
52,163647069,WiC,Willow Creek,2012-04-13,,,Unfiltered,0.022,mg/L
53,182404207,S-K1,KERR 1,2018-05-30,13:29:00,,Unfiltered,0.0195,mg/L
54,182404247,L-K2,K2,2018-06-21,12:22:00,,Unfiltered,0.255,mg/L
56,182404260,S-K4,KERR 4,2018-04-26,00:00:00,,Unfiltered,0.068,mg/L
57,182404277,S-K6,KERR 6,2018-04-26,00:00:00,,Unfiltered,0.131,mg/L
58,182404284,L-K3,K3,2018-06-21,11:14:00,,Unfiltered,0.0417,mg/L
59,182404293,S-K4,KERR 4,2018-05-07,12:15:00,,Unfiltered,0.0109,mg/L
60,182404315,S-K4,KERR 4,2018-05-30,16:07:00,,Unfiltered,0.0112,mg/L
61,182404342,S-K6,KERR 6,2018-05-07,11:24:00,,Unfiltered,0.0666,mg/L
62,182404366,S-K5,KERR 5,2018-04-26,00:00:00,,Unfiltered,0.185,mg/L
63,182404367,S-K2,KERR 2,2018-04-26,00:00:00,,Unfiltered,0.0222,mg/L
64,182404380,S-K2,KERR 2,2018-07-04,10:54:00,,Unfiltered,0.0967,mg/L
65,182404409,L-K1,K1,2018-08-16,11:12:00,,Unfiltered,0.0931,mg/L
66,182404414,L-K2,K2,2018-09-27,00:00:00,,Unfiltered,0.0972,mg/L
67,182404419,S-K4,KERR 4,2018-05-02,11:27:00,,Unfiltered,0.0179,mg/L
68,182404420,S-K3,KERR 3,2018-04-30,13:04:00,,Unfiltered,0.0121,mg/L
69,182404425,L-K2,K2,2018-09-27,00:00:00,,Unfiltered,0.128,mg/L
70,182404441,L-K3,K3,2018-09-27,00:00:00,,Unfiltered,0.0738,mg/L
71,182404454,L-K1,K1,2018-09-27,00:00:00,,Unfiltered,0.0843,mg/L
72,182404475,L-K1,K1,2018-06-21,10:20:00,,Unfiltered,0.0492,mg/L
73,182404502,S-K5,KERR 5,2018-05-07,11:08:00,,Unfiltered,0.0579,mg/L
74,182404515,S-K2,KERR 2,2018-04-24,16:31:00,,Unfiltered,0.0363,mg/L
75,182404519,S-K4,KERR 4,2018-07-04,13:05:00,,Unfiltered,0.0111,mg/L
76,182404544,S-K6,KERR 6,2018-06-21,13:27:00,,Unfiltered,0.0543,mg/L
77,182404554,S-K2,KERR 2,2018-05-30,14:06:00,,Unfiltered,0.0274,mg/L
78,182404576,S-K6,KERR 6,2018-07-04,12:22:00,,Unfiltered,0.0169,mg/L
79,182404581,S-K1,KERR 1,2018-05-07,10:37:00,,Unfiltered,0.0116,mg/L
80,182404596,S-K3,KERR 3,2018-04-26,00:00:00,,Unfiltered,0.0223,mg/L
81,182404687,L-K2,K2,2018-08-16,11:50:00,,Unfiltered,0.153,mg/L
82,182404715,S-K6,KERR 6,2018-05-30,15:04:00,,Unfiltered,0.0482,mg/L
83,182404775,S-K6,KERR 6,2018-04-24,15:20:00,,Unfiltered,0.0989,mg/L
