,Station_ID,Start,End,Num_Days
0,16713,2018-03-13,2018-03-13,1
1,17325,2018-04-24,2018-07-04,7
2,17326,2018-04-24,2018-07-04,8
3,17327,2018-04-24,2018-07-04,7
4,17328,2018-06-21,2018-09-27,3
5,17329,2018-04-24,2018-07-04,7
6,17330,2018-06-21,2018-09-27,3
7,17331,2018-06-21,2018-09-27,3
8,17332,2018-04-24,2018-07-04,7
9,17333,2018-04-24,2018-05-30,6
10,48370,2011-01-11,2019-10-01,10
11,48371,2011-01-12,2011-01-12,1
12,48372,2011-01-11,2019-10-01,9
13,48374,2011-10-11,2012-01-09,2
14,48376,2011-01-12,2011-01-12,1
15,48381,2011-01-11,2019-10-01,8
16,48383,2011-01-12,2011-10-12,2
17,48387,2011-10-11,2011-10-11,1
