,Station_ID,P_Start,P_End,Num_Days
0,2010,2004-06-18,2004-06-18,1
1,2011,2004-05-29,2004-05-29,1
2,2012,2004-06-14,2004-06-14,1
3,2013,2004-06-18,2004-06-18,1
4,2014,2004-12-08,2004-12-08,1
5,2015,2004-09-10,2004-09-10,1
6,2016,2002-06-14,2002-06-14,1
7,2016,2002-10-08,2002-10-08,1
8,2016,2002-10-18,2002-10-18,1
9,2017,2002-08-04,2002-08-04,1
10,2018,2004-08-13,2004-08-13,1
11,2019,2004-11-10,2004-11-10,1
12,2020,2004-04-06,2004-04-06,1
13,2021,2004-04-06,2004-04-06,1
14,2022,2004-09-06,2004-09-06,1
15,2023,2004-09-23,2004-09-23,1
16,2024,2004-10-06,2004-10-06,1
17,2025,2004-10-06,2004-10-06,1
18,2026,2004-09-27,2004-09-27,1
19,2027,2004-04-08,2004-04-08,1
20,2028,2002-06-22,2002-06-22,1
21,2028,2002-07-28,2002-07-28,1
22,2028,2002-10-27,2002-10-27,1
23,2029,2002-06-14,2002-06-14,1
24,2029,2002-10-08,2002-10-08,1
25,2029,2002-10-18,2002-10-18,1
26,2030,2002-01-06,2002-01-06,1
27,2030,2002-07-27,2002-07-27,1
28,2030,2002-10-28,2002-10-28,1
29,2032,2004-09-25,2004-09-25,1
30,2033,2004-06-10,2004-06-10,1
31,2034,2004-05-06,2004-05-06,1
32,2035,2004-07-24,2004-07-24,1
33,2036,2004-04-06,2004-04-06,1
34,2039,2002-01-06,2002-01-06,1
35,2039,2002-07-27,2002-07-27,1
36,2039,2002-08-21,2002-08-21,1
37,2040,2004-09-10,2004-09-10,1
38,2041,2004-09-24,2004-09-24,1
39,2042,2004-04-06,2004-04-06,1
40,2043,2004-06-13,2004-06-13,1
41,2044,2004-07-24,2004-07-24,1
42,2045,2004-03-08,2004-03-08,1
43,2046,2004-09-20,2004-09-20,1
44,2047,2004-09-24,2004-09-24,1
45,2048,2002-06-22,2002-06-22,1
46,2048,2002-07-30,2002-07-30,1
47,2048,2002-10-27,2002-10-27,1
48,2049,2002-08-15,2002-08-15,1
49,2049,2002-10-16,2002-10-16,1
50,2050,2002-10-15,2002-10-15,1
51,2051,2004-07-24,2004-07-24,1
52,2052,2004-07-30,2004-07-30,1
53,2053,2002-07-29,2002-07-29,1
54,2053,2002-08-23,2002-08-23,1
55,2053,2002-10-27,2002-10-27,1
56,2054,2002-06-15,2002-06-15,1
57,2054,2002-10-18,2002-10-18,1
58,2054,2002-11-08,2002-11-08,1
59,2055,2004-06-06,2004-06-06,1
60,2056,2002-01-08,2002-01-08,1
61,2056,2002-10-21,2002-10-21,1
62,2056,2002-12-06,2002-12-06,1
63,2057,2004-08-17,2004-08-17,1
64,2058,2004-07-24,2004-07-24,1
65,2059,2004-09-26,2004-09-26,1
66,2060,2002-06-21,2002-06-21,1
67,2060,2002-08-18,2002-08-18,1
68,2060,2002-10-21,2002-10-21,1
69,2061,2004-01-06,2004-01-06,1
70,2063,2002-05-31,2002-05-31,1
71,2063,2002-07-26,2002-07-26,1
72,2063,2002-10-26,2002-10-26,1
73,2064,2004-06-18,2004-06-18,1
74,2065,2004-12-08,2004-12-08,1
75,2066,2002-07-29,2002-07-29,1
76,2068,2004-10-08,2004-10-08,1
77,2069,2004-05-08,2004-05-08,1
78,2070,2004-09-10,2004-09-10,1
79,2071,2004-09-29,2004-09-29,1
80,2072,2004-10-06,2004-10-06,1
81,2073,2002-04-23,2002-04-23,1
82,2074,2004-06-14,2004-06-14,1
83,2075,2004-07-08,2004-07-08,1
84,2076,2004-08-10,2004-08-10,1
85,2078,2002-07-28,2002-07-28,1
86,2078,2002-10-27,2002-10-27,1
87,2079,2004-09-10,2004-09-10,1
88,2080,2004-07-26,2004-07-26,1
89,2081,2004-07-25,2004-07-25,1
90,2082,2004-09-23,2004-09-23,1
91,2083,2004-09-10,2004-09-10,1
92,2084,2004-09-20,2004-09-20,1
93,2085,2004-08-17,2004-08-17,1
94,2086,2004-06-06,2004-06-06,1
95,2087,2002-04-23,2002-04-23,1
96,2088,2002-02-06,2002-02-06,1
97,2088,2002-07-28,2002-07-28,1
98,2088,2002-10-28,2002-10-28,1
99,2089,2004-09-19,2004-09-19,1
100,2090,2002-08-15,2002-08-15,1
101,2090,2002-10-15,2002-10-15,1
102,2091,2004-05-06,2004-05-06,1
103,2092,2002-07-31,2002-07-31,1
104,2093,2004-05-08,2004-05-08,1
105,2094,2004-09-24,2004-09-24,1
106,2095,2002-07-30,2002-07-30,1
107,2095,2002-10-23,2002-10-23,1
108,2095,2002-11-06,2002-11-06,1
109,2096,2004-09-06,2004-09-06,1
110,2097,2004-10-06,2004-10-06,1
111,2098,2004-08-10,2004-08-10,1
112,2100,2004-07-29,2004-07-29,1
113,2101,2004-09-20,2004-09-20,1
114,2102,2004-10-08,2004-10-08,1
115,2103,2004-08-13,2004-08-13,1
116,2104,2002-06-13,2002-06-13,1
117,2104,2002-08-08,2002-08-08,1
118,2104,2002-10-21,2002-10-21,1
119,2105,2004-11-08,2004-11-08,1
120,2106,2004-07-25,2004-07-25,1
121,2107,2002-08-14,2002-08-14,1
122,2107,2002-10-13,2002-10-13,1
123,2108,2004-10-08,2004-10-08,1
124,2110,2002-07-31,2002-07-31,1
125,2110,2002-10-22,2002-10-22,1
126,2111,2004-09-27,2004-09-27,1
127,2112,2004-03-06,2004-03-06,1
128,2113,2004-06-15,2004-06-15,1
129,2114,2002-04-23,2002-04-23,1
130,2115,2004-11-10,2004-11-10,1
131,2116,2002-07-30,2002-07-30,1
132,2117,2004-03-08,2004-03-08,1
133,2118,2002-06-20,2002-06-20,1
134,2118,2002-10-18,2002-10-18,1
135,2118,2002-11-08,2002-11-08,1
136,2119,2002-05-30,2002-05-30,1
137,2119,2002-07-27,2002-07-27,1
138,2119,2002-10-26,2002-10-26,1
139,2121,2002-08-04,2002-08-04,1
140,2122,2004-06-10,2004-06-10,1
141,2123,2004-12-08,2004-12-08,1
142,2124,2004-09-06,2004-09-06,1
143,2125,2002-04-23,2002-04-23,1
144,2126,2002-08-15,2002-08-15,1
145,2126,2002-10-16,2002-10-16,1
146,2127,2002-02-06,2002-02-06,1
147,2127,2002-07-27,2002-07-27,1
148,2127,2002-10-28,2002-10-28,1
149,2128,2004-09-30,2004-09-30,1
150,2129,2002-06-20,2002-06-20,1
151,2129,2002-10-17,2002-10-17,1
152,2129,2002-11-08,2002-11-08,1
153,2130,2002-06-15,2002-06-15,1
154,2130,2002-10-08,2002-10-08,1
155,2130,2002-10-18,2002-10-18,1
156,2131,2004-08-17,2004-08-17,1
157,2132,2004-02-08,2004-02-08,1
158,2134,2004-09-27,2004-09-27,1
159,2135,2002-04-23,2002-04-23,1
160,2136,2004-06-20,2004-06-20,1
161,2138,2004-06-19,2004-06-19,1
162,2139,2004-11-10,2004-11-10,1
163,2140,2004-06-14,2004-06-14,1
164,2141,2002-02-06,2002-02-06,1
165,2141,2002-03-08,2002-03-08,1
166,2141,2002-04-08,2002-04-08,1
167,2141,2002-07-28,2002-07-28,1
168,2141,2002-08-24,2002-08-24,1
169,2141,2002-10-26,2002-10-26,1
170,2142,2002-06-13,2002-06-13,1
171,2142,2002-08-08,2002-08-08,1
172,2142,2002-10-20,2002-10-20,1
173,2144,2002-06-14,2002-06-14,1
174,2144,2002-09-08,2002-09-08,1
175,2144,2002-10-20,2002-10-20,1
176,2145,2004-07-24,2004-07-24,1
177,2146,2004-07-10,2004-07-10,1
178,2147,2004-05-06,2004-05-06,1
179,2148,2002-08-04,2002-08-04,1
180,2149,2004-07-28,2004-07-28,1
181,2151,2002-06-20,2002-06-20,1
182,2151,2002-10-18,2002-10-18,1
183,2151,2002-11-08,2002-11-08,1
184,2152,2004-06-14,2004-06-14,1
185,2153,2002-06-22,2002-06-22,1
186,2153,2002-07-28,2002-07-28,1
187,2154,2004-07-29,2004-07-29,1
188,2156,2002-05-31,2002-05-31,1
189,2156,2002-07-26,2002-07-26,1
190,2156,2002-08-25,2002-08-25,1
191,2156,2002-08-28,2002-08-28,1
192,2156,2002-10-26,2002-10-26,1
193,2157,2004-06-10,2004-06-10,1
194,2158,2004-09-30,2004-09-30,1
195,2159,2004-09-29,2004-09-29,1
196,2160,2002-08-16,2002-08-16,1
197,2160,2002-10-17,2002-10-17,1
198,2161,2002-07-30,2002-07-30,1
199,2161,2002-10-23,2002-10-23,1
200,2161,2002-11-06,2002-11-06,1
201,2162,2004-07-25,2004-07-25,1
202,2163,2002-01-08,2002-01-08,1
203,2163,2002-10-22,2002-10-22,1
204,2163,2002-12-06,2002-12-06,1
205,2164,2004-05-29,2004-05-29,1
206,2165,2004-07-25,2004-07-25,1
207,2166,2004-03-06,2004-03-06,1
208,2167,2004-06-15,2004-06-15,1
209,2168,2002-04-23,2002-04-23,1
210,2169,2002-07-31,2002-07-31,1
211,2169,2002-10-22,2002-10-22,1
212,2169,2002-12-06,2002-12-06,1
213,2170,2002-05-06,2002-05-06,1
214,2171,2002-07-29,2002-07-29,1
215,2171,2002-10-23,2002-10-23,1
216,2171,2002-11-06,2002-11-06,1
217,2172,2004-03-06,2004-03-06,1
218,2173,2002-07-30,2002-07-30,1
219,2173,2002-10-23,2002-10-23,1
220,2173,2002-12-06,2002-12-06,1
221,2174,2004-08-10,2004-08-10,1
222,2175,2002-07-31,2002-07-31,1
223,2175,2002-10-22,2002-10-22,1
224,2176,2004-05-06,2004-05-06,1
225,2177,2002-06-14,2002-06-14,1
226,2177,2002-09-08,2002-09-08,1
227,2177,2002-10-20,2002-10-20,1
228,2178,2002-04-23,2002-04-23,1
229,2180,2002-08-14,2002-08-14,1
230,2180,2002-10-13,2002-10-13,1
231,2182,2002-06-21,2002-06-21,1
232,2182,2002-09-08,2002-09-08,1
233,2182,2002-10-20,2002-10-20,1
234,2183,2004-09-20,2004-09-20,1
235,2184,2004-07-26,2004-07-26,1
236,2185,2004-05-29,2004-05-29,1
237,2186,2004-09-23,2004-09-23,1
238,2187,2004-10-06,2004-10-06,1
239,2188,2002-06-20,2002-06-20,1
240,2188,2002-08-18,2002-08-18,1
241,2188,2002-10-20,2002-10-20,1
242,2189,2002-06-17,2002-06-17,1
243,2189,2002-08-15,2002-08-15,1
244,2189,2002-10-15,2002-10-15,1
245,2190,2004-08-10,2004-08-10,1
246,2191,2004-12-06,2004-12-06,1
247,2192,2002-06-16,2002-06-16,1
248,2192,2002-08-15,2002-08-15,1
249,2192,2002-10-16,2002-10-16,1
250,2193,2002-01-06,2002-01-06,1
251,2193,2002-07-26,2002-07-26,1
252,2193,2002-08-21,2002-08-21,1
253,2193,2002-08-28,2002-08-28,1
254,2193,2002-10-28,2002-10-28,1
255,2194,2004-11-10,2004-11-10,1
256,2196,2004-09-25,2004-09-25,1
257,2197,2004-05-29,2004-05-29,1
258,2198,2004-09-24,2004-09-24,1
259,2199,2004-02-06,2004-02-06,1
260,2200,2004-07-25,2004-07-25,1
261,2201,2004-09-26,2004-09-26,1
262,2202,2004-12-06,2004-12-06,1
263,2203,2002-08-04,2002-08-04,1
264,2204,2002-06-13,2002-06-13,1
265,2204,2002-08-08,2002-08-08,1
266,2204,2002-10-21,2002-10-21,1
267,2205,2004-07-30,2004-07-30,1
268,2206,2002-03-08,2002-03-08,1
269,2206,2002-04-08,2002-04-08,1
270,2206,2002-05-30,2002-05-30,1
271,2206,2002-06-06,2002-06-06,1
272,2206,2002-07-28,2002-07-28,1
273,2206,2002-10-26,2002-10-26,1
274,2207,2004-01-06,2004-01-06,1
275,2208,2004-12-06,2004-12-06,1
276,2209,2004-07-10,2004-07-10,1
277,2210,2004-10-08,2004-10-08,1
278,2211,2004-01-06,2004-01-06,1
279,2212,2004-01-06,2004-01-06,1
280,2213,2004-03-06,2004-03-06,1
281,2214,2002-06-13,2002-06-13,1
282,2214,2002-08-08,2002-08-08,1
283,2214,2002-10-21,2002-10-21,1
284,2215,2004-05-10,2004-05-10,1
285,2216,2002-08-16,2002-08-16,1
286,2216,2002-10-17,2002-10-17,1
287,2217,2004-09-24,2004-09-24,1
288,2218,2004-02-08,2004-02-08,1
289,2219,2004-08-10,2004-08-10,1
290,2220,2004-07-30,2004-07-30,1
291,2221,2004-05-10,2004-05-10,1
292,2222,2002-06-15,2002-06-15,1
293,2222,2002-08-14,2002-08-14,1
294,2222,2002-10-13,2002-10-13,1
295,2223,2004-02-06,2004-02-06,1
296,2224,2004-09-27,2004-09-27,1
297,2225,2002-08-04,2002-08-04,1
298,2226,2004-09-19,2004-09-19,1
299,2227,2004-09-30,2004-09-30,1
300,2228,2004-11-10,2004-11-10,1
301,2229,2004-03-08,2004-03-08,1
302,2231,2004-11-08,2004-11-08,1
303,2232,2004-05-10,2004-05-10,1
304,2233,2004-12-08,2004-12-08,1
305,2234,2004-09-29,2004-09-29,1
306,2235,2004-09-25,2004-09-25,1
307,2236,2004-09-23,2004-09-23,1
308,2237,2002-07-29,2002-07-29,1
309,2237,2002-08-25,2002-08-25,1
310,2237,2002-10-26,2002-10-26,1
311,2238,2004-01-06,2004-01-06,1
312,2239,2002-08-16,2002-08-16,1
313,2239,2002-10-16,2002-10-16,1
314,2240,2002-10-08,2002-10-08,1
315,2241,2002-06-13,2002-06-13,1
316,2241,2002-07-08,2002-07-08,1
317,2241,2002-10-21,2002-10-21,1
318,2242,2002-08-04,2002-08-04,1
319,2243,2002-08-14,2002-08-14,1
320,2243,2002-10-13,2002-10-13,1
321,2244,2004-07-29,2004-07-29,1
322,2245,2004-03-08,2004-03-08,1
323,2246,2004-06-13,2004-06-13,1
324,2247,2004-10-06,2004-10-06,1
325,2248,2002-01-08,2002-01-08,1
326,2248,2002-10-22,2002-10-22,1
327,2248,2002-12-06,2002-12-06,1
328,2249,2002-06-19,2002-06-19,1
329,2249,2002-08-16,2002-08-16,1
330,2249,2002-10-17,2002-10-17,1
331,2250,2002-07-31,2002-07-31,1
332,2250,2002-10-23,2002-10-23,1
333,2251,2004-06-15,2004-06-15,1
334,15793,2018-06-12,2018-06-12,1
335,15793,2018-06-26,2018-06-26,1
336,15793,2018-07-10,2018-07-10,1
337,15793,2018-07-23,2018-07-23,1
338,15793,2018-08-09,2018-08-09,1
339,15793,2018-08-24,2018-08-24,1
340,15793,2018-09-05,2018-09-05,1
341,15793,2018-09-18,2018-09-18,1
342,15793,2018-10-02,2018-10-02,1
343,15793,2018-10-16,2018-10-16,1
344,15793,2018-10-30,2018-10-30,1
345,15793,2018-11-13,2018-11-13,1
346,15793,2018-11-27,2018-11-27,1
347,15793,2019-02-01,2019-02-01,1
348,15793,2019-02-20,2019-02-20,1
349,15793,2019-03-07,2019-03-07,1
350,15793,2019-04-10,2019-04-10,1
351,15793,2019-04-24,2019-04-24,1
352,15793,2019-05-24,2019-05-24,1
353,15793,2019-06-06,2019-06-06,1
354,15793,2019-06-19,2019-06-19,1
355,15793,2019-07-10,2019-07-10,1
356,15793,2019-07-24,2019-07-24,1
357,15793,2019-08-13,2019-08-13,1
358,15793,2019-09-12,2019-09-12,1
359,15793,2019-09-26,2019-09-26,1
360,15793,2019-10-28,2019-10-28,1
361,15793,2019-11-26,2019-11-26,1
362,15794,2018-03-26,2018-03-26,1
363,15794,2018-04-10,2018-04-10,1
364,15794,2018-04-24,2018-04-24,1
365,15794,2018-05-15,2018-05-15,1
366,15794,2018-05-29,2018-05-29,1
367,15794,2018-06-12,2018-06-12,1
368,15794,2018-06-26,2018-06-26,1
369,15794,2018-07-10,2018-07-10,1
370,15794,2018-07-23,2018-07-23,1
371,15794,2018-08-09,2018-08-09,1
372,15794,2018-08-24,2018-08-24,1
373,15794,2018-09-05,2018-09-05,1
374,15794,2018-09-18,2018-09-18,1
375,15794,2018-10-02,2018-10-02,1
376,15794,2018-10-16,2018-10-16,1
377,15794,2018-10-30,2018-10-30,1
378,15794,2018-11-13,2018-11-13,1
379,15794,2018-11-27,2018-11-27,1
380,15794,2018-12-13,2018-12-13,1
381,15794,2019-01-04,2019-01-04,1
382,15794,2019-01-15,2019-01-15,1
383,15794,2019-01-24,2019-01-24,1
384,15794,2019-02-01,2019-02-01,1
385,15794,2019-02-05,2019-02-05,1
386,15794,2019-02-20,2019-02-20,1
387,15794,2019-03-07,2019-03-07,1
388,15794,2019-03-11,2019-03-11,1
389,15794,2019-03-15,2019-03-15,1
390,15794,2019-03-26,2019-03-26,1
391,15794,2019-04-03,2019-04-03,1
