,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
8864,240427091,04-615,Pine Lake,2019-08-01,,,"Filtered, field",6.849937337,ug/L
8940,240428472,04-615,Pine Lake,2019-08-01,,,"Filtered, field",40.06292181,ug/L
8255,240413419,06-036,Lac des Rapides,2017-08-10,,,"Filtered, field",1.472213268,ug/L
8801,240425947,06-036,Lac des Rapides,2017-08-10,,,"Filtered, field",4.1862656585,ug/L
8455,240417550,06-066,Unnamed lake,2017-08-12,,,"Filtered, field",4.321968278,ug/L
8607,240421564,06-066,Unnamed lake,2017-08-12,,,"Filtered, field",2.015023746,ug/L
8942,240428501,06-071,Lac Parenthèses,2017-08-13,,,"Filtered, field",2.015023746,ug/L
9052,240431174,06-071,Lac Parenthèses,2017-08-13,,,"Filtered, field",1.200808028,ug/L
8934,240428296,06-080,Lac Jérôme,2017-08-15,,,"Filtered, field",1.7436185065,ug/L
9118,240432806,06-080,Lac Jérôme,2017-08-15,,,"Filtered, field",1.607915887,ug/L
8452,240417527,06-085,Lac Nairne,2017-08-18,,,"Filtered, field",7.793588182,ug/L
8838,240426630,06-085,Lac Nairne,2017-08-18,,,"Filtered, field",284.503213348,ug/L
8463,240417740,06-096,Lac Saint-Charles,2017-08-25,,,"Filtered, field",7.928043782,ug/L
8733,240424650,06-096,Lac Saint-Charles,2017-08-25,,,"Filtered, field",6.18012098,ug/L
8445,240417361,06-100,Lac Élie-Gagnon,2017-08-21,,,"Filtered, field",7.726360382,ug/L
8660,240422762,06-100,Lac Élie-Gagnon,2017-08-21,,,"Filtered, field",4.432198177,ug/L
8597,240421256,06-101,Lac Maupertuis,2017-08-16,,,"Filtered, field",2.011997374,ug/L
8872,240427152,06-101,Lac Maupertuis,2017-08-16,,,"Filtered, field",3.423781176,ug/L
8311,240414498,06-103,Lac à la Croix,2017-08-22,,,"Filtered, field",1.474174973,ug/L
8625,240421983,06-103,Lac à la Croix,2017-08-22,,,"Filtered, field",19.760136598,ug/L
8514,240419184,06-104,Lac Vouzier,2017-08-20,,,"Filtered, field",9.407055385,ug/L
8668,240422882,06-104,Lac Vouzier,2017-08-20,,,"Filtered, field",82.214762888,ug/L
8446,240417379,06-124,Lac de l'Achigan,2017-07-11,,,"Filtered, field",2.752041164,ug/L
8867,240427136,06-124,Lac de l'Achigan,2017-07-11,,,"Filtered, field",1.646942269,ug/L
8786,240425627,06-125,Lac Croche,2017-07-12,,,"Filtered, field",1.439736227,ug/L
8952,240428731,06-125,Lac Croche,2017-07-12,,,"Filtered, field",2.890178526,ug/L
8678,240423207,06-126,Lac Paula,2017-08-25,,,"Filtered, field",3.289325576,ug/L
