,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
0,18186252,1bottom,Fanshawe lentic site hypolimnion depth,2018-11-13,12:30:00,,Dissolved,1.4692781,umol/L
1,18186262,Upstream,Thames River Upstream of Fanshawe Reservoir,2018-07-23,14:30:00,,Dissolved,0.107068033,umol/L
2,18186266,Wye Creek,Wye Creek,2018-06-26,10:45:00,,Dissolved,1.2626333,umol/L
3,18186268,3top,Fanshawe Reservoir Fluvial Site,2019-06-19,11:10:00,,Dissolved,0.27472615,umol/L
4,18186275,2top,Fansahwe transitional site epilimnion depth,2019-10-28,12:03:00,,Dissolved,0.85948421,umol/L
5,18186280,Wye Creek,Wye Creek,2018-08-24,13:50:00,,Dissolved,0.2353,umol/L
6,18186310,Downstream,Thames River Downstream of Fanshawe Reservoir,2019-02-05,13:55:00,,Dissolved,2.5215,umol/L
7,18186334,1top,Fanshawe lentic Site epilimnion depth,2019-04-24,13:00:00,,Dissolved,1.0608,umol/L
8,18186339,Wye Creek,Wye Creek,2019-08-19,08:50:00,,Dissolved,7.00371007,umol/L
9,18186364,Wye Creek,Wye Creek,2019-09-26,13:09:00,,Dissolved,0.87142492,umol/L
10,18186404,Wye Creek,Wye Creek,2019-01-04,11:44:00,,Dissolved,0.63559171,umol/L
11,18186422,1bottom,Fanshawe lentic site hypolimnion depth,2018-10-16,12:45:00,,Dissolved,0.15290357,umol/L
12,18186426,Downstream,Thames River Downstream of Fanshawe Reservoir,2018-09-05,10:30:00,,Dissolved,0.85483805,umol/L
13,18186435,3top,Fanshawe Reservoir Fluvial Site,2018-08-09,11:18:00,,Dissolved,0.3496,umol/L
14,18186457,1top,Fanshawe lentic Site epilimnion depth,2019-08-28,13:50:00,,Dissolved,0.78966367,umol/L
15,18186478,Wye Creek,Wye Creek,2019-03-15,13:41:00,,Dissolved,4.9471,umol/L
