,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
8940,240428472,04-615,Pine Lake,2019-08-01,,,"Filtered, field",40.06292181,ug/L
8801,240425947,06-036,Lac des Rapides,2017-08-10,,,"Filtered, field",4.1862656585,ug/L
8607,240421564,06-066,Unnamed lake,2017-08-12,,,"Filtered, field",2.015023746,ug/L
9052,240431174,06-071,Lac Parenthèses,2017-08-13,,,"Filtered, field",1.200808028,ug/L
9118,240432806,06-080,Lac Jérôme,2017-08-15,,,"Filtered, field",1.607915887,ug/L
8838,240426630,06-085,Lac Nairne,2017-08-18,,,"Filtered, field",284.503213348,ug/L
8733,240424650,06-096,Lac Saint-Charles,2017-08-25,,,"Filtered, field",6.18012098,ug/L
8660,240422762,06-100,Lac Élie-Gagnon,2017-08-21,,,"Filtered, field",4.432198177,ug/L
8872,240427152,06-101,Lac Maupertuis,2017-08-16,,,"Filtered, field",3.423781176,ug/L
8625,240421983,06-103,Lac à la Croix,2017-08-22,,,"Filtered, field",19.760136598,ug/L
8668,240422882,06-104,Lac Vouzier,2017-08-20,,,"Filtered, field",82.214762888,ug/L
8867,240427136,06-124,Lac de l'Achigan,2017-07-11,,,"Filtered, field",1.646942269,ug/L
8952,240428731,06-125,Lac Croche,2017-07-12,,,"Filtered, field",2.890178526,ug/L
9174,240434020,06-126,Lac Paula,2017-08-25,,,"Filtered, field",2.7515031745,ug/L
8906,240427792,06-129,Lac Winsch,2017-08-24,,,"Filtered, field",11.62557279,ug/L
8503,240418925,06-132,Lac Sainte-Marie,2017-07-16,,,"Filtered, field",1.370667546,ug/L
8761,240425167,06-136,Lac Ouellette,2017-08-28,,,"Filtered, field",4.970020578,ug/L
9178,240434102,06-137,Lac des Îles,2017-08-29,,,"Filtered, field",8.936460786,ug/L
8980,240429475,06-146,Lac Blue Sea,2017-09-01,,,"Filtered, field",3.882362353,ug/L
8652,240422589,06-158,Lac Merlin,2017-08-21,,,"Filtered, field",5.8439819795,ug/L
8959,240428826,06-161,Fraser Lake,2017-09-05,,,"Filtered, field",245.454932448,ug/L
8780,240425477,06-167,Lac Chenon,2017-08-31,,,"Filtered, field",3.0204143755,ug/L
8948,240428658,06-174,Lac Wasi,2017-09-02,,,"Filtered, field",12.02893959,ug/L
8953,240428737,06-176,Lac Cloutier,2017-08-30,,,"Filtered, field",1.7430861735,ug/L
8918,240427950,06-196,Lac Ramsey,2017-08-28,,,"Filtered, field",7.121310181,ug/L
8469,240418072,06-198,Dora Lake,2017-08-14,,,"Filtered, field",20.267026078,ug/L
8758,240425136,06-217,Borden Lake,2017-08-12,,,"Filtered, field",2.625685534,ug/L
8868,240427140,06-253,Burnt Berry Pond,2018-08-07,,,"Filtered, field",1.515722804,ug/L
9020,240430521,06-255,Gull Pond,2018-08-10,,,"Filtered, field",0.5,ug/L
8666,240422860,06-262,Stern Pond,2018-08-18,,,"Filtered, field",1.857790096,ug/L
8676,240423185,06-263,Freshwater Pond,2018-08-19,,,"Filtered, field",0.5,ug/L
8961,240428876,06-268,Grand Pond,2018-08-28,,,"Filtered, field",2.023719506,ug/L
8602,240421439,06-273,Round Lake,2018-07-03,,,"Filtered, field",26.63141013,ug/L
9166,240433911,06-293,Liz Lake,2018-07-28,,,"Filtered, field",1.986280995,ug/L
8860,240427044,06-294,Unnamed lake,2018-07-29,,,"Filtered, field",2.188141463,ug/L
9085,240431843,06-295,Eden Lake,2018-07-30,,,"Filtered, field",1.447986412,ug/L
8939,240428444,06-303,Gull Lake,2018-08-10,,,"Filtered, field",13.08426749,ug/L
8798,240425902,06-309,Rob Lake,2018-08-21,,,"Filtered, field",2.599803361,ug/L
8507,240418987,06-312,Botsford Lake,2018-08-23,,,"Filtered, field",4.059403185,ug/L
9172,240433981,06-313,Pakashkan Lake,2018-08-24,,,"Filtered, field",5.891518495,ug/L
8642,240422358,07-009,Black River Lake,2017-08-13,,,"Filtered, field",7.646682457,ug/L
8687,240423372,07-029,Ritchie Lake,2017-08-05,,,"Filtered, field",1.947172436,ug/L
8999,240429949,07-222,Big Lake,2018-06-30,,,"Filtered, field",1.044265474,ug/L
