,Station_ID,Start,End,Num_Days
0,2010,2004-06-18,2004-06-18,1
1,2011,2004-05-29,2004-05-29,1
2,2012,2004-06-14,2004-06-14,1
3,2013,2004-06-18,2004-06-18,1
4,2014,2004-12-08,2004-12-08,1
5,2015,2004-09-10,2004-09-10,1
6,2016,2002-06-14,2002-10-18,3
7,2017,2002-08-04,2002-08-04,1
8,2018,2004-08-13,2004-08-13,1
9,2019,2004-11-10,2004-11-10,1
10,2020,2004-04-06,2004-04-06,1
11,2021,2004-04-06,2004-04-06,1
12,2022,2004-09-06,2004-09-06,1
13,2023,2004-09-23,2004-09-23,1
14,2024,2004-10-06,2004-10-06,1
15,2025,2004-10-06,2004-10-06,1
16,2026,2004-09-27,2004-09-27,1
17,2027,2004-04-08,2004-04-08,1
18,2028,2002-06-22,2002-10-27,3
19,2029,2002-06-14,2002-10-18,3
20,2030,2002-01-06,2002-10-28,3
21,2032,2004-09-25,2004-09-25,1
22,2033,2004-06-10,2004-06-10,1
23,2034,2004-05-06,2004-05-06,1
24,2035,2004-07-24,2004-07-24,1
25,2036,2004-04-06,2004-04-06,1
26,2039,2002-01-06,2002-08-21,3
27,2040,2004-09-10,2004-09-10,1
28,2041,2004-09-24,2004-09-24,1
29,2042,2004-04-06,2004-04-06,1
30,2043,2004-06-13,2004-06-13,1
31,2044,2004-07-24,2004-07-24,1
32,2045,2004-03-08,2004-03-08,1
33,2046,2004-09-20,2004-09-20,1
34,2047,2004-09-24,2004-09-24,1
35,2048,2002-06-22,2002-10-27,3
36,2049,2002-08-15,2002-10-16,2
37,2050,2002-10-15,2002-10-15,1
38,2051,2004-07-24,2004-07-24,1
39,2052,2004-07-30,2004-07-30,1
40,2053,2002-07-29,2002-10-27,3
41,2054,2002-06-15,2002-11-08,3
42,2055,2004-06-06,2004-06-06,1
43,2056,2002-01-08,2002-12-06,3
44,2057,2004-08-17,2004-08-17,1
45,2058,2004-07-24,2004-07-24,1
46,2059,2004-09-26,2004-09-26,1
47,2060,2002-06-21,2002-10-21,3
48,2061,2004-01-06,2004-01-06,1
49,2063,2002-05-31,2002-10-26,3
50,2064,2004-06-18,2004-06-18,1
51,2065,2004-12-08,2004-12-08,1
52,2066,2002-07-29,2002-07-29,1
53,2068,2004-10-08,2004-10-08,1
54,2069,2004-05-08,2004-05-08,1
55,2070,2004-09-10,2004-09-10,1
56,2071,2004-09-29,2004-09-29,1
57,2072,2004-10-06,2004-10-06,1
58,2073,2002-04-23,2002-04-23,1
59,2074,2004-06-14,2004-06-14,1
60,2075,2004-07-08,2004-07-08,1
61,2076,2004-08-10,2004-08-10,1
62,2078,2002-07-28,2002-10-27,2
63,2079,2004-09-10,2004-09-10,1
64,2080,2004-07-26,2004-07-26,1
65,2081,2004-07-25,2004-07-25,1
66,2082,2004-09-23,2004-09-23,1
67,2083,2004-09-10,2004-09-10,1
68,2084,2004-09-20,2004-09-20,1
69,2085,2004-08-17,2004-08-17,1
70,2086,2004-06-06,2004-06-06,1
71,2087,2002-04-23,2002-04-23,1
72,2088,2002-02-06,2002-10-28,3
73,2089,2004-09-19,2004-09-19,1
74,2090,2002-08-15,2002-10-15,2
75,2091,2004-05-06,2004-05-06,1
76,2092,2002-07-31,2002-07-31,1
77,2093,2004-05-08,2004-05-08,1
78,2094,2004-09-24,2004-09-24,1
79,2095,2002-07-30,2002-11-06,3
80,2096,2004-09-06,2004-09-06,1
81,2097,2004-10-06,2004-10-06,1
82,2098,2004-08-10,2004-08-10,1
83,2100,2004-07-29,2004-07-29,1
84,2101,2004-09-20,2004-09-20,1
85,2102,2004-10-08,2004-10-08,1
86,2103,2004-08-13,2004-08-13,1
87,2104,2002-06-13,2002-10-21,3
88,2105,2004-11-08,2004-11-08,1
89,2106,2004-07-25,2004-07-25,1
90,2107,2002-08-14,2002-10-13,2
91,2108,2004-10-08,2004-10-08,1
92,2110,2002-07-31,2002-10-22,2
93,2111,2004-09-27,2004-09-27,1
94,2112,2004-03-06,2004-03-06,1
95,2113,2004-06-15,2004-06-15,1
96,2114,2002-04-23,2002-04-23,1
97,2115,2004-11-10,2004-11-10,1
98,2116,2002-07-30,2002-07-30,1
99,2117,2004-03-08,2004-03-08,1
100,2118,2002-06-20,2002-11-08,3
101,2119,2002-05-30,2002-10-26,3
102,2121,2002-08-04,2002-08-04,1
103,2122,2004-06-10,2004-06-10,1
104,2123,2004-12-08,2004-12-08,1
105,2124,2004-09-06,2004-09-06,1
106,2125,2002-04-23,2002-04-23,1
107,2126,2002-08-15,2002-10-16,2
108,2127,2002-02-06,2002-10-28,3
109,2128,2004-09-30,2004-09-30,1
110,2129,2002-06-20,2002-11-08,3
111,2130,2002-06-15,2002-10-18,3
112,2131,2004-08-17,2004-08-17,1
113,2132,2004-02-08,2004-02-08,1
114,2134,2004-09-27,2004-09-27,1
115,2135,2002-04-23,2002-04-23,1
116,2136,2004-06-20,2004-06-20,1
117,2138,2004-06-19,2004-06-19,1
118,2139,2004-11-10,2004-11-10,1
119,2140,2004-06-14,2004-06-14,1
120,2141,2002-02-06,2002-10-26,6
121,2142,2002-06-13,2002-10-20,3
122,2144,2002-06-14,2002-10-20,3
123,2145,2004-07-24,2004-07-24,1
124,2146,2004-07-10,2004-07-10,1
125,2147,2004-05-06,2004-05-06,1
126,2148,2002-08-04,2002-08-04,1
127,2149,2004-07-28,2004-07-28,1
128,2151,2002-06-20,2002-11-08,3
129,2152,2004-06-14,2004-06-14,1
130,2153,2002-06-22,2002-07-28,2
131,2154,2004-07-29,2004-07-29,1
132,2156,2002-05-31,2002-10-26,5
133,2157,2004-06-10,2004-06-10,1
134,2158,2004-09-30,2004-09-30,1
135,2159,2004-09-29,2004-09-29,1
136,2160,2002-08-16,2002-10-17,2
137,2161,2002-07-30,2002-11-06,3
138,2162,2004-07-25,2004-07-25,1
139,2163,2002-01-08,2002-12-06,3
140,2164,2004-05-29,2004-05-29,1
141,2165,2004-07-25,2004-07-25,1
142,2166,2004-03-06,2004-03-06,1
143,2167,2004-06-15,2004-06-15,1
144,2168,2002-04-23,2002-04-23,1
145,2169,2002-07-31,2002-12-06,3
146,2170,2002-05-06,2002-05-06,1
147,2171,2002-07-29,2002-11-06,3
148,2172,2004-03-06,2004-03-06,1
149,2173,2002-07-30,2002-12-06,3
150,2174,2004-08-10,2004-08-10,1
151,2175,2002-07-31,2002-10-22,2
152,2176,2004-05-06,2004-05-06,1
153,2177,2002-06-14,2002-10-20,3
154,2178,2002-04-23,2002-04-23,1
155,2180,2002-08-14,2002-10-13,2
156,2182,2002-06-21,2002-10-20,3
157,2183,2004-09-20,2004-09-20,1
158,2184,2004-07-26,2004-07-26,1
159,2185,2004-05-29,2004-05-29,1
160,2186,2004-09-23,2004-09-23,1
161,2187,2004-10-06,2004-10-06,1
162,2188,2002-06-20,2002-10-20,3
163,2189,2002-06-17,2002-10-15,3
164,2190,2004-08-10,2004-08-10,1
165,2191,2004-12-06,2004-12-06,1
166,2192,2002-06-16,2002-10-16,3
167,2193,2002-01-06,2002-10-28,5
168,2194,2004-11-10,2004-11-10,1
169,2196,2004-09-25,2004-09-25,1
170,2197,2004-05-29,2004-05-29,1
171,2198,2004-09-24,2004-09-24,1
172,2199,2004-02-06,2004-02-06,1
173,2200,2004-07-25,2004-07-25,1
174,2201,2004-09-26,2004-09-26,1
175,2202,2004-12-06,2004-12-06,1
176,2203,2002-08-04,2002-08-04,1
177,2204,2002-06-13,2002-10-21,3
178,2205,2004-07-30,2004-07-30,1
179,2206,2002-03-08,2002-10-26,6
180,2207,2004-01-06,2004-01-06,1
181,2208,2004-12-06,2004-12-06,1
182,2209,2004-07-10,2004-07-10,1
183,2210,2004-10-08,2004-10-08,1
184,2211,2004-01-06,2004-01-06,1
185,2212,2004-01-06,2004-01-06,1
186,2213,2004-03-06,2004-03-06,1
187,2214,2002-06-13,2002-10-21,3
188,2215,2004-05-10,2004-05-10,1
189,2216,2002-08-16,2002-10-17,2
190,2217,2004-09-24,2004-09-24,1
191,2218,2004-02-08,2004-02-08,1
192,2219,2004-08-10,2004-08-10,1
193,2220,2004-07-30,2004-07-30,1
194,2221,2004-05-10,2004-05-10,1
195,2222,2002-06-15,2002-10-13,3
196,2223,2004-02-06,2004-02-06,1
197,2224,2004-09-27,2004-09-27,1
198,2225,2002-08-04,2002-08-04,1
199,2226,2004-09-19,2004-09-19,1
200,2227,2004-09-30,2004-09-30,1
201,2228,2004-11-10,2004-11-10,1
202,2229,2004-03-08,2004-03-08,1
203,2231,2004-11-08,2004-11-08,1
204,2232,2004-05-10,2004-05-10,1
205,2233,2004-12-08,2004-12-08,1
206,2234,2004-09-29,2004-09-29,1
207,2235,2004-09-25,2004-09-25,1
208,2236,2004-09-23,2004-09-23,1
209,2237,2002-07-29,2002-10-26,3
210,2238,2004-01-06,2004-01-06,1
211,2239,2002-08-16,2002-10-16,2
212,2240,2002-10-08,2002-10-08,1
213,2241,2002-06-13,2002-10-21,3
214,2242,2002-08-04,2002-08-04,1
215,2243,2002-08-14,2002-10-13,2
216,2244,2004-07-29,2004-07-29,1
217,2245,2004-03-08,2004-03-08,1
218,2246,2004-06-13,2004-06-13,1
219,2247,2004-10-06,2004-10-06,1
220,2248,2002-01-08,2002-12-06,3
221,2249,2002-06-19,2002-10-17,3
222,2250,2002-07-31,2002-10-23,2
223,2251,2004-06-15,2004-06-15,1
224,15793,2018-06-12,2019-11-26,28
225,15794,2018-03-26,2019-12-10,55
226,15795,2018-03-26,2019-12-10,55
227,15796,2018-01-19,2019-11-26,35
228,15797,2018-01-19,2019-11-26,36
229,15798,2018-05-29,2019-11-26,29
230,15799,2018-06-12,2019-12-10,50
231,15800,2018-01-19,2019-11-26,35
232,16712,2018-03-13,2018-08-23,4
233,16713,2018-03-13,2018-10-22,5
234,16714,2018-03-13,2018-10-22,5
235,16715,2018-03-13,2018-10-22,5
236,17325,2018-04-24,2018-07-04,7
237,17326,2018-04-24,2018-07-04,8
238,17327,2018-04-24,2018-07-04,7
239,17328,2018-03-12,2018-09-27,4
240,17329,2018-04-24,2018-07-04,7
241,17330,2018-03-12,2018-09-27,4
242,17331,2018-03-12,2018-09-27,4
243,17332,2018-04-24,2018-07-04,7
244,17333,2018-04-24,2018-05-30,6
245,30847,2017-08-04,2018-02-13,2
246,30854,2017-08-04,2018-02-13,2
247,30856,2017-08-04,2018-10-18,3
248,30858,2017-08-04,2018-10-18,3
249,30861,2017-08-04,2018-02-13,2
250,48370,2011-10-11,2019-10-01,12
251,48371,2011-10-12,2011-10-12,1
252,48372,2011-10-11,2019-10-01,13
253,48374,2011-10-11,2012-01-09,2
254,48376,2011-10-12,2011-10-12,1
255,48381,2011-10-11,2019-10-01,13
256,48383,2011-10-12,2011-10-12,1
257,48387,2011-10-11,2011-10-11,1
258,85626,2003-06-11,2003-09-30,4
259,140263,2019-05-27,2019-05-27,1
260,140265,2018-05-24,2018-05-24,1
261,140306,2019-05-25,2019-05-25,1
262,140328,2001-04-03,2022-04-26,12
263,140358,2002-04-18,2019-05-03,14
264,140371,2004-04-20,2019-05-08,15
265,140383,2002-05-19,2022-06-04,4
266,140387,2018-05-24,2018-05-24,1
267,140498,2001-04-06,2022-04-20,14
268,140516,2002-04-18,2019-04-30,19
269,140633,2001-04-03,2022-04-26,13
270,140689,2001-04-04,2022-04-24,12
271,140697,2003-04-03,2022-04-21,13
272,140774,2001-04-05,2018-05-23,9
273,178169,2018-10-02,2018-10-02,1
274,178170,2018-10-01,2018-10-01,1
275,178171,2018-10-03,2018-10-03,1
276,178172,2018-10-02,2018-10-02,1
277,178173,2018-10-02,2018-10-02,1
278,178174,2018-10-03,2018-10-03,1
279,178175,2018-10-01,2018-10-01,1
280,178176,2018-10-02,2018-10-02,1
281,178177,2018-10-03,2018-10-03,1
282,178178,2018-10-02,2018-10-02,1
283,178179,2018-10-01,2018-10-01,1
284,178180,2018-10-02,2018-10-02,1
285,178181,2018-10-01,2018-10-01,1
286,178182,2018-10-01,2018-10-01,1
287,178183,2018-10-01,2018-10-01,1
288,178184,2018-10-03,2018-10-03,1
289,178185,2018-10-03,2018-10-03,1
290,178186,2018-10-02,2018-10-02,1
291,178187,2018-10-02,2018-10-02,1
292,178188,2018-10-02,2018-10-02,1
293,178189,2018-10-03,2018-10-03,1
294,178190,2018-10-03,2018-10-03,1
295,178191,2018-10-03,2018-10-03,1
296,178192,2018-10-01,2018-10-01,1
297,178193,2018-10-03,2018-10-03,1
298,178327,2005-04-13,2008-04-03,4
299,178328,2004-05-08,2009-05-09,3
300,178329,2007-04-17,2007-04-17,1
301,178330,2006-06-02,2006-06-02,1
302,178332,2005-08-30,2005-08-30,1
303,178333,2008-04-07,2008-04-07,1
304,178334,2003-04-03,2022-04-22,9
305,178335,2004-05-07,2014-05-11,4
306,178336,2001-04-05,2022-04-21,13
307,178337,2002-05-18,2017-05-23,5
308,178338,2007-05-09,2007-05-09,1
309,178340,2003-05-21,2016-05-28,4
310,178341,2003-04-03,2013-08-30,6
311,178344,2004-05-12,2022-05-31,8
312,178347,2017-05-10,2017-05-10,1
313,178348,2001-04-06,2022-04-20,12
314,178349,2001-04-04,2022-04-23,9
315,178351,2019-05-24,2019-05-24,1
316,178352,2005-09-01,2005-09-01,1
317,178353,2000-05-07,2000-05-07,1
318,178354,2002-05-18,2022-06-06,8
319,178357,2008-04-07,2008-04-07,1
320,178358,2002-05-14,2017-05-17,10
321,178361,2016-02-17,2016-02-17,1
322,178362,2008-05-10,2013-05-18,3
323,178363,2002-04-17,2022-08-18,17
324,178364,2002-04-16,2022-08-16,12
325,178365,2002-05-16,2022-06-07,7
326,178366,2002-05-14,2017-05-16,9
327,178367,2019-05-27,2019-05-27,1
328,178368,2001-04-04,2022-04-24,11
329,178371,2011-05-21,2011-05-21,1
330,178372,2004-05-08,2022-06-04,6
331,178373,2003-05-20,2013-05-18,5
332,178375,2000-04-17,2022-08-17,16
333,178377,2000-05-03,2022-06-01,10
334,178378,2002-04-17,2022-08-18,17
335,178379,2005-08-29,2005-08-29,1
336,178380,2000-05-02,2017-05-17,6
337,178381,2003-04-04,2022-04-20,11
338,178382,2000-04-20,2022-08-17,13
339,178383,2001-04-04,2022-04-23,7
340,178384,2007-05-11,2007-05-11,1
341,178385,2017-04-10,2017-04-10,1
342,178386,2004-05-07,2015-09-24,5
343,178387,2001-04-03,2022-04-20,10
344,178388,2007-04-17,2007-04-17,1
345,178389,2002-05-14,2017-05-17,8
346,178390,2001-04-04,2022-04-24,12
347,178391,2017-04-10,2017-04-10,1
348,178392,2002-05-19,2022-06-05,8
349,178394,2002-05-15,2002-05-15,1
350,178395,2001-05-12,2019-05-24,8
351,178397,2004-05-06,2022-06-03,10
352,178398,2003-05-22,2016-05-26,5
353,178400,2000-05-06,2022-06-03,9
354,178403,2013-02-22,2013-02-22,1
355,178404,2001-04-06,2022-04-20,12
356,178405,2000-05-02,2017-05-17,8
357,178406,2000-05-04,2017-05-25,8
358,178407,2007-05-10,2007-05-10,1
359,178410,2001-04-04,2022-04-24,12
360,178412,2006-06-04,2006-06-04,1
361,178413,2017-03-10,2017-03-10,1
362,178414,2012-02-16,2012-02-16,1
363,178415,2000-04-20,2022-08-16,15
364,178416,2002-05-17,2015-09-24,6
365,178419,2002-04-17,2017-08-01,14
366,178420,2001-04-06,2022-04-20,14
367,178421,2004-05-08,2017-05-21,3
368,178422,2001-04-05,2006-04-05,4
369,178423,2008-02-16,2008-02-16,1
370,178424,2000-05-06,2022-06-03,9
371,178425,2019-05-27,2019-05-27,1
372,178426,2002-05-17,2014-05-10,5
373,178427,2000-05-06,2022-06-03,5
374,178428,2008-04-07,2008-04-07,1
375,178430,2008-05-08,2019-05-26,5
376,178431,2004-05-07,2017-05-20,6
377,178432,2002-05-18,2022-06-05,8
378,178433,2019-05-26,2019-05-26,1
379,178434,2003-04-03,2022-04-22,12
380,178435,2017-05-10,2017-05-10,1
381,178436,2002-04-18,2019-07-31,15
382,178438,2012-05-04,2022-08-15,14
383,178442,2000-04-17,2022-08-16,22
384,178443,2012-05-08,2012-05-08,1
385,178446,2001-04-04,2022-04-24,12
386,178447,2005-09-02,2005-09-02,1
387,178448,2000-04-18,2022-08-20,21
388,178450,2002-05-15,2017-05-18,6
389,178451,2001-04-03,2022-04-25,12
390,178453,2007-04-17,2016-02-18,3
391,178454,2018-05-23,2018-05-23,1
