,Station_ID,Start,End,Num_Days
0,00 AJ0051,2002-08-14,2003-08-20,5
1,00 AJ0052,2002-08-14,2003-08-20,5
2,00 AJ0053,2002-08-14,2004-10-24,8
3,00 AJ0056,2002-08-14,2020-10-05,14
4,00 AJ0057,2002-08-14,2004-10-24,8
5,00 AJ0058,2002-08-14,2020-10-05,14
6,00 AJ0059,2018-07-16,2020-10-05,6
7,00 AJ0060,2002-08-14,2020-10-05,14
8,00 AJ0061,2002-08-14,2004-10-24,8
9,00 AJ0072,2002-08-14,2004-10-24,8
10,00 AJ0073,2002-08-14,2004-10-24,8
11,00 AJ0074,2002-08-14,2003-08-20,5
12,00 AJ0075,2002-08-14,2004-10-24,8
13,00 AJ0076,2002-08-14,2004-10-24,8
14,00 AJ0077,2002-08-14,2003-08-20,5
15,00 AJ0078,2002-08-14,2004-10-24,8
16,00BR01AP0008,2015-06-17,2015-06-17,1
17,00BR01AP0021,2001-06-20,2002-10-30,8
18,00BR01AP0233,2010-06-29,2015-06-17,4
19,00BR01BT0021,2003-06-24,2022-09-28,15
20,00BR01BT0022,2003-07-23,2022-09-28,17
21,00BR01BT0023,2003-06-24,2022-09-28,17
22,00BR01BT0024,2003-06-24,2022-09-28,20
23,00BR01BT0025,2003-06-24,2022-09-28,19
24,00BR01BT0026,2003-06-24,2022-09-28,20
25,01010400202,2013-08-22,2020-11-20,45
26,01010500102,2013-08-22,2020-11-20,46
27,01010600202,2013-08-22,2020-10-15,43
28,01010700202,2013-08-22,2020-11-20,46
29,01010700402,2017-04-27,2019-11-01,21
30,01010800102,2013-08-09,2020-10-15,34
31,01010800602,2013-08-22,2020-10-15,43
32,0120403,1975-12-03,1984-10-25,12
33,0120405,1975-12-03,1984-10-25,13
34,0120780,1999-02-17,2010-09-16,5
35,0120800,1974-08-21,1984-08-29,21
36,0120802,1974-08-21,2014-07-29,63
37,0120804,1983-09-26,1983-09-26,1
38,0120805,1983-09-26,1983-09-26,1
39,0120807,1978-04-13,1984-05-02,5
40,0120808,1978-04-13,2011-09-12,75
41,0120809,1978-04-13,1984-05-02,6
42,0121800,2000-11-21,2000-11-21,1
43,0122380,2004-08-03,2004-08-03,1
44,0122385,2004-08-03,2004-08-03,1
45,0122700,1975-03-26,1983-05-04,4
46,0123981,1974-08-21,2010-05-27,306
47,0124380,1999-05-19,2002-04-10,5
48,0124784,1983-02-15,2022-02-14,6
49,0124785,1983-02-15,2023-06-07,29
50,0125180,1999-02-17,2001-11-27,4
51,0125580,1976-09-23,2008-11-11,34
52,0125582,2002-08-14,2008-11-11,28
53,0125900,1984-06-20,1984-08-23,2
54,0125902,1979-10-09,2000-10-10,31
55,0125903,1979-10-09,2000-10-10,31
56,0125904,1979-10-09,1981-05-25,5
57,0125980,1976-09-16,1982-10-06,12
58,0125981,1979-09-05,1981-09-15,4
59,0126401,1976-09-30,1978-09-25,2
60,0126402,1979-07-31,2012-07-04,55
61,0126403,1979-07-31,1997-02-05,5
62,0126700,2014-03-25,2014-03-25,1
63,0127180,1999-12-14,2001-11-07,2
64,0127215,1975-03-26,1983-05-04,4
65,0127216,1975-03-26,1983-05-04,4
66,0127260,2002-04-23,2002-04-23,1
67,0127312,1980-04-30,1981-04-15,5
68,0127580,2000-09-06,2000-09-06,1
69,0127581,2000-09-06,2006-09-10,12
70,0127582,2000-09-06,2000-09-06,1
71,0127620,1976-09-23,2009-05-28,18
72,0127621,1979-09-05,2010-09-07,12
73,0130080,1983-05-17,2022-03-23,7
74,0130081,1983-06-01,1984-12-11,12
75,0130082,1981-04-16,2015-11-26,26
76,0130083,1983-04-26,1983-07-19,2
77,0130084,1983-06-01,1984-12-11,13
78,0130088,1981-04-16,2003-06-11,21
79,0130090,1981-04-16,2015-11-26,25
80,0130142,1983-07-19,1983-07-19,1
81,0130143,1981-04-16,2003-06-10,14
82,0130261,2011-02-17,2013-09-06,2
83,0130355,1997-03-05,2015-02-24,26
84,0130760,2013-12-09,2013-12-09,1
85,0130820,2002-03-13,2002-03-13,1
86,0130830,2002-03-14,2002-03-14,1
87,0131140,1974-08-21,1984-08-29,20
88,0140124,2000-09-06,2006-09-10,12
89,0153000,1975-04-07,1976-04-27,4
90,0153001,1975-04-07,1976-04-27,4
91,0153017,1975-04-07,1976-04-27,5
92,0153018,1975-04-07,1976-04-27,5
93,0156000,1978-07-18,1979-07-04,2
94,0156001,1977-06-09,1979-07-04,3
95,0156002,1977-06-09,1979-07-04,3
96,0156003,1977-06-09,1979-07-04,3
97,0156004,1977-06-09,1979-07-03,3
98,0156005,1977-06-09,1979-07-03,3
99,0156006,1977-06-09,1979-07-03,3
100,0156007,1977-06-09,1979-07-03,3
101,0156008,1977-06-09,1979-07-03,3
102,0190108,1981-07-02,1984-10-29,7
103,0190110,1981-07-02,1984-10-29,7
104,0190112,1982-01-12,1983-02-23,3
105,01BR01AP0134,2001-08-22,2001-10-23,3
