,Station_ID,Start,End,Num_Days
0,87,2017-10-02,2017-10-02,1
1,88,2017-10-01,2017-10-01,1
2,89,2017-10-02,2017-10-02,1
3,90,2017-09-30,2017-09-30,1
4,91,2017-10-03,2017-10-03,1
5,92,2017-10-03,2017-10-03,1
6,95,2017-10-01,2017-10-01,1
7,96,2017-09-30,2017-09-30,1
8,97,2017-10-03,2017-10-03,1
9,98,2017-10-01,2017-10-01,1
10,99,2017-09-30,2017-09-30,1
11,102,2017-10-02,2017-10-02,1
12,106,2017-10-01,2017-10-01,1
13,108,2017-10-02,2017-10-02,1
14,109,2017-09-30,2017-09-30,1
15,216,2019-05-22,2019-06-18,2
16,217,2018-05-24,2018-06-21,2
17,218,2019-05-22,2019-06-18,2
18,219,2019-05-20,2019-06-17,2
19,220,2017-06-18,2017-06-18,1
20,221,2018-05-25,2018-06-20,2
21,222,2019-05-20,2019-06-18,2
22,223,2018-05-24,2018-06-20,2
23,224,2019-05-20,2019-06-17,2
24,225,2019-05-22,2019-06-18,2
25,226,2018-05-25,2018-06-22,2
26,227,2017-06-18,2017-06-18,1
27,228,2019-05-20,2019-06-17,2
28,229,2018-05-25,2018-06-20,2
29,230,2019-05-22,2019-06-19,2
30,231,2019-05-22,2019-06-18,2
31,232,2019-05-20,2019-06-17,2
32,233,2018-05-25,2018-06-20,2
33,234,2018-05-25,2018-06-20,2
34,235,2019-05-20,2019-06-19,2
35,236,2018-05-24,2018-06-20,2
36,237,2018-05-24,2018-06-21,2
37,238,2018-05-25,2018-06-22,2
38,239,2019-05-22,2019-06-18,2
39,240,2019-05-20,2019-06-19,2
40,241,2017-06-18,2017-06-18,1
41,242,2017-06-17,2017-06-17,1
42,243,2018-05-25,2018-06-22,2
43,244,2019-05-22,2019-06-19,2
44,245,2018-05-25,2018-06-20,2
45,246,2018-05-24,2018-06-21,2
46,247,2018-05-25,2018-06-20,2
47,248,2019-05-20,2019-06-18,2
48,249,2018-05-25,2018-06-22,2
49,250,2017-06-18,2017-06-18,1
50,251,2019-05-20,2019-06-19,2
51,252,2018-05-25,2018-06-22,2
52,253,2019-05-22,2019-06-18,2
53,254,2017-06-18,2017-06-18,1
54,255,2019-05-20,2019-06-19,2
55,256,2017-06-17,2017-06-17,1
56,257,2018-05-24,2018-06-21,2
57,258,2017-06-16,2017-06-16,1
58,259,2018-05-25,2018-06-22,2
59,260,2017-06-18,2017-06-18,1
60,261,2018-05-25,2018-06-20,2
61,262,2019-05-22,2019-06-19,2
62,263,2018-05-25,2018-06-20,2
63,264,2019-05-20,2019-06-17,2
64,265,2019-05-22,2019-06-18,2
65,266,2019-05-20,2019-06-19,2
66,267,2019-05-20,2019-06-18,2
67,268,2017-06-16,2017-06-16,1
68,269,2019-05-20,2019-06-19,2
69,270,2017-06-18,2017-06-18,1
70,271,2018-05-24,2018-06-21,2
71,272,2019-05-20,2019-06-19,2
72,273,2019-05-20,2019-06-18,2
73,274,2018-05-24,2018-06-21,2
74,275,2017-06-17,2017-06-17,1
75,276,2017-06-16,2017-06-16,1
76,277,2019-05-20,2019-06-17,2
77,278,2017-06-17,2017-06-17,1
78,279,2019-05-22,2019-06-19,2
79,280,2019-05-22,2019-06-19,2
80,281,2018-05-24,2018-06-20,2
81,282,2019-05-20,2019-06-17,2
82,283,2018-05-24,2018-06-21,2
83,2005,1990-03-24,2013-10-28,583
84,2010,2004-06-18,2004-06-18,1
85,2011,2004-05-29,2004-05-29,1
86,2012,2004-06-14,2004-06-14,1
87,2013,2004-06-18,2004-06-18,1
88,2014,2004-12-08,2004-12-08,1
89,2015,2004-09-10,2004-09-10,1
90,2016,2002-06-14,2002-10-18,3
91,2017,2002-08-04,2002-08-04,1
92,2018,2004-08-13,2004-08-13,1
