,Station_ID,Start,End,Num_Days
0,11,2015-04-21,2015-04-21,1
1,216,2019-05-22,2019-06-18,2
2,217,2018-05-24,2018-05-24,1
3,218,2019-05-22,2019-06-18,2
4,219,2019-05-20,2019-06-17,2
5,220,2017-06-18,2017-06-18,1
6,221,2018-05-25,2018-06-20,2
7,222,2019-05-20,2019-06-18,2
8,223,2018-05-24,2018-06-20,2
9,224,2019-05-20,2019-06-17,2
10,225,2019-05-22,2019-06-18,2
11,226,2018-05-25,2018-06-22,2
12,227,2017-06-18,2017-06-18,1
13,228,2019-05-20,2019-06-17,2
14,229,2018-05-25,2018-06-20,2
15,230,2019-05-22,2019-06-19,2
16,231,2019-05-22,2019-06-18,2
17,232,2019-05-20,2019-06-17,2
18,233,2018-05-25,2018-06-20,2
19,234,2018-05-25,2018-06-20,2
20,235,2019-05-20,2019-06-19,2
21,236,2018-05-24,2018-06-20,2
22,237,2018-05-24,2018-06-21,2
23,238,2018-05-25,2018-06-22,2
24,239,2019-05-22,2019-06-18,2
25,240,2019-05-20,2019-06-19,2
26,241,2017-06-18,2017-06-18,1
27,242,2017-06-17,2017-06-17,1
28,243,2018-05-25,2018-06-22,2
29,244,2019-05-22,2019-06-19,2
30,245,2018-05-25,2018-06-20,2
31,246,2018-05-24,2018-06-21,2
32,247,2018-05-25,2018-06-20,2
33,248,2019-05-20,2019-06-18,2
34,249,2018-05-25,2018-06-22,2
35,250,2017-06-18,2017-06-18,1
36,251,2019-05-20,2019-06-19,2
37,252,2018-05-25,2018-06-22,2
38,253,2019-05-22,2019-06-18,2
39,254,2017-06-18,2017-06-18,1
40,255,2019-05-20,2019-06-19,2
41,256,2017-06-17,2017-06-17,1
42,257,2018-05-24,2018-06-21,2
43,258,2017-06-16,2017-06-16,1
44,259,2018-05-25,2018-06-22,2
45,260,2017-06-18,2017-06-18,1
46,261,2018-05-25,2018-06-20,2
47,262,2019-05-22,2019-06-19,2
48,263,2018-05-25,2018-06-20,2
49,264,2019-05-20,2019-06-17,2
50,265,2019-05-22,2019-06-18,2
51,266,2019-05-20,2019-06-19,2
52,267,2019-05-20,2019-06-18,2
53,268,2017-06-16,2017-06-16,1
54,269,2019-05-20,2019-06-19,2
55,270,2017-06-18,2017-06-18,1
56,271,2018-05-24,2018-06-21,2
57,272,2019-05-20,2019-06-19,2
58,273,2019-05-20,2019-06-18,2
59,274,2018-05-24,2018-06-21,2
60,275,2017-06-17,2017-06-17,1
61,277,2019-05-20,2019-06-17,2
62,278,2017-06-17,2017-06-17,1
63,279,2019-05-22,2019-06-19,2
64,280,2019-05-22,2019-06-19,2
65,281,2018-05-24,2018-06-20,2
66,282,2019-05-20,2019-06-17,2
67,283,2018-05-24,2018-06-21,2
68,2005,1990-03-24,2013-10-28,584
69,2010,2004-06-18,2004-06-18,1
70,2011,2004-05-29,2004-05-29,1
71,2012,2004-06-14,2004-06-14,1
72,2013,2004-06-18,2004-06-18,1
73,2014,2004-12-08,2004-12-08,1
74,2015,2004-09-10,2004-09-10,1
75,2016,2002-06-14,2002-10-18,3
76,2017,2002-08-04,2002-08-04,1
77,2018,2004-08-13,2004-08-13,1
78,2019,2004-11-10,2004-11-10,1
79,2020,2004-04-06,2004-04-06,1
80,2021,2004-04-06,2004-04-06,1
81,2022,2004-09-06,2004-09-06,1
82,2023,2004-09-23,2004-09-23,1
83,2024,2004-10-06,2004-10-06,1
84,2025,2004-10-06,2004-10-06,1
85,2026,2004-09-27,2004-09-27,1
86,2027,2004-04-08,2004-04-08,1
87,2028,2002-06-22,2002-10-27,3
88,2029,2002-06-14,2002-10-18,3
89,2030,2002-01-06,2002-10-28,3
90,2032,2004-09-25,2004-09-25,1
91,2033,2004-06-10,2004-06-10,1
92,2034,2004-05-06,2004-05-06,1
93,2035,2004-07-24,2004-07-24,1
94,2036,2004-04-06,2004-04-06,1
95,2037,2004-02-06,2004-02-06,1
96,2039,2002-01-06,2002-08-21,3
97,2040,2004-09-10,2004-09-10,1
98,2041,2004-09-24,2004-09-24,1
99,2042,2004-04-06,2004-04-06,1
100,2043,2004-06-13,2004-06-13,1
101,2044,2004-07-24,2004-07-24,1
102,2045,2004-03-08,2004-03-08,1
103,2046,2004-09-20,2004-09-20,1
104,2047,2004-09-24,2004-09-24,1
105,2048,2002-06-22,2002-10-27,3
106,2049,2002-06-16,2002-10-16,3
107,2050,2002-06-17,2002-10-15,3
108,2051,2004-07-24,2004-07-24,1
109,2052,2004-07-30,2004-07-30,1
110,2053,2002-07-29,2002-10-27,3
111,2054,2002-06-15,2002-11-08,3
112,2055,2004-06-06,2004-06-06,1
113,2056,2002-01-08,2002-12-06,3
114,2057,2004-08-17,2004-08-17,1
115,2058,2004-07-24,2004-07-24,1
116,2059,2004-09-26,2004-09-26,1
117,2060,2002-06-21,2002-10-21,3
118,2061,2004-01-06,2004-01-06,1
119,2062,2004-09-25,2004-09-25,1
120,2063,2002-05-31,2002-10-26,3
121,2064,2004-06-18,2004-06-18,1
122,2065,2004-12-08,2004-12-08,1
123,2066,2002-07-29,2002-07-29,1
124,2067,2004-06-10,2004-06-10,1
125,2068,2004-10-08,2004-10-08,1
126,2069,2004-05-08,2004-05-08,1
127,2070,2004-09-10,2004-09-10,1
128,2071,2004-09-29,2004-09-29,1
129,2072,2004-10-06,2004-10-06,1
130,2073,2002-04-23,2002-04-23,1
131,2074,2004-06-14,2004-06-14,1
132,2075,2004-07-08,2004-07-08,1
133,2076,2004-08-10,2004-08-10,1
134,2077,2004-08-13,2004-08-13,1
135,2078,2002-06-22,2002-10-27,3
136,2079,2004-09-10,2004-09-10,1
137,2080,2004-07-26,2004-07-26,1
138,2081,2004-07-25,2004-07-25,1
139,2082,2004-09-23,2004-09-23,1
140,2083,2004-09-10,2004-09-10,1
141,2084,2004-09-20,2004-09-20,1
142,2085,2004-08-17,2004-08-17,1
143,2086,2004-06-06,2004-06-06,1
144,2087,2002-04-23,2002-04-23,1
145,2088,2002-02-06,2002-10-28,2
146,2089,2004-09-19,2004-09-19,1
147,2090,2002-06-16,2002-10-15,3
148,2091,2004-05-06,2004-05-06,1
149,2092,2002-07-31,2002-07-31,1
150,2093,2004-05-08,2004-05-08,1
151,2094,2004-09-24,2004-09-24,1
152,2095,2002-07-30,2002-11-06,3
153,2096,2004-09-06,2004-09-06,1
154,2097,2004-10-06,2004-10-06,1
155,2098,2004-08-10,2004-08-10,1
156,2100,2004-07-29,2004-07-29,1
157,2101,2004-09-20,2004-09-20,1
158,2102,2004-10-08,2004-10-08,1
159,2103,2004-08-13,2004-08-13,1
160,2104,2002-06-13,2002-10-21,3
161,2105,2004-11-08,2004-11-08,1
162,2106,2004-07-25,2004-07-25,1
163,2107,2002-06-17,2002-10-13,3
164,2108,2004-10-08,2004-10-08,1
165,2110,2002-07-31,2002-10-22,2
166,2111,2004-09-27,2004-09-27,1
167,2112,2004-03-06,2004-03-06,1
168,2113,2004-06-15,2004-06-15,1
169,2114,2002-04-23,2002-04-23,1
170,2115,2004-11-10,2004-11-10,1
171,2116,2002-06-22,2002-07-30,2
172,2117,2004-03-08,2004-03-08,1
173,2118,2002-06-20,2002-11-08,3
174,2119,2002-05-30,2002-10-26,3
175,2120,2004-08-08,2004-08-08,1
176,2121,2002-08-04,2002-08-04,1
177,2122,2004-06-10,2004-06-10,1
178,2123,2004-12-08,2004-12-08,1
179,2124,2004-09-06,2004-09-06,1
180,2125,2002-04-23,2002-04-23,1
181,2126,2002-06-16,2002-10-16,3
182,2127,2002-02-06,2002-10-28,3
183,2128,2004-09-30,2004-09-30,1
184,2129,2002-06-20,2002-11-08,3
185,2130,2002-06-15,2002-10-18,3
186,2131,2004-08-17,2004-08-17,1
187,2132,2004-02-08,2004-02-08,1
188,2133,2004-02-06,2004-02-06,1
189,2134,2004-09-27,2004-09-27,1
190,2135,2002-04-23,2002-04-23,1
191,2136,2004-06-20,2004-06-20,1
192,2138,2004-06-19,2004-06-19,1
193,2139,2004-11-10,2004-11-10,1
194,2140,2004-06-14,2004-06-14,1
195,2141,2002-02-06,2002-10-26,6
196,2142,2002-06-13,2002-10-20,3
197,2143,2004-08-15,2004-08-15,1
198,2144,2002-06-14,2002-10-20,3
199,2145,2004-07-24,2004-07-24,1
200,2146,2004-07-10,2004-07-10,1
201,2147,2004-05-06,2004-05-06,1
202,2148,2002-08-04,2002-08-04,1
203,2149,2004-07-28,2004-07-28,1
204,2151,2002-06-20,2002-11-08,3
205,2152,2004-06-14,2004-06-14,1
206,2153,2002-06-22,2002-07-28,2
207,2154,2004-07-29,2004-07-29,1
208,2155,2004-08-15,2004-08-15,1
209,2156,2002-05-31,2002-10-26,5
210,2157,2004-06-10,2004-06-10,1
211,2158,2004-09-30,2004-09-30,1
212,2159,2004-09-29,2004-09-29,1
213,2160,2002-06-19,2002-10-17,3
214,2161,2002-07-30,2002-11-06,3
215,2162,2004-07-25,2004-07-25,1
216,2163,2002-01-08,2002-12-06,3
217,2164,2004-05-29,2004-05-29,1
218,2165,2004-07-25,2004-07-25,1
219,2166,2004-03-06,2004-03-06,1
220,2167,2004-06-15,2004-06-15,1
221,2168,2002-04-23,2002-04-23,1
222,2169,2002-07-31,2002-12-06,3
223,2170,2002-05-06,2002-05-06,1
224,2171,2002-07-29,2002-11-06,3
225,2172,2004-03-06,2004-03-06,1
226,2173,2002-07-30,2002-12-06,3
227,2174,2004-08-10,2004-08-10,1
228,2175,2002-07-31,2002-10-22,2
229,2176,2004-05-06,2004-05-06,1
230,2177,2002-06-14,2002-10-20,3
231,2178,2002-04-23,2002-04-23,1
232,2179,2004-08-13,2004-08-13,1
233,2180,2002-08-14,2002-10-13,2
234,2182,2002-06-21,2002-10-20,3
235,2183,2004-09-20,2004-09-20,1
236,2184,2004-07-26,2004-07-26,1
237,2185,2004-05-29,2004-05-29,1
238,2186,2004-09-23,2004-09-23,1
239,2187,2004-10-06,2004-10-06,1
240,2188,2002-06-20,2002-10-20,3
241,2189,2002-06-17,2002-10-15,3
242,2190,2004-08-10,2004-08-10,1
243,2191,2004-12-06,2004-12-06,1
244,2192,2002-06-16,2002-10-16,3
245,2193,2002-01-06,2002-10-28,5
246,2194,2004-11-10,2004-11-10,1
247,2195,2004-02-06,2004-02-06,1
248,2196,2004-09-25,2004-09-25,1
249,2197,2004-05-29,2004-05-29,1
250,2198,2004-09-24,2004-09-24,1
251,2199,2004-02-06,2004-02-06,1
252,2200,2004-07-25,2004-07-25,1
253,2201,2004-09-26,2004-09-26,1
254,2202,2004-12-06,2004-12-06,1
255,2203,2002-08-04,2002-08-04,1
256,2204,2002-06-13,2002-10-21,3
257,2205,2004-07-30,2004-07-30,1
258,2206,2002-03-08,2002-10-26,6
259,2207,2004-01-06,2004-01-06,1
260,2208,2004-12-06,2004-12-06,1
261,2209,2004-07-10,2004-07-10,1
262,2210,2004-10-08,2004-10-08,1
263,2211,2004-01-06,2004-01-06,1
264,2212,2004-01-06,2004-01-06,1
265,2213,2004-03-06,2004-03-06,1
266,2214,2002-06-13,2002-10-21,3
267,2215,2004-05-10,2004-05-10,1
268,2216,2002-06-19,2002-10-17,3
269,2217,2004-09-24,2004-09-24,1
270,2218,2004-02-08,2004-02-08,1
271,2219,2004-08-10,2004-08-10,1
272,2220,2004-07-30,2004-07-30,1
273,2221,2004-05-10,2004-05-10,1
274,2222,2002-06-15,2002-10-13,3
275,2223,2004-02-06,2004-02-06,1
276,2224,2004-09-27,2004-09-27,1
277,2225,2002-08-04,2002-08-04,1
278,2226,2004-09-19,2004-09-19,1
279,2227,2004-09-30,2004-09-30,1
280,2228,2004-11-10,2004-11-10,1
281,2229,2004-03-08,2004-03-08,1
282,2230,2004-05-08,2004-05-08,1
283,2231,2004-11-08,2004-11-08,1
284,2232,2004-05-10,2004-05-10,1
285,2233,2004-12-08,2004-12-08,1
286,2234,2004-09-29,2004-09-29,1
287,2235,2004-09-25,2004-09-25,1
288,2236,2004-09-23,2004-09-23,1
289,2237,2002-07-29,2002-10-26,3
290,2238,2004-01-06,2004-01-06,1
291,2239,2002-06-18,2002-10-16,3
292,2240,2002-10-08,2002-10-08,1
293,2241,2002-06-13,2002-10-21,3
294,2242,2002-08-04,2002-08-04,1
295,2243,2002-08-14,2002-10-13,2
296,2244,2004-07-29,2004-07-29,1
297,2245,2004-03-08,2004-03-08,1
298,2246,2004-06-13,2004-06-13,1
299,2247,2004-10-06,2004-10-06,1
300,2248,2002-01-08,2002-12-06,3
301,2249,2002-06-19,2002-10-17,3
302,2250,2002-07-31,2002-10-23,2
303,2251,2004-06-15,2004-06-15,1
304,2290,2018-07-16,2020-10-05,6
305,2298,1999-09-02,2010-09-22,23
306,2299,2017-06-27,2019-10-23,15
307,2300,2014-06-23,2017-11-20,21
308,2301,2011-06-20,2011-10-24,5
309,2304,1999-07-27,2019-10-23,78
310,2305,2018-06-27,2019-10-23,10
311,2306,2011-06-20,2012-10-22,10
312,2307,2017-02-08,2017-11-08,7
313,2308,2000-08-30,2014-10-27,29
314,2309,1999-07-27,2010-10-20,31
315,2310,1999-09-02,2017-11-20,26
316,2311,1999-07-27,2010-10-20,30
317,2312,1999-07-27,2016-11-03,49
318,2313,2000-08-30,2016-10-24,20
319,2314,1999-07-27,2017-11-20,33
320,2315,2015-07-06,2015-10-19,5
321,2316,1999-07-27,2015-10-19,26
322,2317,2008-08-13,2008-11-03,4
323,2351,1996-07-25,2002-10-06,11
324,2356,2016-08-19,2016-10-12,2
325,2357,2016-09-26,2019-06-10,11
326,2358,2016-10-12,2017-11-25,5
327,2359,2018-05-22,2019-09-10,6
328,2360,2016-10-12,2019-06-10,8
329,2361,2017-05-08,2019-06-10,4
330,2362,2016-10-12,2019-06-10,7
331,2363,2016-10-12,2017-11-25,4
332,2364,2016-08-19,2017-11-25,7
333,2365,2016-10-12,2017-11-25,5
334,2366,2016-11-20,2019-06-10,6
335,2367,2016-10-12,2017-11-25,5
336,2368,2016-08-19,2017-11-25,7
337,2369,2016-08-19,2019-06-10,9
338,2370,2016-11-20,2017-11-25,3
339,2584,1983-08-30,1983-08-30,1
340,2586,1983-08-23,1983-08-23,1
341,2588,1974-08-27,1990-10-28,5
342,2589,2007-10-02,2007-10-02,1
343,2592,2002-09-16,2002-09-16,1
344,2593,1984-06-19,1984-06-19,1
345,2594,1984-08-01,1984-08-01,1
346,2596,1984-06-11,1984-06-11,1
