,distance,drainage_delta
0,0,0
1,98961.8125,109.5
2,664197.0108,1770
3,65870.071,75
4,149460.4405,106.2000008
5,1902136.385,26270
6,526678.3069,244
7,108602.701,117
8,467779.3297,110.3999996
9,1369877.453,330
10,192269.8621,1530
11,198773.5757,129.66
12,586858.7937,
13,1421750.59,5290
14,35369.79664,89.59999847
15,257946.8341,13870
16,362027.0736,237
17,615011.8422,5420
18,1596462.694,59
19,3310397.459,10970
20,706834.4828,809
21,1183059.547,3760
22,3335884.561,
23,1198773.38,15392
24,241421.677,
25,4048628.489,15870
26,4354146.542,52.80000305
27,3592376.818,127.9100001
28,122940.4791,385
29,3084676.917,126.8299999
30,311263.2921,189
31,1895380.01,38
32,3047742.662,49
33,244118.6311,
34,3251567.542,1650
35,208061.0754,137
36,3098194.385,165
37,663699.6133,
38,1147279.991,460
39,1887196.315,122.75
40,226402.763,118.1000004
41,892093.0639,3360
42,59711.30616,115.8000002
43,1097336.277,257
44,119942.6346,39.30000305
45,3275725.864,75
46,641570.267,92
47,307193.5795,2
48,3351227.485,
49,3885394.434,1780
50,3575243.563,7
51,230558.5527,
52,4409451.606,
53,4275574.343,
54,2977135.643,4430
55,769305.9895,
56,3102842.163,198
57,3464056.329,3
58,1853669.92,19470
59,60300.97988,
60,1684628.81,4380
61,286344.3312,112.6000004
62,175606.7632,93.59999847
63,4312071.736,494
64,775847.0903,42
65,3833812.931,1009
66,971603.3179,4100
67,1466830.197,1570
68,3896193.919,2020
69,391570.3711,355
70,705551.564,4950
71,952038.5073,
72,3896833.364,950
73,154447.5797,253
74,87949.98511,97.40000153
75,305409.9832,
76,630099.9706,4260
77,434351.5808,129.48
78,3452029.978,279
79,1047359.406,442
80,1991147.09,5680
81,3130107.084,85.79999924
82,34466.12333,
83,1467226.448,4890
84,218285.3635,127.1500001
85,2297871.794,1370
86,172850.9074,142
87,3280111.512,920
88,62197.69672,86
89,1100037.639,3650
90,3131766.161,5070
91,3145596.396,644
92,635186.8129,4220
93,1224333.51,2180
94,4206074.464,53.90000153
95,916613.3027,
96,219905.0486,66.29999924
97,224985.0913,60.09999847
98,3896759.342,
99,3543849.624,57.69999695
100,433875.6154,124.04
101,730526.2184,223
102,3102728.159,117.5
103,2915532.873,65.19999695
104,2487156.852,3510
105,191826.1489,50.69999695
106,2851061.257,
107,3417224.367,1940
108,655284.6024,271
109,982616.0738,
110,362685.6615,6760
111,375428.4046,1450
112,80262.53143,55
113,329948.0807,92.70000076
114,4145773.801,1420
115,477431.719,
116,597192.0823,76.59999847
117,4174479.628,17
118,4191782.672,88.90000153
119,385706.5658,108
120,1521078.575,4350
121,1800933.967,47970
122,603145.6166,
123,3443961.684,25470
124,3101942.04,46
125,297855.6713,109.2000008
126,2829228.593,13170
127,2795032.683,127.9100001
128,708261.7677,100
129,1355520.237,666
130,691083.2974,665
131,198493.1752,85.70000076
132,2979504.792,592459
133,96360.21714,
134,3824613.773,161
135,529735.98,109
136,320075.1779,122.1999998
137,1379843.199,1270
138,353292.0094,
139,674414.4926,1110
140,3447037.403,77.20000076
141,302818.5741,
142,995688.22,7560
143,34237.06879,176
144,3108431.485,
145,707139.7905,101
146,3110942.714,370
147,312368.9509,507
148,1432282.763,619
149,490998.0117,45
150,434835.0253,1700
151,948704.9044,68.59999847
152,3101133.174,1600
153,108950.1612,101
154,4511862.695,248
155,3500066.375,186
156,4010983.675,21
157,464758.7643,76.09999847
158,613596.275,226
159,232463.591,122.5100002
160,3656939.874,71.40000153
161,762165.0235,657
162,3379713.028,3290
163,511535.1603,109
164,3089077.555,36870
165,95979.2249,100
166,3827583.549,122.23
167,1593174.8,1580
168,1333395.92,20570
169,283575.6316,95
170,3592816.994,68.09999847
171,51400.76733,39.30000305
172,805708.4317,90.09999847
173,1561856.652,
174,75895.75639,114.1999998
175,3120530.219,567
176,3418480.199,11
177,3556814.676,
178,1077746.902,458
179,1471081.93,703
180,492170.5393,11
181,3577165.806,47.09999847
182,1823228.133,1910
183,2754581.652,8910
184,1279860.334,15370
185,32747.80507,52
186,56206.94237,1100
187,191313.4384,102.7999992
188,982173.4854,53
189,31243.95971,13
190,2999641.503,34
191,2479059.081,4030
192,559385.1536,683.2000122
193,300330.0793,
194,1902756.899,6360
195,3019528.878,1720
196,3409827.22,25570
197,434617.0939,1060
198,476040.9698,27
199,605854.1312,151
200,1221893.531,43970
201,768046.1527,
202,3616889.515,107.1000004
203,3276482.795,802
204,209570.1777,
205,375732.8042,19870
206,212918.3092,129.46
207,1253095.244,1080
208,3080716.989,1880
209,2860387.448,11170
210,3375410.988,181
211,3012812.466,1510
212,263954.8997,
213,264285.0773,826
214,212108.5296,
215,686540.098,1580
216,2856097.835,108
217,1885388.948,129.03
218,3575715.462,68.59999847
219,211424.0398,4580
220,325978.5368,116
221,1580102.254,756
222,3648944.709,18770
223,4116549.776,31.59999847
224,1684162.731,18270
225,576217.1505,
226,692296.83,168
227,115395.6309,105.2999992
228,963065.1973,2310
229,979724.5473,20170
230,74560.58529,258
231,262338.8169,1860
232,171844.979,165
233,3523055.195,255
234,2895377.099,505
235,482963.0767,1500
236,3485098.323,2020
237,167878.8073,75.59999847
238,4078771.416,18
239,160084.9279,675
240,3338239.617,2110
241,225696.4648,50
242,3087865.698,38
243,2881370.722,3290
244,3176968.755,127
245,634556.2748,107.1000004
246,824987.6685,14370
247,198358.9694,38
248,3781236.91,644
249,1887215.544,129.88
